TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.328228,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.387677,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.110769,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.806967,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.542928,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.207222,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.895939,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.012825,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.844372,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,9.699199,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.717453,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.911536,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.992749,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.231746,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.533070,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.365642,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.888582,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.820933,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.729726,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.181228,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.744652,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.862359,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.404108,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.247000,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.962902,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.923732,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.051315,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.086891,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.913401,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,9.124629,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.779024,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.483976,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.842426,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,9.024011,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.040197,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.179890,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.668165,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.839148,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.424830,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.063020,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.006123,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.810536,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.489127,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.674877,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.707923,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,8.151132,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.778828,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,4.801867,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.741264,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,9.623722,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.629295,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.219054,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,7.006580,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,9.262862,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.498218,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,5.847462,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.803972,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,10.18179,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.528886,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.507570,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,7.262665,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,10.64807,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
2016,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,6.869848,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2016-OCCCI-V3_1-L3B4-PICO_PERCENTAGE-PAN-STATS
