TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2003,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.11395,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.98702,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.30262,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.49808,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.56106,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.31759,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.23242,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.95567,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.54111,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.56268,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.77534,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
