TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04502051,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2189771,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1585550,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04857687,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2438312,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1840238,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05564653,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2468559,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1877064,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.08179455,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2442524,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2000,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1846485,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2000-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04888366,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2288529,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1624588,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04551713,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2463355,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1874964,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05478167,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2520816,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1922008,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.07979535,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2405545,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2001,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1820214,percent(%),MAB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2001-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05691681,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2262952,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1606647,percent(%),GB,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.04860647,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2426051,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.1839504,percent(%),SS,EPU_NOESTUARIES,SeaWiFS,UITZ_ET_AL_2008,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-UITZ-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.05819699,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_PICO_PERCENTAGE_MEDIAN,0.2480140,percent(%),GOM,EPU_NOESTUARIES,SeaWiFS,HIRATA_ET_AL_2008; HIRATA_ET_AL_2011,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2002-SEAWIFS-R2015-L3B2-PICO_PERCENTAGE-HIRATA-STATS
