TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
1998,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.16730,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_1998-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2000,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.58471,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2000-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.58287,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.69997,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.47192,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2001,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.50802,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2001-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.74543,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.02204,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.82686,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2002,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.63364,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2002-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.17087,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.60973,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.79710,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2003,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.53226,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2003-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.12093,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,14.16312,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.73024,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2004,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.71991,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2004-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.45599,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,14.36442,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,14.19902,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2005,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.72298,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2005-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.79310,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.91053,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.81484,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2006,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.73980,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2006-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.78436,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,14.23532,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.71787,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2007,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.84509,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2007-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.07197,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.99724,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.42934,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2008,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.92274,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2008-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.57554,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.55038,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.46187,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2009,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.87583,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2009-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.52125,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.29841,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.43270,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2010,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.51693,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.40692,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.44063,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.51516,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.83535,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.85466,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.58575,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.98565,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.85549,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.52590,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.67784,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.39844,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.89087,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,11.91841,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.70839,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.90493,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2014,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.82822,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2014-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.73193,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.99029,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,13.28786,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
2015,YYYY,ANNUAL_MICRO_PERCENTAGE_MEDIAN,12.69975,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2015-OCCCI-V3_1-L3B4-MICRO_PERCENTAGE-PAN-STATS
