Year,GSI
2010.875,0.271781228
2011.125,0.356895714
2011.375,0.580090074
2011.625,0.90820869
2011.875,1.04926187
2012.125,1.101345947
2012.375,1.101533547
2012.625,1.115700689
2012.875,1.139198998
2013.125,1.069435175
2013.375,0.941683204
2013.625,0.985883953
2013.875,1.250260445
2014.125,1.601449291
2014.375,1.921845438
2014.625,2.181054769
2014.875,2.334512199
2015.125,2.402659653
2015.375,2.29245737
2015.625,2.132377468
2015.875,2.164900307
2016.125,2.387024127
2016.375,2.608805129
2016.625,2.69357844
2016.875,2.577803274
2017.125,2.387961468
2017.375,2.225200204
2017.625,2.097581507
2017.875,1.991074747
