TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2006,YYYY,ANNUAL_PPD_MEDIAN,0.6082141,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2006-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2006,YYYY,ANNUAL_PPD_MEDIAN,0.8206965,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2006-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2007,YYYY,ANNUAL_PPD_MEDIAN,0.6977015,gC m^-2 d^-1,GB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2007-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2007,YYYY,ANNUAL_PPD_MEDIAN,0.5129995,gC m^-2 d^-1,SS,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2007-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2007,YYYY,ANNUAL_PPD_MEDIAN,0.5590758,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2007-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2007,YYYY,ANNUAL_PPD_MEDIAN,0.7676543,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,SeaWiFS,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/SeaWiFS/,MEDIAN OF THE SPATIAL DATA,A_2007-SEAWIFS-R2015-L3B2-PPD-VGPM2-STATS
2008,YYYY,ANNUAL_PPD_MEDIAN,0.7259737,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2008-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2008,YYYY,ANNUAL_PPD_MEDIAN,0.5804766,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2008-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2008,YYYY,ANNUAL_PPD_MEDIAN,0.6645952,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2008-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2008,YYYY,ANNUAL_PPD_MEDIAN,0.7968369,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2008-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2009,YYYY,ANNUAL_PPD_MEDIAN,0.8394302,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2009-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2009,YYYY,ANNUAL_PPD_MEDIAN,0.6690807,gC m^-2 d^-1,SS,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2009-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2009,YYYY,ANNUAL_PPD_MEDIAN,0.6792001,gC m^-2 d^-1,GOM,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2009-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2009,YYYY,ANNUAL_PPD_MEDIAN,0.7176321,gC m^-2 d^-1,MAB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2009-MODISA-R2015-L3B2-PPD-VGPM2-STATS
2010,YYYY,ANNUAL_PPD_MEDIAN,0.9427715,gC m^-2 d^-1,GB,EPU_NOESTUARIES,MODIS-Aqua,BERENFELD_FALKOWSKI_1997;EPPLEY_1972,KHyde (NEFSC); https://oceandata.sci.gsfc.nasa.gov/MODIS-Aqua/,MEDIAN OF THE SPATIAL DATA,A_2010-MODISA-R2015-L3B2-PPD-VGPM2-STATS
