"Time","Var","Value","Region"
2012,"Shellfish lease Acres",21,"NH"
2012,"Production/Acre",NA,"NH"
2013,"Pieces",81274,"NH"
2013,"Shellfish lease Acres",29,"NH"
2013,"Production/Acre",2802.551724,"NH"
2014,"Pieces",164965,"NH"
2014,"Shellfish lease Acres",34.75,"NH"
2014,"Production/Acre",4747.194245,"NH"
2015,"Pieces",207024,"NH"
2015,"Shellfish lease Acres",46.9,"NH"
2015,"Production/Acre",4414.157783,"NH"
2016,"Pieces",184832,"NH"
2016,"Shellfish lease Acres",51.9,"NH"
2016,"Production/Acre",3561.310212,"NH"
2017,"Pieces",329156,"NH"
2017,"Shellfish lease Acres",55.9,"NH"
2017,"Production/Acre",5888.300537,"NH"
2018,"Pieces",439497,"NH"
2018,"Shellfish lease Acres",71.7,"NH"
2018,"Production/Acre",6129.665272,"NH"
2019,"Pieces",584153,"NH"
2019,"Shellfish lease Acres",75.7,"NH"
2019,"Production/Acre",7716.68428,"NH"
2020,"Pieces",725004,"NH"
2020,"Shellfish lease Acres",80.4,"NH"
2020,"Production/Acre",9017.462687,"NH"
2021,"Pieces",830933,"NH"
2021,"Shellfish lease Acres",80.4,"NH"
2021,"Production/Acre",10334.98756,"NH"
2009,"Pieces",14600000,"MA"
2009,"Shellfish lease Acres",986,"MA"
2009,"Production/Acre",14807.30223,"MA"
2010,"Pieces",17600000,"MA"
2010,"Shellfish lease Acres",1027,"MA"
2010,"Production/Acre",17137.29309,"MA"
2011,"Pieces",18900000,"MA"
2011,"Shellfish lease Acres",1091,"MA"
2011,"Production/Acre",17323.55637,"MA"
2012,"Pieces",22700000,"MA"
2012,"Shellfish lease Acres",1106,"MA"
2012,"Production/Acre",20524.4123,"MA"
2013,"Pieces",25200000,"MA"
2013,"Shellfish lease Acres",1011,"MA"
2013,"Production/Acre",24925.81602,"MA"
2014,"Pieces",32100000,"MA"
2014,"Shellfish lease Acres",1106,"MA"
2014,"Production/Acre",29023.50814,"MA"
2015,"Pieces",3.7e+07,"MA"
2015,"Shellfish lease Acres",1128,"MA"
2015,"Production/Acre",32801.41844,"MA"
2016,"Pieces",38200000,"MA"
2016,"Shellfish lease Acres",1258,"MA"
2016,"Production/Acre",30365.65978,"MA"
2017,"Pieces",47849698,"MA"
2017,"Shellfish lease Acres",1299,"MA"
2017,"Production/Acre",36835.79523,"MA"
2018,"Pieces",49360000,"MA"
2018,"Shellfish lease Acres",1202,"MA"
2018,"Production/Acre",41064.89185,"MA"
2019,"Pieces",52079804,"MA"
2019,"Shellfish lease Acres",1240,"MA"
2019,"Production/Acre",41999.84194,"MA"
2020,"Pieces",31986255,"MA"
2020,"Shellfish lease Acres",1304,"MA"
2020,"Production/Acre",24529.33666,"MA"
2021,"Pieces",54614757,"MA"
2021,"Shellfish lease Acres",1352.3,"MA"
2021,"Production/Acre",40386.56881,"MA"
2009,"Pieces",2821166,"RI"
2009,"Shellfish lease Acres",134,"RI"
2009,"Production/Acre",21053.47761,"RI"
2010,"Pieces",3852414,"RI"
2010,"Shellfish lease Acres",141,"RI"
2010,"Production/Acre",27322.08511,"RI"
2011,"Pieces",3999000,"RI"
2011,"Shellfish lease Acres",160,"RI"
2011,"Production/Acre",24993.75,"RI"
2012,"Pieces",4072186,"RI"
2012,"Shellfish lease Acres",181,"RI"
2012,"Production/Acre",22498.26519,"RI"
2013,"Pieces",6398979,"RI"
2013,"Shellfish lease Acres",195,"RI"
2013,"Production/Acre",32815.27692,"RI"
2014,"Pieces",7300000,"RI"
2014,"Shellfish lease Acres",206,"RI"
2014,"Production/Acre",35436.8932,"RI"
2015,"Pieces",8272172,"RI"
2015,"Shellfish lease Acres",241,"RI"
2015,"Production/Acre",34324.36515,"RI"
2016,"Pieces",7547132,"RI"
2016,"Shellfish lease Acres",274,"RI"
2016,"Production/Acre",27544.27737,"RI"
2017,"Pieces",8434541,"RI"
2017,"Shellfish lease Acres",296,"RI"
2017,"Production/Acre",28495.07095,"RI"
2018,"Pieces",8575950,"RI"
2018,"Shellfish lease Acres",319,"RI"
2018,"Production/Acre",26883.8558,"RI"
2019,"Pieces",8300000,"RI"
2019,"Shellfish lease Acres",339,"RI"
2019,"Production/Acre",24483.77581,"RI"
2020,"Pieces",6062056,"RI"
2020,"Shellfish lease Acres",347.5,"RI"
2020,"Production/Acre",17444.76547,"RI"
2021,"Pieces",10187262,"RI"
2021,"Shellfish lease Acres",368.18,"RI"
2021,"Production/Acre",27669.2433,"RI"
2009,"Pieces",NA,"MD"
2010,"Pieces",NA,"MD"
2011,"Pieces",NA,"MD"
2012,"Pieces",1002000,"MD"
2013,"Pieces",6728400,"MD"
2014,"Pieces",10251900,"MD"
2015,"Pieces",15191100,"MD"
2016,"Pieces",18971700,"MD"
2017,"Pieces",22219800,"MD"
2018,"Pieces",17262900,"MD"
2019,"Pieces",16470900,"MD"
2020,"Pieces",1412400,"MD"
2009,"Pieces",12500000,"VA"
2010,"Pieces",1.7e+07,"VA"
2011,"Pieces",2.3e+07,"VA"
2012,"Pieces",2.8e+07,"VA"
2013,"Pieces",3.1e+07,"VA"
2014,"Pieces",39500000,"VA"
2015,"Pieces",35500000,"VA"
2016,"Pieces",40250000,"VA"
2017,"Pieces",38900000,"VA"
2018,"Pieces",32100000,"VA"
2019,"Pieces",NA,"VA"
2020,"Pieces",NA,NA
2009,"Pieces",NA,"NJ"
2010,"Pieces",NA,"NJ"
2011,"Pieces",NA,"NJ"
2012,"Pieces",1500000,"NJ"
2013,"Pieces",1580000,"NJ"
2014,"Pieces",1627669,"NJ"
2015,"Pieces",1782000,"NJ"
2016,"Pieces",2029500,"NJ"
2017,"Pieces",NA,"NJ"
2018,"Pieces",NA,"NJ"
2019,"Pieces",NA,"NJ"
2020,"Pieces",NA,NA
