"Time","stock_id","Value","Var","Units"
1984,"EGOM",1.6774,"maximum intensity","degrees C"
1984,"EGOM",1.9685,"maximum intensity","degrees C"
1985,"EGOM",1.0143,"maximum intensity","degrees C"
1986,"EGOM",1.9274,"maximum intensity","degrees C"
1986,"EGOM",1.9014,"maximum intensity","degrees C"
1990,"EGOM",2.6933,"maximum intensity","degrees C"
1990,"EGOM",1.5594,"maximum intensity","degrees C"
1991,"EGOM",1.937,"maximum intensity","degrees C"
1994,"EGOM",2.9062,"maximum intensity","degrees C"
1994,"EGOM",1.7829,"maximum intensity","degrees C"
1999,"EGOM",2.155,"maximum intensity","degrees C"
1999,"EGOM",2.6292,"maximum intensity","degrees C"
1999,"EGOM",2.4114,"maximum intensity","degrees C"
1999,"EGOM",1.8778,"maximum intensity","degrees C"
1999,"EGOM",2.8631,"maximum intensity","degrees C"
1999,"EGOM",1.5492,"maximum intensity","degrees C"
1999,"EGOM",1.5821,"maximum intensity","degrees C"
1999,"EGOM",1.9724,"maximum intensity","degrees C"
2000,"EGOM",2.2562,"maximum intensity","degrees C"
2000,"EGOM",1.7134,"maximum intensity","degrees C"
2001,"EGOM",1.5793,"maximum intensity","degrees C"
2002,"EGOM",1.7968,"maximum intensity","degrees C"
2002,"EGOM",2.7272,"maximum intensity","degrees C"
2002,"EGOM",1.7578,"maximum intensity","degrees C"
2002,"EGOM",1.5363,"maximum intensity","degrees C"
2003,"EGOM",1.855,"maximum intensity","degrees C"
2005,"EGOM",2.3017,"maximum intensity","degrees C"
2006,"EGOM",1.5385,"maximum intensity","degrees C"
2006,"EGOM",1.209,"maximum intensity","degrees C"
2006,"EGOM",2.2004,"maximum intensity","degrees C"
2008,"EGOM",2.4457,"maximum intensity","degrees C"
2008,"EGOM",1.7834,"maximum intensity","degrees C"
2009,"EGOM",3.4712,"maximum intensity","degrees C"
2009,"EGOM",1.2939,"maximum intensity","degrees C"
2010,"EGOM",1.1811,"maximum intensity","degrees C"
2010,"EGOM",1.6399,"maximum intensity","degrees C"
2010,"EGOM",2.2314,"maximum intensity","degrees C"
2010,"EGOM",2.7085,"maximum intensity","degrees C"
2010,"EGOM",2.0164,"maximum intensity","degrees C"
2010,"EGOM",3.4217,"maximum intensity","degrees C"
2010,"EGOM",2.1813,"maximum intensity","degrees C"
2010,"EGOM",3.3001,"maximum intensity","degrees C"
2010,"EGOM",1.1405,"maximum intensity","degrees C"
2011,"EGOM",2.0301,"maximum intensity","degrees C"
2011,"EGOM",2.2396,"maximum intensity","degrees C"
2011,"EGOM",3.0185,"maximum intensity","degrees C"
2011,"EGOM",1.3708,"maximum intensity","degrees C"
2011,"EGOM",1.5098,"maximum intensity","degrees C"
2011,"EGOM",1.4568,"maximum intensity","degrees C"
2012,"EGOM",1.5609,"maximum intensity","degrees C"
2012,"EGOM",4.3689,"maximum intensity","degrees C"
2012,"EGOM",3.9176,"maximum intensity","degrees C"
2013,"EGOM",3.0264,"maximum intensity","degrees C"
2013,"EGOM",2.1166,"maximum intensity","degrees C"
2013,"EGOM",2.5028,"maximum intensity","degrees C"
2013,"EGOM",2.8515,"maximum intensity","degrees C"
2013,"EGOM",3.0062,"maximum intensity","degrees C"
2013,"EGOM",1.8672,"maximum intensity","degrees C"
2013,"EGOM",1.8905,"maximum intensity","degrees C"
2013,"EGOM",1.8896,"maximum intensity","degrees C"
2014,"EGOM",2.3857,"maximum intensity","degrees C"
2014,"EGOM",2.0238,"maximum intensity","degrees C"
2014,"EGOM",2.6918,"maximum intensity","degrees C"
2014,"EGOM",2.7091,"maximum intensity","degrees C"
2015,"EGOM",3.2472,"maximum intensity","degrees C"
2015,"EGOM",1.4467,"maximum intensity","degrees C"
2015,"EGOM",1.8309,"maximum intensity","degrees C"
2015,"EGOM",2.4174,"maximum intensity","degrees C"
2016,"EGOM",1.6005,"maximum intensity","degrees C"
2016,"EGOM",1.5057,"maximum intensity","degrees C"
2016,"EGOM",1.3088,"maximum intensity","degrees C"
2016,"EGOM",2.5615,"maximum intensity","degrees C"
2016,"EGOM",3.6177,"maximum intensity","degrees C"
2016,"EGOM",2.5524,"maximum intensity","degrees C"
2016,"EGOM",3.2103,"maximum intensity","degrees C"
2016,"EGOM",4.0911,"maximum intensity","degrees C"
2016,"EGOM",2.5566,"maximum intensity","degrees C"
2017,"EGOM",1.2236,"maximum intensity","degrees C"
2017,"EGOM",1.4185,"maximum intensity","degrees C"
2017,"EGOM",3.075,"maximum intensity","degrees C"
2018,"EGOM",2.1863,"maximum intensity","degrees C"
2018,"EGOM",1.444,"maximum intensity","degrees C"
2018,"EGOM",2.0868,"maximum intensity","degrees C"
2018,"EGOM",2.5464,"maximum intensity","degrees C"
2018,"EGOM",3.3338,"maximum intensity","degrees C"
2018,"EGOM",2.1975,"maximum intensity","degrees C"
2018,"EGOM",4.0329,"maximum intensity","degrees C"
2018,"EGOM",1.4872,"maximum intensity","degrees C"
2019,"EGOM",2.2293,"maximum intensity","degrees C"
2019,"EGOM",2.0281,"maximum intensity","degrees C"
2019,"EGOM",2.2566,"maximum intensity","degrees C"
2019,"EGOM",1.2696,"maximum intensity","degrees C"
2020,"EGOM",1.39,"maximum intensity","degrees C"
2020,"EGOM",1.4613,"maximum intensity","degrees C"
2020,"EGOM",1.6009,"maximum intensity","degrees C"
2020,"EGOM",1.2179,"maximum intensity","degrees C"
2020,"EGOM",1.6187,"maximum intensity","degrees C"
2020,"EGOM",1.4857,"maximum intensity","degrees C"
2020,"EGOM",3.7012,"maximum intensity","degrees C"
2020,"EGOM",2.2149,"maximum intensity","degrees C"
2020,"EGOM",2.9033,"maximum intensity","degrees C"
2020,"EGOM",2.3264,"maximum intensity","degrees C"
2020,"EGOM",1.8089,"maximum intensity","degrees C"
2020,"EGOM",1.2625,"maximum intensity","degrees C"
2020,"EGOM",1.9057,"maximum intensity","degrees C"
2020,"EGOM",1.6798,"maximum intensity","degrees C"
2021,"EGOM",3.0327,"maximum intensity","degrees C"
2021,"EGOM",3.5282,"maximum intensity","degrees C"
2021,"EGOM",3.6516,"maximum intensity","degrees C"
2021,"EGOM",3.7314,"maximum intensity","degrees C"
1982,"GBK",1.758,"maximum intensity","degrees C"
1982,"GBK",1.5702,"maximum intensity","degrees C"
1983,"GBK",1.5684,"maximum intensity","degrees C"
1983,"GBK",1.476,"maximum intensity","degrees C"
1983,"GBK",1.3171,"maximum intensity","degrees C"
1983,"GBK",2.1161,"maximum intensity","degrees C"
1983,"GBK",1.921,"maximum intensity","degrees C"
1983,"GBK",2.2592,"maximum intensity","degrees C"
1984,"GBK",1.9253,"maximum intensity","degrees C"
1984,"GBK",2.0905,"maximum intensity","degrees C"
1986,"GBK",1.7668,"maximum intensity","degrees C"
1986,"GBK",2.1145,"maximum intensity","degrees C"
1987,"GBK",1.4858,"maximum intensity","degrees C"
1990,"GBK",2.219,"maximum intensity","degrees C"
1990,"GBK",3.5928,"maximum intensity","degrees C"
1990,"GBK",2.0781,"maximum intensity","degrees C"
1993,"GBK",1.8365,"maximum intensity","degrees C"
1994,"GBK",3.2175,"maximum intensity","degrees C"
1995,"GBK",2.3003,"maximum intensity","degrees C"
1995,"GBK",1.856,"maximum intensity","degrees C"
1999,"GBK",2.6875,"maximum intensity","degrees C"
1999,"GBK",3.3247,"maximum intensity","degrees C"
1999,"GBK",1.8742,"maximum intensity","degrees C"
1999,"GBK",2.0676,"maximum intensity","degrees C"
2000,"GBK",2.3252,"maximum intensity","degrees C"
2000,"GBK",2.0964,"maximum intensity","degrees C"
2001,"GBK",2.5283,"maximum intensity","degrees C"
2001,"GBK",2.3557,"maximum intensity","degrees C"
2001,"GBK",1.7688,"maximum intensity","degrees C"
2002,"GBK",1.8235,"maximum intensity","degrees C"
2002,"GBK",1.7838,"maximum intensity","degrees C"
2002,"GBK",3.1518,"maximum intensity","degrees C"
2002,"GBK",2.1364,"maximum intensity","degrees C"
2002,"GBK",1.7376,"maximum intensity","degrees C"
2003,"GBK",2.0135,"maximum intensity","degrees C"
2005,"GBK",1.8394,"maximum intensity","degrees C"
2005,"GBK",3.2069,"maximum intensity","degrees C"
2005,"GBK",1.6128,"maximum intensity","degrees C"
2006,"GBK",2.0193,"maximum intensity","degrees C"
2006,"GBK",2.9536,"maximum intensity","degrees C"
2008,"GBK",2.4893,"maximum intensity","degrees C"
2009,"GBK",3.0038,"maximum intensity","degrees C"
2009,"GBK",4.9079,"maximum intensity","degrees C"
2010,"GBK",2.2006,"maximum intensity","degrees C"
2010,"GBK",2.2233,"maximum intensity","degrees C"
2010,"GBK",2.3723,"maximum intensity","degrees C"
2010,"GBK",3.5295,"maximum intensity","degrees C"
2010,"GBK",1.9901,"maximum intensity","degrees C"
2011,"GBK",1.9496,"maximum intensity","degrees C"
2011,"GBK",2.6768,"maximum intensity","degrees C"
2011,"GBK",3.3164,"maximum intensity","degrees C"
2011,"GBK",2.0696,"maximum intensity","degrees C"
2011,"GBK",1.7711,"maximum intensity","degrees C"
2011,"GBK",1.9064,"maximum intensity","degrees C"
2012,"GBK",1.9094,"maximum intensity","degrees C"
2012,"GBK",1.9345,"maximum intensity","degrees C"
2012,"GBK",2.6289,"maximum intensity","degrees C"
2012,"GBK",2.1904,"maximum intensity","degrees C"
2012,"GBK",3.32,"maximum intensity","degrees C"
2012,"GBK",2.9653,"maximum intensity","degrees C"
2012,"GBK",2.0735,"maximum intensity","degrees C"
2012,"GBK",2.6702,"maximum intensity","degrees C"
2012,"GBK",3.4006,"maximum intensity","degrees C"
2012,"GBK",2.12,"maximum intensity","degrees C"
2013,"GBK",2.4653,"maximum intensity","degrees C"
2013,"GBK",2.6752,"maximum intensity","degrees C"
2013,"GBK",3.1752,"maximum intensity","degrees C"
2013,"GBK",3.0349,"maximum intensity","degrees C"
2013,"GBK",2.0972,"maximum intensity","degrees C"
2013,"GBK",1.5422,"maximum intensity","degrees C"
2013,"GBK",1.758,"maximum intensity","degrees C"
2014,"GBK",1.7779,"maximum intensity","degrees C"
2014,"GBK",1.4353,"maximum intensity","degrees C"
2014,"GBK",2.1657,"maximum intensity","degrees C"
2014,"GBK",3.097,"maximum intensity","degrees C"
2014,"GBK",2.8635,"maximum intensity","degrees C"
2014,"GBK",2.4545,"maximum intensity","degrees C"
2014,"GBK",2.4454,"maximum intensity","degrees C"
2014,"GBK",1.6683,"maximum intensity","degrees C"
2014,"GBK",1.7612,"maximum intensity","degrees C"
2014,"GBK",3.1734,"maximum intensity","degrees C"
2015,"GBK",1.5083,"maximum intensity","degrees C"
2015,"GBK",2.5191,"maximum intensity","degrees C"
2015,"GBK",4.0304,"maximum intensity","degrees C"
2015,"GBK",2.6279,"maximum intensity","degrees C"
2015,"GBK",3.4886,"maximum intensity","degrees C"
2016,"GBK",2.2222,"maximum intensity","degrees C"
2016,"GBK",1.9911,"maximum intensity","degrees C"
2016,"GBK",2.0484,"maximum intensity","degrees C"
2016,"GBK",1.9889,"maximum intensity","degrees C"
2016,"GBK",2.3449,"maximum intensity","degrees C"
2016,"GBK",4.5171,"maximum intensity","degrees C"
2016,"GBK",2.1818,"maximum intensity","degrees C"
2017,"GBK",2.0113,"maximum intensity","degrees C"
2017,"GBK",2.0493,"maximum intensity","degrees C"
2017,"GBK",3.5534,"maximum intensity","degrees C"
2018,"GBK",3.1392,"maximum intensity","degrees C"
2018,"GBK",1.8452,"maximum intensity","degrees C"
2018,"GBK",2.1516,"maximum intensity","degrees C"
2018,"GBK",1.7731,"maximum intensity","degrees C"
2018,"GBK",2.7471,"maximum intensity","degrees C"
2018,"GBK",2.9181,"maximum intensity","degrees C"
2019,"GBK",3.0393,"maximum intensity","degrees C"
2019,"GBK",2.2708,"maximum intensity","degrees C"
2019,"GBK",1.8658,"maximum intensity","degrees C"
2020,"GBK",1.7624,"maximum intensity","degrees C"
2020,"GBK",2.6457,"maximum intensity","degrees C"
2020,"GBK",4.2581,"maximum intensity","degrees C"
2020,"GBK",3.2826,"maximum intensity","degrees C"
2020,"GBK",2.6882,"maximum intensity","degrees C"
2020,"GBK",3.2229,"maximum intensity","degrees C"
2021,"GBK",3.9263,"maximum intensity","degrees C"
2021,"GBK",1.9661,"maximum intensity","degrees C"
2021,"GBK",1.6278,"maximum intensity","degrees C"
2021,"GBK",4.6,"maximum intensity","degrees C"
2021,"GBK",3.2026,"maximum intensity","degrees C"
2021,"GBK",2.2202,"maximum intensity","degrees C"
1982,"WGOM",1.765,"maximum intensity","degrees C"
1982,"WGOM",1.6959,"maximum intensity","degrees C"
1983,"WGOM",1.5324,"maximum intensity","degrees C"
1983,"WGOM",1.9037,"maximum intensity","degrees C"
1983,"WGOM",1.9991,"maximum intensity","degrees C"
1984,"WGOM",1.0377,"maximum intensity","degrees C"
1984,"WGOM",1.6305,"maximum intensity","degrees C"
1984,"WGOM",2.1276,"maximum intensity","degrees C"
1984,"WGOM",1.698,"maximum intensity","degrees C"
1984,"WGOM",1.6745,"maximum intensity","degrees C"
1985,"WGOM",1.0787,"maximum intensity","degrees C"
1989,"WGOM",2.0538,"maximum intensity","degrees C"
1990,"WGOM",2.1124,"maximum intensity","degrees C"
1990,"WGOM",2.0987,"maximum intensity","degrees C"
1990,"WGOM",1.8638,"maximum intensity","degrees C"
1991,"WGOM",2.7086,"maximum intensity","degrees C"
1994,"WGOM",2.2844,"maximum intensity","degrees C"
1995,"WGOM",1.5287,"maximum intensity","degrees C"
1995,"WGOM",1.6998,"maximum intensity","degrees C"
1999,"WGOM",1.763,"maximum intensity","degrees C"
1999,"WGOM",1.8312,"maximum intensity","degrees C"
1999,"WGOM",2.0555,"maximum intensity","degrees C"
1999,"WGOM",2.275,"maximum intensity","degrees C"
1999,"WGOM",2.7903,"maximum intensity","degrees C"
2000,"WGOM",1.7661,"maximum intensity","degrees C"
2000,"WGOM",1.9898,"maximum intensity","degrees C"
2001,"WGOM",2.9642,"maximum intensity","degrees C"
2002,"WGOM",1.6278,"maximum intensity","degrees C"
2002,"WGOM",1.1789,"maximum intensity","degrees C"
2002,"WGOM",1.8219,"maximum intensity","degrees C"
2002,"WGOM",2.3818,"maximum intensity","degrees C"
2002,"WGOM",1.9521,"maximum intensity","degrees C"
2003,"WGOM",1.7884,"maximum intensity","degrees C"
2005,"WGOM",1.7251,"maximum intensity","degrees C"
2005,"WGOM",1.8063,"maximum intensity","degrees C"
2005,"WGOM",2.7167,"maximum intensity","degrees C"
2006,"WGOM",1.8068,"maximum intensity","degrees C"
2006,"WGOM",2.1666,"maximum intensity","degrees C"
2007,"WGOM",1.0825,"maximum intensity","degrees C"
2007,"WGOM",1.9203,"maximum intensity","degrees C"
2008,"WGOM",2.1972,"maximum intensity","degrees C"
2008,"WGOM",2.2389,"maximum intensity","degrees C"
2008,"WGOM",2.4625,"maximum intensity","degrees C"
2009,"WGOM",3.201,"maximum intensity","degrees C"
2009,"WGOM",2.07,"maximum intensity","degrees C"
2010,"WGOM",1.8562,"maximum intensity","degrees C"
2010,"WGOM",1.8431,"maximum intensity","degrees C"
2010,"WGOM",2.2046,"maximum intensity","degrees C"
2010,"WGOM",3.285,"maximum intensity","degrees C"
2010,"WGOM",4.6603,"maximum intensity","degrees C"
2010,"WGOM",1.9908,"maximum intensity","degrees C"
2010,"WGOM",3.4248,"maximum intensity","degrees C"
2010,"WGOM",2.2135,"maximum intensity","degrees C"
2011,"WGOM",2.2508,"maximum intensity","degrees C"
2011,"WGOM",1.9842,"maximum intensity","degrees C"
2011,"WGOM",3.7402,"maximum intensity","degrees C"
2011,"WGOM",1.7709,"maximum intensity","degrees C"
2011,"WGOM",2.1263,"maximum intensity","degrees C"
2012,"WGOM",4.0161,"maximum intensity","degrees C"
2012,"WGOM",3.7842,"maximum intensity","degrees C"
2013,"WGOM",2.851,"maximum intensity","degrees C"
2013,"WGOM",1.8163,"maximum intensity","degrees C"
2013,"WGOM",4.0739,"maximum intensity","degrees C"
2013,"WGOM",1.7616,"maximum intensity","degrees C"
2013,"WGOM",1.8877,"maximum intensity","degrees C"
2013,"WGOM",2.2883,"maximum intensity","degrees C"
2014,"WGOM",2.1929,"maximum intensity","degrees C"
2014,"WGOM",2.9171,"maximum intensity","degrees C"
2014,"WGOM",2.1965,"maximum intensity","degrees C"
2014,"WGOM",2.429,"maximum intensity","degrees C"
2014,"WGOM",3.0442,"maximum intensity","degrees C"
2014,"WGOM",1.7815,"maximum intensity","degrees C"
2015,"WGOM",2.1579,"maximum intensity","degrees C"
2015,"WGOM",2.4399,"maximum intensity","degrees C"
2015,"WGOM",2.347,"maximum intensity","degrees C"
2015,"WGOM",3.754,"maximum intensity","degrees C"
2015,"WGOM",1.3968,"maximum intensity","degrees C"
2015,"WGOM",2.0707,"maximum intensity","degrees C"
2015,"WGOM",2.7289,"maximum intensity","degrees C"
2016,"WGOM",2.5099,"maximum intensity","degrees C"
2016,"WGOM",4.0302,"maximum intensity","degrees C"
2016,"WGOM",1.8074,"maximum intensity","degrees C"
2016,"WGOM",2.3464,"maximum intensity","degrees C"
2017,"WGOM",2.2346,"maximum intensity","degrees C"
2017,"WGOM",1.6077,"maximum intensity","degrees C"
2017,"WGOM",3.0249,"maximum intensity","degrees C"
2017,"WGOM",1.5576,"maximum intensity","degrees C"
2017,"WGOM",3.0395,"maximum intensity","degrees C"
2018,"WGOM",2.0826,"maximum intensity","degrees C"
2018,"WGOM",3.6801,"maximum intensity","degrees C"
2018,"WGOM",3.5105,"maximum intensity","degrees C"
2019,"WGOM",2.7668,"maximum intensity","degrees C"
2019,"WGOM",2.0928,"maximum intensity","degrees C"
2019,"WGOM",3.0402,"maximum intensity","degrees C"
2019,"WGOM",2.4568,"maximum intensity","degrees C"
2019,"WGOM",1.9861,"maximum intensity","degrees C"
2020,"WGOM",2.2514,"maximum intensity","degrees C"
2020,"WGOM",3.91,"maximum intensity","degrees C"
2020,"WGOM",2.3929,"maximum intensity","degrees C"
2020,"WGOM",2.7911,"maximum intensity","degrees C"
2021,"WGOM",1.3501,"maximum intensity","degrees C"
2021,"WGOM",1.3812,"maximum intensity","degrees C"
2021,"WGOM",2.065,"maximum intensity","degrees C"
2021,"WGOM",3.1785,"maximum intensity","degrees C"
2021,"WGOM",3.5295,"maximum intensity","degrees C"
2021,"WGOM",2.5389,"maximum intensity","degrees C"
2021,"WGOM",3.4224,"maximum intensity","degrees C"
2021,"WGOM",3.6282,"maximum intensity","degrees C"
2021,"WGOM",1.7251,"maximum intensity","degrees C"
1983,"SNE",1.9675,"maximum intensity","degrees C"
1983,"SNE",2.0738,"maximum intensity","degrees C"
1984,"SNE",1.3277,"maximum intensity","degrees C"
1984,"SNE",1.9646,"maximum intensity","degrees C"
1984,"SNE",2.1088,"maximum intensity","degrees C"
1985,"SNE",2.5432,"maximum intensity","degrees C"
1988,"SNE",2.3742,"maximum intensity","degrees C"
1989,"SNE",1.8534,"maximum intensity","degrees C"
1990,"SNE",1.9194,"maximum intensity","degrees C"
1990,"SNE",1.527,"maximum intensity","degrees C"
1990,"SNE",1.2871,"maximum intensity","degrees C"
1990,"SNE",1.9904,"maximum intensity","degrees C"
1991,"SNE",1.5441,"maximum intensity","degrees C"
1991,"SNE",2.0128,"maximum intensity","degrees C"
1991,"SNE",2.7768,"maximum intensity","degrees C"
1993,"SNE",1.8631,"maximum intensity","degrees C"
1993,"SNE",1.6318,"maximum intensity","degrees C"
1994,"SNE",1.9999,"maximum intensity","degrees C"
1994,"SNE",2.1802,"maximum intensity","degrees C"
1994,"SNE",1.8199,"maximum intensity","degrees C"
1995,"SNE",1.5288,"maximum intensity","degrees C"
1995,"SNE",1.6458,"maximum intensity","degrees C"
1999,"SNE",1.8828,"maximum intensity","degrees C"
1999,"SNE",1.91,"maximum intensity","degrees C"
1999,"SNE",2.3291,"maximum intensity","degrees C"
2000,"SNE",1.8393,"maximum intensity","degrees C"
2000,"SNE",2.5465,"maximum intensity","degrees C"
2001,"SNE",2.7669,"maximum intensity","degrees C"
2001,"SNE",1.7768,"maximum intensity","degrees C"
2001,"SNE",2.3152,"maximum intensity","degrees C"
2002,"SNE",2.0364,"maximum intensity","degrees C"
2002,"SNE",1.9719,"maximum intensity","degrees C"
2002,"SNE",2.8609,"maximum intensity","degrees C"
2002,"SNE",1.9147,"maximum intensity","degrees C"
