"SVSPP","COMNAME","ITISSPP","NESPP3","SCINAME","Fed.Managed","SOE.17","EMAX","RPATH","SOE.18","SizeCat","Min.size","Garrison.Link","NEIEA","SOE.20","SOE.24","FMP"
NA,"DRUM,FRESHWATER",169364,104,"APLODINOTUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"DULSE",12842,831,"PALMARIA PALMATA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"EEL,CUTTHROAT",635305,118,"SYNAPHOBRANCHINAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"FALSE IRISH MOSS",12104,830,"GIGARTINA STELLATA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"FINGERED KELP",11228,820,"LAMINARIA DIGITATA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"FISH,OTHER",161030,NA,"OSTEICHTHYES",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"FISH,OTHER-INDUSTRIAL",161030,529,"OSTEICHTHYES",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"GARFISHES",161092,133,"LEPISOSTEIDAE",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"GROUPER,CONEY",167740,141,"CEPHALOPHOLIS FULVA",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"GRUNT,WHITE",613026,144,"HAEMULON PLUMIERI",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"HAGFISH",159753,150,"MYXINIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
NA,"HAKE,LONGFIN",164734,663,"PHYCIS CHESTERI",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"HALFBEAKS",553172,164,"HEMIRAMPHIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"HARVESTFISHES",172564,165,"PEPRILUS ",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
NA,"HERRING SMELT",162057,171,"ARGENTINIDAE",NA,"Other",NA,"SmallPelagics","Other",NA,NA,NA,"Forage Fish","Other","Other",NA
NA,"HERRING,RIVER",161701,170,"ALOSA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"IRISH MOSS",12092,829,"CHONDRUS CRISPUS",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"JACK,BAR",168615,214,"CARANGOIDES RUBER",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"JELLYFISH,UNC",51483,899,"SCYPHOZOA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"KING WHITING",169273,197,"MENTICIRRHUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"LANCETFISHES,UNC",162523,677,"ALEPISAURIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"LAUNCES",171671,206,"AMMODYTES",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"MANTIS SHRIMPS",99143,737,"STOMATOPODA",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"MARLIN,UNC",172486,218,"ISTIOPHORIDAE",NA,"Other",NA,"HMS","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"MINNOWS",163342,223,"CYPRINIDAE ",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"MOLLUSKS,UNC",69458,804,"MOLLUSCA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"MULLET,RED (GOATFISH)",169406,236,"MULLIDAE",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"MULLETS",170333,234,"MUGILIDAE",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"NORI/LAVER",11540,827,"PORPHYRA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"OARWEED KELP",11217,821,"LAMINARIA LONGICRURIS",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"OCTOPUS",82590,786,"OCTOPODIDAE",NA,"Other",NA,"OtherCephalopods","Other",NA,NA,NA,"Forage Fish","Other","Other",NA
NA,"OPAH",166326,249,"LAMPRIS GUTTATUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"OYSTER,EASTERN",79872,789,"CRASSOSTREA VIRGINICA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"OYSTER,EUROPEAN FLAT",79885,792,"OSTREA EDULIS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"PERCH,TRUE",168356,517,"PERCA FLAVESCENS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"PERIWINKLES,ATLANTIC (COCKLES)",70394,798,"LITTORINIDAE",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"POMFRETS",170287,271,"BRAMIDAE",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"PORGY,RED",169207,330,"PAGRUS PAGRUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
NA,"PUFFERS,(SEA CHICKEN)",173289,430,"SPHOEROIDES",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"RAY,BULLNOSE",564391,673,"MYLIOBATIS FREMINVILLII",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"RAY,EAGLE",160976,670,"MYLIOBATIDAE",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"RAY,SICKLEFIN (CHILEAN) DEVIL",564407,287,"MOBULA TARAPACANA",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"RAY,SPINETAIL DEVIL",160998,288,"MOBULA JAPANICA",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"REDFISH,GOLDEN",166781,243,"SEBASTES NORVEGICUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"RIBBONFISHES",166339,98,"TRACHIPTERIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"ROCKWEED",11329,832,"FUCACEAE",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SALMON,COHO,AQUACULTURE",161977,307,"ONCORHYNCHUS KISUTCH",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SALMON,KING,AQUACULTURE",161980,308,"ONCORHYNCHUS TSHAWYTSCHA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SALMON,PACIFIC,PINK",161975,306,"ONCORHYNCHUS GORBUSCHA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SALMON,UNCLASSIFIED",161974,309,"ONCORHYNCHUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SANDWORMS",65902,825,"NEREIS",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SCALLOP,UNC",79611,796,"PECTINIDAE",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"SEA BASS,NK",167686,333,"CENTROPRISTIS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
NA,"SEA CUCUMBER",158140,806,"HOLOTHUROIDEA",NA,"Benthos",NA,"Macrobenthos","Benthos",NA,NA,NA,"BenthicInvert","Benthos","Benthos",NA
NA,"SEA LETTUCE",6562,826,"ULVA LACTUCA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SEA TROUT,UNC",169238,334,"CYNOSCION SPP",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SEA URCHINS",157968,805,"STRONGYLOCENTROTUS",NA,"Benthos",NA,"Macrobenthos","Benthos",NA,NA,NA,"BenthicInvert","Benthos","Benthos",NA
NA,"SEAROBINS,NORTH AMERICAN",166973,341,"PRIONOTUW",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SEAWEED,UNC",10685,817,"PHAEOPHYTA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,CARCHARHIN,NK",160267,497,"CARCHARHINUS",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,CARIBBEAN SHARPNOSE",160206,504,"Rhizoprionodon porosus",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,GREENLAND",160611,475,"SOMNIOSUS MICROCEPHALUS",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,HAMMERHEAD",160497,495,"SPHYRNIDAE",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,MAKO UNC",159923,357,"ISURUS",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,PELAGIC,NK",159851,498,"LAMINIFORMES",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,SMALL COASTAL SPECIES",159786,501,"CHONDIRCHTHYES",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,THRESHER UNC",159915,360,"ALOPIAS",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHARK,UNC",159785,359,"CHONDRICHTHYES",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,ATLANTIC & GULF,BROWN",95602,738,"PANAEIDAE",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,CRANGON",97106,739,"CRANGONIDAE",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,NORTHERN BROWN",551570,731,"FARFANTEPENAEUS AZTECUS",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,ROCK",96027,730,"SICYONIA",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,SCARLET",96074,734,"ARISTAEOPSIS EDWARDSIANA",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SHRIMP,UNC (CARIDEA)",96106,735,"CARIDEA",NA,"Other",NA,"OtherShrimp","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SILVERSIDES",630579,363,"ATHERINOPSIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SKATE,SHORTTAIL",564207,378,"AMBLYRAJA JENSENI",NA,"Other",NA,"OtherSkates","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SKATES",160845,365,"RAJIDAE",NA,"Other",NA,"OtherSkates","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SKATES,LITTLE/WINTER MIXED",564037,373,"LEUCORAJA",NA,"Other",NA,"OtherSkates","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SMELTS",162028,371,"OSMERIDAE",NA,"Other",NA,"SmallPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
NA,"SNAIL,SLIPPER LIMPET",72623,764,"Crepidula fornicata",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"SNAILS(CONCHS)",72554,775,"STROMBIDAE",NA,"Benthos",NA,"Macrobenthos","Benthos",NA,NA,NA,"BenthicInvert","Benthos","Benthos",NA
NA,"SNAKEHEAD,NORTHERN  ",166680,392,"CHANNA ARGUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SNAPPER,CUBERA",168847,336,"LUTJANUS CYANOPTERUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SPEARFISH,ROUNDSCALE",646756,400,"TETRAPTURUS GEORGII",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SPEARFISHES",172498,401,"TETRAPTURUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SQUIDS",82367,807,"TEUTHIDA",NA,"Other",NA,"OtherCephalopods","Other",NA,NA,NA,"Forage Fish","Other","Other",NA
NA,"SQUIDS,LOLIGINIDAE",82369,803,"LOLIGINIDAE",NA,"Other",NA,"OtherCephalopods","Other",NA,NA,NA,"Forage Fish","Other","Other",NA
NA,"STARFISH",156862,828,"ASTEROIDEA",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"STINGRAYS",160946,286,"DASYATIDAE ",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"STURGEON,ATLANTIC",553269,420,"ACIPENSER OXYRINCHUS",NA,"Other",NA,"Sturgeon","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"STURGEONS,UNC",161064,421,"ACIPENSERIDAE",NA,"Other",NA,"Sturgeon","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SUCKERS",163892,423,"CATOSTOMIDAE",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SUGAR KELP",11222,833,"LAMINARIA SACCHARINA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"SUNFISHES",168093,426,"CENTRARCHIDAE",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TERRAPIN",173780,808,"MALACLEMYS TERRAPIN",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TILEFISH,UNC",168537,447,"MALACANTHIDAE",NA,"Other",NA,"Tilefish","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TOADFISHES",164412,451,"BATRACHOIDIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TUNA,UNC",172418,465,"THUNNUS",NA,"Other",NA,"HMS","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TURTLE,KEMPS RIDLEY",551770,810,"LEPIDOCHELYS KEMPI",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TURTLE,OLIVE RIDLEY",173840,818,"LEPIDOCHELYS OLIVACEA",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TURTLES,SLIDERS",173803,811,"PSEUDEMYS",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TURTLES,SNAPPING",173752,815,"CHELYDRA SERPENTINA",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"TURTLES,UNC",173749,816,"TESTUDINES",NA,"Other",NA,"Turtles","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WALLEYE",650173,518,"SANDER VITREUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WHELK,LIGHTNING",74075,778,"BUSYCON SINISTRUM",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"WHELK,TRUE,UNC",73726,774,"BUCCINIDAE",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
NA,"WINGED KELP",11300,822,"ALARIA ESCULENTA",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WOLFFISH,NORTHERN",550561,668,"ANARHICHAS DENTICULATUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WOLFFISH,SPOTTED",171342,510,"ANARHICHAS MINOR",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WORMWEED",11332,824,"ASCOPHYLLUM NODOSUM SCORPIOIDES",NA,"Other",NA,"Fauna","Other",NA,NA,NA,NA,"Other","Other",NA
NA,"WRECKFISH",167914,513,"POLYPRION AMERICANUS",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
0,"UNCLASSIFIED FISH",NA,NA,"UNIDENTIFIED FISH",NA,"Other",NA,NA,"Other",NA,NA,NA,NA,"Other","Other",NA
1,"ATLANTIC HAGFISH",159772,150,"MYXINE GLUTINOSA",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,"Other","Other","Benthivore",NA
2,"SEA LAMPREY",159722,NA,"PETROMYZON MARINUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Piscivore",NA
3,"DUSKY SHARK",160268,484,"CARCHARHINUS OBSCURUS",NA,"Other","Piscivore Elasmobranchs","Sharks","Other",NA,NA,NA,"Sharks/Rays","Other","Other",NA
4,"ROUGHTAIL STINGRAY",160952,NA,"DASYATIS CENTROURA",NA,"Other","Benthivore Elasmobranchs","Rays","Other",NA,NA,NA,NA,"Other","Benthivore",NA
5,"RAY AND SKATE UNCL",160806,289,"RAJIFORMES",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
6,"BASKING SHARK",159907,496,"CETORHINUS MAXIMUS",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
7,"BLACK DOGFISH",160703,339,"CENTROSCYLLIUM FABRICII",NA,"Other","Piscivore Elasmobranchs","Sharks","Other",NA,NA,NA,"Sharks/Rays","Other","Other",NA
8,"ROUGH SAGRE",160659,NA,"ETMOPTERUS PRINCEPS",NA,"Other","Benthivore Elasmobranchs","Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
9,"SANDBAR SHARK",160289,482,"CARCHARHINUS PLUMBEUS",NA,"Other","Piscivore Elasmobranchs","Sharks","Other",NA,NA,NA,"Sharks/Rays","Other","Piscivore",NA
11,"SHARK UNCL",NA,NA,"SELACHIMORPHA",NA,"Apex Predator",NA,"Sharks","Apex Predator",NA,NA,NA,NA,"Apex Predator","Apex Predator",NA
12,"SAND TIGER",159888,349,"CARCHARIAS TAURUS",NA,"Other","Piscivore Elasmobranchs","Sharks","Other",NA,NA,NA,"Sharks/Rays","Other","Other",NA
13,"SMOOTH DOGFISH",160230,351,"MUSTELUS CANIS",NA,"Macrozoo-piscivore","Piscivore Elasmobranchs","SmoothDogfish","Benthivore","M",41,"Crab Eaters","Elasmobranchs","Benthivore","Benthivore",NA
13,"SMOOTH DOGFISH",160230,351,"MUSTELUS CANIS",NA,"Macrozoo-piscivore","Piscivore Elasmobranchs","SmoothDogfish","Benthivore","L",61,"Crab Eaters","Elasmobranchs","Benthivore","Benthivore",NA
14,"CHAIN DOGFISH",160060,346,"SCYLIORHINUS RETIFER",NA,"Benthivore","Piscivore Elasmobranchs","Sharks","Benthivore",NA,NA,NA,"Elasmobranchs","Benthivore","Benthivore",NA
15,"SPINY DOGFISH",160617,352,"SQUALUS ACANTHIAS","JOINT","Piscivore","Piscivore Elasmobranchs","SpinyDogfish","Piscivore","S",10,"Planktivores","Elasmobranchs","Piscivore","Piscivore","Spiny Dogfish"
15,"SPINY DOGFISH",160617,352,"SQUALUS ACANTHIAS","JOINT","Piscivore","Piscivore Elasmobranchs","SpinyDogfish","Piscivore","M",41,"Planktivores","Elasmobranchs","Piscivore","Piscivore","Spiny Dogfish"
15,"SPINY DOGFISH",160617,352,"SQUALUS ACANTHIAS","JOINT","Piscivore","Piscivore Elasmobranchs","SpinyDogfish","Piscivore","L",61,"Piscivores","Elasmobranchs","Piscivore","Piscivore","Spiny Dogfish"
16,"ATLANTIC ANGEL SHARK",160787,477,"SQUATINA DUMERIL",NA,"Other","Piscivore Elasmobranchs","Sharks","Other",NA,NA,NA,"Sharks/Rays","Other","Piscivore",NA
17,"BLUE SHARK",160424,493,"PRIONACE GLAUCA",NA,"Other",NA,"Sharks","Other",NA,NA,NA,NA,"Other","Other",NA
18,"BLUNTNOSE STINGRAY",160954,NA,"DASYATIS SAY",NA,"Other","Benthivore Elasmobranchs","Rays","Other",NA,NA,NA,NA,"Other","Benthivore",NA
19,"BULLNOSE RAY",160980,NA,"MYLIOBATIS FREMINVILLEI",NA,"Other","Benthivore Elasmobranchs","Rays","Other",NA,NA,NA,NA,"Other","Benthivore",NA
20,"OCELLATE SKATES",160846,365,"RAJA ",NA,"Other",NA,"OtherSkates","Other",NA,NA,NA,NA,"Other","Other",NA
21,"ATLANTIC TORPEDO",160834,NA,"TORPEDO NOBILIANA",NA,"Other","Benthivore Elasmobranchs","Freshwater","Other",NA,NA,NA,"Sharks/Rays","Other","Piscivore",NA
22,"BARNDOOR SKATE",564139,368,"DIPTURUS LAEVIS","NEFMC","Benthivore","Omnivore Elasmobranchs","Barndoor","Benthivore",NA,NA,NA,"Elasmobranchs","Benthivore","Benthivore","Skates"
23,"WINTER SKATE",564145,367,"LEUCORAJA OCELLATA","NEFMC","Piscivore","Omnivore Elasmobranchs","WinterSkate","Piscivore","S",10,"Amphipod/Shrimp Eaters","Elasmobranchs","Piscivore","Piscivore","Skates"
23,"WINTER SKATE",564145,367,"LEUCORAJA OCELLATA","NEFMC","Piscivore","Omnivore Elasmobranchs","WinterSkate","Piscivore","M",31,"Amphipod/Shrimp Eaters","Elasmobranchs","Piscivore","Piscivore","Skates"
23,"WINTER SKATE",564145,367,"LEUCORAJA OCELLATA","NEFMC","Piscivore","Omnivore Elasmobranchs","WinterSkate","Piscivore","L",61,"Piscivores","Elasmobranchs","Piscivore","Piscivore","Skates"
23,"WINTER SKATE",564145,367,"LEUCORAJA OCELLATA","NEFMC","Piscivore","Omnivore Elasmobranchs","WinterSkate","Piscivore","XL",81,"Piscivores","Elasmobranchs","Piscivore","Piscivore","Skates"
24,"CLEARNOSE SKATE",160855,372,"RAJA EGLANTERIA","NEFMC","Macrozoo-piscivore","Benthivore Elasmobranchs","OtherSkates","Piscivore",NA,NA,NA,"Elasmobranchs","Piscivore","Piscivore","Skates"
