"Time","Value","Var","EPU","Units"
1894,11.5768538986643,"long-term sst","All","degreesC"
1895,11.240211140651,"long-term sst","All","degreesC"
1896,11.6532696175079,"long-term sst","All","degreesC"
1897,11.3444287988047,"long-term sst","All","degreesC"
1898,11.415248349309,"long-term sst","All","degreesC"
1899,11.5331492771705,"long-term sst","All","degreesC"
1900,11.2020028829575,"long-term sst","All","degreesC"
1901,11.0199321210384,"long-term sst","All","degreesC"
1902,10.8997208649913,"long-term sst","All","degreesC"
1903,11.163024370869,"long-term sst","All","degreesC"
1904,10.8877704665065,"long-term sst","All","degreesC"
1905,9.65215327189519,"long-term sst","All","degreesC"
1906,11.546611705174,"long-term sst","All","degreesC"
1907,10.1204523767034,"long-term sst","All","degreesC"
1908,11.2893049779038,"long-term sst","All","degreesC"
1909,11.1000372332831,"long-term sst","All","degreesC"
1910,10.7222695946693,"long-term sst","All","degreesC"
1911,11.507794311891,"long-term sst","All","degreesC"
1912,11.4917827807367,"long-term sst","All","degreesC"
1913,12.2642747213443,"long-term sst","All","degreesC"
1914,11.5059794460734,"long-term sst","All","degreesC"
1915,11.1077123433352,"long-term sst","All","degreesC"
1916,10.6363320300976,"long-term sst","All","degreesC"
1917,10.3711188410719,"long-term sst","All","degreesC"
1918,10.5505533566078,"long-term sst","All","degreesC"
1919,10.6403260690471,"long-term sst","All","degreesC"
1920,10.4917320139133,"long-term sst","All","degreesC"
1921,12.2018161217372,"long-term sst","All","degreesC"
1922,11.4364584361513,"long-term sst","All","degreesC"
1923,10.5004111453891,"long-term sst","All","degreesC"
1924,10.8952028614779,"long-term sst","All","degreesC"
1925,10.9497488278609,"long-term sst","All","degreesC"
1926,10.8703314438462,"long-term sst","All","degreesC"
1927,11.1275334109863,"long-term sst","All","degreesC"
1928,11.5664813468854,"long-term sst","All","degreesC"
1929,11.6173872450987,"long-term sst","All","degreesC"
1930,11.5117352455854,"long-term sst","All","degreesC"
1931,12.1649840250611,"long-term sst","All","degreesC"
1932,11.935157644252,"long-term sst","All","degreesC"
1933,11.9306293775638,"long-term sst","All","degreesC"
1934,11.6585130592187,"long-term sst","All","degreesC"
1935,11.094342309695,"long-term sst","All","degreesC"
1936,11.4049206078053,"long-term sst","All","degreesC"
1937,12.2438416530689,"long-term sst","All","degreesC"
1938,12.0890175364912,"long-term sst","All","degreesC"
1939,12.1094669302305,"long-term sst","All","degreesC"
1940,10.8518990897215,"long-term sst","All","degreesC"
1941,11.5981752338509,"long-term sst","All","degreesC"
1942,12.2324338890612,"long-term sst","All","degreesC"
1943,12.2472604947786,"long-term sst","All","degreesC"
1944,12.5492748605708,"long-term sst","All","degreesC"
1945,12.1801126484688,"long-term sst","All","degreesC"
1946,12.2059477145473,"long-term sst","All","degreesC"
1947,12.9803146322568,"long-term sst","All","degreesC"
1948,12.0666075137754,"long-term sst","All","degreesC"
1949,13.3974123001099,"long-term sst","All","degreesC"
1950,12.052597797834,"long-term sst","All","degreesC"
1951,13.1881398161252,"long-term sst","All","degreesC"
1952,12.3562925706307,"long-term sst","All","degreesC"
1953,12.5434650803606,"long-term sst","All","degreesC"
1954,12.1652931049466,"long-term sst","All","degreesC"
1955,11.6997968325248,"long-term sst","All","degreesC"
1956,11.3919721295436,"long-term sst","All","degreesC"
1957,12.3026058102647,"long-term sst","All","degreesC"
1958,11.567683664461,"long-term sst","All","degreesC"
1959,12.0736744192739,"long-term sst","All","degreesC"
1960,11.5673176050186,"long-term sst","All","degreesC"
1961,11.5330704152584,"long-term sst","All","degreesC"
1962,11.5417389521996,"long-term sst","All","degreesC"
1963,11.5622052351634,"long-term sst","All","degreesC"
1964,10.9290529042482,"long-term sst","All","degreesC"
1965,10.0525359075803,"long-term sst","All","degreesC"
1966,10.7449162863195,"long-term sst","All","degreesC"
1967,10.8388414171835,"long-term sst","All","degreesC"
1968,11.582850638777,"long-term sst","All","degreesC"
1969,11.7584078709284,"long-term sst","All","degreesC"
1970,11.2553285750059,"long-term sst","All","degreesC"
1971,11.7170834876597,"long-term sst","All","degreesC"
1972,11.528936975946,"long-term sst","All","degreesC"
1973,12.3463097338875,"long-term sst","All","degreesC"
1974,12.4996241629124,"long-term sst","All","degreesC"
1975,11.9355049202075,"long-term sst","All","degreesC"
1976,11.999874971807,"long-term sst","All","degreesC"
1977,11.5989177996914,"long-term sst","All","degreesC"
1978,11.4983898624778,"long-term sst","All","degreesC"
1979,11.8227541446686,"long-term sst","All","degreesC"
1980,11.6872669206216,"long-term sst","All","degreesC"
1981,11.6910606473684,"long-term sst","All","degreesC"
1982,11.9626358374953,"long-term sst","All","degreesC"
1983,12.5371384347479,"long-term sst","All","degreesC"
1984,12.3443562562267,"long-term sst","All","degreesC"
1985,12.1540811084784,"long-term sst","All","degreesC"
1986,12.2504033471147,"long-term sst","All","degreesC"
1987,11.8134895314773,"long-term sst","All","degreesC"
1988,11.3976424957315,"long-term sst","All","degreesC"
1989,12.0164659892519,"long-term sst","All","degreesC"
1990,11.6783131108834,"long-term sst","All","degreesC"
1991,12.3371032973131,"long-term sst","All","degreesC"
1992,11.3478230237961,"long-term sst","All","degreesC"
1993,11.6606300721566,"long-term sst","All","degreesC"
1994,11.883661073943,"long-term sst","All","degreesC"
1995,11.6891233485479,"long-term sst","All","degreesC"
1996,10.966922176381,"long-term sst","All","degreesC"
1997,11.5227103456855,"long-term sst","All","degreesC"
1998,12.1519508386652,"long-term sst","All","degreesC"
1999,12.8458051954707,"long-term sst","All","degreesC"
2000,12.2307259119474,"long-term sst","All","degreesC"
2001,12.3246220002572,"long-term sst","All","degreesC"
2002,12.7235137671232,"long-term sst","All","degreesC"
2003,11.4714783442517,"long-term sst","All","degreesC"
2004,11.7677947469056,"long-term sst","All","degreesC"
2005,11.7264173363264,"long-term sst","All","degreesC"
2006,12.7253350615501,"long-term sst","All","degreesC"
2007,12.2746951008836,"long-term sst","All","degreesC"
2008,12.3566996802886,"long-term sst","All","degreesC"
2009,12.3320181493958,"long-term sst","All","degreesC"
2010,12.4739916897737,"long-term sst","All","degreesC"
2011,12.7641835759083,"long-term sst","All","degreesC"
2012,13.8863735198975,"long-term sst","All","degreesC"
2013,12.9218659574787,"long-term sst","All","degreesC"
2014,12.8665074259043,"long-term sst","All","degreesC"
2015,12.7472365681942,"long-term sst","All","degreesC"
2016,13.862646450599,"long-term sst","All","degreesC"
2017,13.2985341250896,"long-term sst","All","degreesC"
2018,12.8574702764551,"long-term sst","All","degreesC"
2019,12.6904668956995,"long-term sst","All","degreesC"
2020,12.9310780740701,"long-term sst","All","degreesC"
2021,13.8649947543939,"long-term sst","All","degreesC"
2022,13.4344294766585,"long-term sst","All","degreesC"
2023,13.2543210188548,"long-term sst","All","degreesC"
2024,13.4951592892408,"long-term sst","All","degreesC"
