"Time","Var","Value","EPU","Units"
1994,"maximum intensity-SurfaceDetrended",2.5667,"MAB","degrees C"
1995,"maximum intensity-SurfaceDetrended",2.3575,"GB","degrees C"
1995,"maximum intensity-SurfaceDetrended",1.7832,"MAB","degrees C"
1996,"maximum intensity-SurfaceDetrended",2.0914,"MAB","degrees C"
1999,"maximum intensity-SurfaceDetrended",2.7246,"GB","degrees C"
1999,"maximum intensity-SurfaceDetrended",2.4895,"GOM","degrees C"
1999,"maximum intensity-SurfaceDetrended",2.6566,"MAB","degrees C"
2000,"maximum intensity-SurfaceDetrended",1.6785,"GB","degrees C"
2000,"maximum intensity-SurfaceDetrended",2.3568,"MAB","degrees C"
2001,"maximum intensity-SurfaceDetrended",2.7375,"GB","degrees C"
2001,"maximum intensity-SurfaceDetrended",2.2475,"MAB","degrees C"
2002,"maximum intensity-SurfaceDetrended",2.6041,"GB","degrees C"
2002,"maximum intensity-SurfaceDetrended",3.3564,"MAB","degrees C"
2005,"maximum intensity-SurfaceDetrended",2.7692,"GB","degrees C"
2005,"maximum intensity-SurfaceDetrended",1.8728,"GOM","degrees C"
2005,"maximum intensity-SurfaceDetrended",1.9359,"MAB","degrees C"
2006,"maximum intensity-SurfaceDetrended",1.6626,"GB","degrees C"
2006,"maximum intensity-SurfaceDetrended",1.81,"GOM","degrees C"
2006,"maximum intensity-SurfaceDetrended",1.8927,"MAB","degrees C"
2007,"maximum intensity-SurfaceDetrended",2.2923,"GB","degrees C"
2007,"maximum intensity-SurfaceDetrended",2.792,"MAB","degrees C"
2008,"maximum intensity-SurfaceDetrended",1.863,"GOM","degrees C"
2009,"maximum intensity-SurfaceDetrended",3.2179,"GB","degrees C"
2009,"maximum intensity-SurfaceDetrended",2.432,"GOM","degrees C"
2009,"maximum intensity-SurfaceDetrended",1.9052,"MAB","degrees C"
2010,"maximum intensity-SurfaceDetrended",2.5631,"GB","degrees C"
2010,"maximum intensity-SurfaceDetrended",3.8771,"GOM","degrees C"
2010,"maximum intensity-SurfaceDetrended",2.8915,"MAB","degrees C"
2011,"maximum intensity-SurfaceDetrended",2.6889,"GB","degrees C"
2011,"maximum intensity-SurfaceDetrended",2.4029,"GOM","degrees C"
2011,"maximum intensity-SurfaceDetrended",4.3969,"MAB","degrees C"
2012,"maximum intensity-SurfaceDetrended",3.0176,"GB","degrees C"
2012,"maximum intensity-SurfaceDetrended",3.4655,"GOM","degrees C"
2012,"maximum intensity-SurfaceDetrended",4.6032,"MAB","degrees C"
2013,"maximum intensity-SurfaceDetrended",2.4205,"GB","degrees C"
2013,"maximum intensity-SurfaceDetrended",3.0465,"GOM","degrees C"
2014,"maximum intensity-SurfaceDetrended",1.9723,"GOM","degrees C"
2014,"maximum intensity-SurfaceDetrended",2.0148,"MAB","degrees C"
2015,"maximum intensity-SurfaceDetrended",3.1294,"GB","degrees C"
2015,"maximum intensity-SurfaceDetrended",2.4783,"GOM","degrees C"
2015,"maximum intensity-SurfaceDetrended",3.246,"MAB","degrees C"
2016,"maximum intensity-SurfaceDetrended",3.0548,"GB","degrees C"
2016,"maximum intensity-SurfaceDetrended",2.9329,"GOM","degrees C"
2016,"maximum intensity-SurfaceDetrended",2.0595,"MAB","degrees C"
2017,"maximum intensity-SurfaceDetrended",1.756,"GB","degrees C"
2017,"maximum intensity-SurfaceDetrended",1.7341,"GOM","degrees C"
2017,"maximum intensity-SurfaceDetrended",1.8008,"MAB","degrees C"
2018,"maximum intensity-SurfaceDetrended",1.3337,"GB","degrees C"
2018,"maximum intensity-SurfaceDetrended",3.0016,"GOM","degrees C"
2018,"maximum intensity-SurfaceDetrended",3.5155,"MAB","degrees C"
2019,"maximum intensity-SurfaceDetrended",1.9618,"MAB","degrees C"
2020,"maximum intensity-SurfaceDetrended",3.2757,"GB","degrees C"
2020,"maximum intensity-SurfaceDetrended",2.4955,"GOM","degrees C"
2020,"maximum intensity-SurfaceDetrended",1.7077,"MAB","degrees C"
2021,"maximum intensity-SurfaceDetrended",3.4943,"GB","degrees C"
2021,"maximum intensity-SurfaceDetrended",2.1043,"GOM","degrees C"
2021,"maximum intensity-SurfaceDetrended",2.3572,"MAB","degrees C"
2022,"maximum intensity-SurfaceDetrended",2.8449,"GB","degrees C"
2022,"maximum intensity-SurfaceDetrended",2.4196,"GOM","degrees C"
2022,"maximum intensity-SurfaceDetrended",1.8468,"MAB","degrees C"
2023,"maximum intensity-SurfaceDetrended",1.6608,"GB","degrees C"
2023,"maximum intensity-SurfaceDetrended",2.4341,"GOM","degrees C"
2023,"maximum intensity-SurfaceDetrended",2.0703,"MAB","degrees C"
2024,"maximum intensity-SurfaceDetrended",2.0696,"GOM","degrees C"
1982,"duration-SurfaceDetrended",135,"GB","N days"
1982,"duration-SurfaceDetrended",165,"GOM","N days"
1982,"duration-SurfaceDetrended",8,"MAB","N days"
1983,"duration-SurfaceDetrended",8,"GB","N days"
1983,"duration-SurfaceDetrended",25,"GOM","N days"
1983,"duration-SurfaceDetrended",11,"MAB","N days"
1984,"duration-SurfaceDetrended",21,"GB","N days"
1984,"duration-SurfaceDetrended",81,"GOM","N days"
1984,"duration-SurfaceDetrended",18,"MAB","N days"
1985,"duration-SurfaceDetrended",5,"GB","N days"
1985,"duration-SurfaceDetrended",72,"GOM","N days"
1985,"duration-SurfaceDetrended",46,"MAB","N days"
1986,"duration-SurfaceDetrended",10,"GB","N days"
1986,"duration-SurfaceDetrended",6,"GOM","N days"
1986,"duration-SurfaceDetrended",15,"MAB","N days"
1987,"duration-SurfaceDetrended",6,"GB","N days"
1988,"duration-SurfaceDetrended",7,"GB","N days"
1988,"duration-SurfaceDetrended",9,"MAB","N days"
1989,"duration-SurfaceDetrended",6,"GB","N days"
1989,"duration-SurfaceDetrended",6,"GOM","N days"
1989,"duration-SurfaceDetrended",10,"MAB","N days"
1990,"duration-SurfaceDetrended",48,"GB","N days"
1990,"duration-SurfaceDetrended",15,"GOM","N days"
1990,"duration-SurfaceDetrended",14,"MAB","N days"
1991,"duration-SurfaceDetrended",12,"GB","N days"
1991,"duration-SurfaceDetrended",11,"GOM","N days"
1991,"duration-SurfaceDetrended",13,"MAB","N days"
1993,"duration-SurfaceDetrended",11,"MAB","N days"
1994,"duration-SurfaceDetrended",54,"GB","N days"
1994,"duration-SurfaceDetrended",18,"GOM","N days"
1994,"duration-SurfaceDetrended",13,"MAB","N days"
1995,"duration-SurfaceDetrended",11,"GB","N days"
1995,"duration-SurfaceDetrended",33,"MAB","N days"
1996,"duration-SurfaceDetrended",8,"MAB","N days"
1999,"duration-SurfaceDetrended",24,"GB","N days"
1999,"duration-SurfaceDetrended",14,"GOM","N days"
1999,"duration-SurfaceDetrended",26,"MAB","N days"
2000,"duration-SurfaceDetrended",14,"GB","N days"
2000,"duration-SurfaceDetrended",8,"MAB","N days"
2001,"duration-SurfaceDetrended",16,"GB","N days"
2001,"duration-SurfaceDetrended",16,"MAB","N days"
2002,"duration-SurfaceDetrended",13,"GB","N days"
2002,"duration-SurfaceDetrended",38,"MAB","N days"
2005,"duration-SurfaceDetrended",13,"GB","N days"
2005,"duration-SurfaceDetrended",5,"GOM","N days"
2005,"duration-SurfaceDetrended",8,"MAB","N days"
2006,"duration-SurfaceDetrended",9,"GB","N days"
2006,"duration-SurfaceDetrended",38,"GOM","N days"
2006,"duration-SurfaceDetrended",8,"MAB","N days"
2007,"duration-SurfaceDetrended",24,"GB","N days"
2007,"duration-SurfaceDetrended",29,"MAB","N days"
2008,"duration-SurfaceDetrended",5,"GOM","N days"
2009,"duration-SurfaceDetrended",32,"GB","N days"
2009,"duration-SurfaceDetrended",10,"GOM","N days"
2009,"duration-SurfaceDetrended",12,"MAB","N days"
2010,"duration-SurfaceDetrended",15,"GB","N days"
2010,"duration-SurfaceDetrended",35,"GOM","N days"
2010,"duration-SurfaceDetrended",21,"MAB","N days"
2011,"duration-SurfaceDetrended",11,"GB","N days"
2011,"duration-SurfaceDetrended",11,"GOM","N days"
2011,"duration-SurfaceDetrended",21,"MAB","N days"
2012,"duration-SurfaceDetrended",30,"GB","N days"
2012,"duration-SurfaceDetrended",24,"GOM","N days"
2012,"duration-SurfaceDetrended",49,"MAB","N days"
2013,"duration-SurfaceDetrended",12,"GB","N days"
2013,"duration-SurfaceDetrended",10,"GOM","N days"
2014,"duration-SurfaceDetrended",5,"GOM","N days"
2014,"duration-SurfaceDetrended",6,"MAB","N days"
2015,"duration-SurfaceDetrended",31,"GB","N days"
2015,"duration-SurfaceDetrended",9,"GOM","N days"
2015,"duration-SurfaceDetrended",41,"MAB","N days"
2016,"duration-SurfaceDetrended",19,"GB","N days"
2016,"duration-SurfaceDetrended",19,"GOM","N days"
2016,"duration-SurfaceDetrended",12,"MAB","N days"
2017,"duration-SurfaceDetrended",5,"GB","N days"
