"Latitude","Longitude","Value","EPU"
43.625,-76.625,3.60089494871057,"MAB"
43.625,-76.375,3.54466931716256,"MAB"
43.625,-76.125,3.43276929855347,"MAB"
43.625,-70.125,4.22197134598442,"MAB"
43.625,-69.875,4.83549082797507,"MAB"
43.625,-69.625,5.11273561353269,"MAB"
43.625,-69.375,5.00370640340059,"MAB"
43.625,-69.125,4.51440439016923,"MAB"
43.625,-68.875,3.6954463461171,"MAB"
43.625,-68.625,3.43347383582074,"MAB"
43.625,-68.375,3.60432446521261,"MAB"
43.625,-68.125,3.8928408726402,"MAB"
43.625,-67.875,4.06639839255292,"MAB"
43.625,-67.625,3.96545661014059,"MAB"
43.625,-67.375,3.67747016575025,"MAB"
43.625,-67.125,3.455666448759,"MAB"
43.625,-66.875,3.33814042547475,"MAB"
43.625,-66.625,3.24235661133476,"MAB"
43.625,-66.375,3.18316697037738,"MAB"
43.625,-66.125,3.11904784907465,"MAB"
43.625,-65.875,2.76076815439307,"MAB"
43.625,-65.125,1.86679434776306,"MAB"
43.625,-64.875,2.02256688864335,"MAB"
43.625,-64.625,2.1821431906327,"MAB"
43.625,-64.375,2.22502683556598,"MAB"
43.625,-64.125,2.17491768754047,"MAB"
43.625,-63.875,2.06919778948245,"MAB"
43.625,-63.625,1.92966590756955,"MAB"
43.625,-63.375,1.82394220518029,"MAB"
43.625,-63.125,1.70443416678387,"MAB"
43.625,-62.875,1.54962523087211,"MAB"
43.625,-62.625,1.40914582169574,"MAB"
43.625,-62.375,1.32612760170646,"MAB"
43.625,-62.125,1.33612352868785,"MAB"
43.625,-61.875,1.35089894999628,"MAB"
43.625,-61.625,1.32038172431614,"MAB"
43.625,-61.375,1.23600758676944,"MAB"
43.625,-61.125,1.09443707051484,"MAB"
43.625,-60.875,0.908422345700471,"MAB"
43.625,-60.625,0.73619618623153,"MAB"
43.625,-60.375,0.67752542703048,"MAB"
43.625,-60.125,0.701761142067287,"MAB"
43.375,-76.875,3.44497311633566,"MAB"
43.375,-76.625,3.43662715994793,"MAB"
43.375,-76.375,3.40693077833756,"MAB"
43.375,-70.375,4.46398443761079,"MAB"
43.375,-70.125,4.79992173029029,"MAB"
43.375,-69.875,5.37693338808806,"MAB"
43.375,-69.625,5.81357863674993,"MAB"
43.375,-69.375,5.75700452016748,"MAB"
43.375,-69.125,5.24193394702414,"MAB"
43.375,-68.875,4.70463608658832,"MAB"
43.375,-68.625,4.40303605535756,"MAB"
43.375,-68.375,4.27459508439769,"MAB"
43.375,-68.125,4.25588741509811,"MAB"
43.375,-67.875,4.16556181078372,"MAB"
43.375,-67.625,3.90563004949819,"MAB"
43.375,-67.375,3.61377020504164,"MAB"
43.375,-67.125,3.36605605871781,"MAB"
43.375,-66.875,3.1880814925484,"MAB"
43.375,-66.625,2.99120323554329,"MAB"
43.375,-66.375,2.82821581674659,"MAB"
43.375,-66.125,2.66317812256191,"MAB"
43.375,-65.875,2.38541969009068,"MAB"
43.375,-65.625,1.99169408756754,"MAB"
43.375,-65.375,1.79257453006247,"MAB"
43.375,-65.125,1.79431487166363,"MAB"
43.375,-64.875,1.94486872009609,"MAB"
43.375,-64.625,2.12050996656003,"MAB"
43.375,-64.375,2.17494696119557,"MAB"
43.375,-64.125,2.11350440979004,"MAB"
43.375,-63.875,1.97134594295336,"MAB"
43.375,-63.625,1.75539042638696,"MAB"
43.375,-63.375,1.54774045944214,"MAB"
43.375,-63.125,1.31706485540971,"MAB"
43.375,-62.875,1.13577152335125,"MAB"
43.375,-62.625,0.968501671500828,"MAB"
43.375,-62.375,0.850971512172533,"MAB"
43.375,-62.125,0.78799871776415,"MAB"
43.375,-61.875,0.707065022510031,"MAB"
43.375,-61.625,0.583309360172438,"MAB"
43.375,-61.375,0.466132081073263,"MAB"
43.375,-61.125,0.429242279218591,"MAB"
43.375,-60.875,0.492095273473988,"MAB"
43.375,-60.625,0.598894865616508,"MAB"
43.375,-60.375,0.724445685096409,"MAB"
43.375,-60.125,0.843268923137499,"MAB"
43.125,-70.625,5.11761986691019,"MAB"
43.125,-70.375,5.16125556697016,"MAB"
43.125,-70.125,5.34897646696671,"MAB"
43.125,-69.875,5.55640173994977,"MAB"
43.125,-69.625,5.7314281048982,"MAB"
43.125,-69.375,5.64346270975859,"MAB"
