"...1","Species","Group","Var"
"75","Alligatorfish","Benthivore","Maine and NH inshore survey species"
"76","Lumpsucker Atlantic Spiny","Other","Maine and NH inshore survey species"
"77","Seasnail Atlantic","Benthivore","Maine and NH inshore survey species"
"78","Inquiline Snailfish","Other","Maine and NH inshore survey species"
"79","Seasnail Striped",NA,"Maine and NH inshore survey species"
"80","Kelp Snailfish",NA,"Maine and NH inshore survey species"
"81","Gulf Seasnail",NA,"Maine and NH inshore survey species"
"82","Lumpfish","Planktivore","Maine and NH inshore survey species"
"83","Bass Striped","Piscivore","Maine and NH inshore survey species"
"84","Sea Bass Black","Benthivore","Maine and NH inshore survey species"
"85","Short Bigeye","Other","Maine and NH inshore survey species"
"86","Bluefish","Piscivore","Maine and NH inshore survey species"
"87","Scads Rough","Planktivore","Maine and NH inshore survey species"
"88","Jack Yellow",NA,"Maine and NH inshore survey species"
"89","Scad Bigeye","Planktivore","Maine and NH inshore survey species"
"90","Moonfish Atlantic","Planktivore","Maine and NH inshore survey species"
"91","Scad Mackerel","Planktivore","Maine and NH inshore survey species"
"92","Scad Round","Planktivore","Maine and NH inshore survey species"
"93","Scup","Benthivore","Maine and NH inshore survey species"
"94","Northern Kingfish","Benthivore","Maine and NH inshore survey species"
"95","Worm Unc",NA,"Maine and NH inshore survey species"
"96","Cunner","Benthivore","Maine and NH inshore survey species"
"97","Wolffish Atlantic","Benthivore","Maine and NH inshore survey species"
"98","Daubed Shanny","Benthivore","Maine and NH inshore survey species"
"99","Blenny Snake","Benthivore","Maine and NH inshore survey species"
"100","Blenny Fourline Snake",NA,"Maine and NH inshore survey species"
"101","Wrymouth","Benthivore","Maine and NH inshore survey species"
"102","Shanny Radiated","Benthivore","Maine and NH inshore survey species"
"103","Gunnel Rock","Other","Maine and NH inshore survey species"
"104","Sand Lance American","Other","Maine and NH inshore survey species"
"105","Mackerel Atlantic","Planktivore","Maine and NH inshore survey species"
"106","Silver Rag","Planktivore","Maine and NH inshore survey species"
"107","Butterfish","Planktivore","Maine and NH inshore survey species"
"108","Flounder Gulf Stream","Benthivore","Maine and NH inshore survey species"
"109","Flounder Atlantic Summer (Fluke)","Piscivore","Maine and NH inshore survey species"
"110","Flounder Fourspot","Piscivore","Maine and NH inshore survey species"
"111","Flounder Atlantic Windowpane (Sand Dab )","Piscivore","Maine and NH inshore survey species"
"112","Flounder Atlantic Witch (Gray Sole)","Benthivore","Maine and NH inshore survey species"
"113","Plaice American (Dab)","Benthivore","Maine and NH inshore survey species"
"114","Flounder Winter","Benthivore","Maine and NH inshore survey species"
"115","Flounder Yellowtail","Benthivore","Maine and NH inshore survey species"
"116","Halibut Greenland","Other","Maine and NH inshore survey species"
"117","Halibut Atlantic","Piscivore","Maine and NH inshore survey species"
"118","Planehead Filefish","Benthivore","Maine and NH inshore survey species"
"119","Puffer Northern","Benthivore","Maine and NH inshore survey species"
"120","Flounder Smallmouth",NA,"Maine and NH inshore survey species"
"121","Tunicate Unc",NA,"Maine and NH inshore survey species"
"122","Crab Hermit Uncl","Other","Maine and NH inshore survey species"
"123","Trash Species",NA,"Maine and NH inshore survey species"
"124","Sea Sponges",NA,"Maine and NH inshore survey species"
"125","Jelly Red",NA,"Maine and NH inshore survey species"
"126","Jelly Moon",NA,"Maine and NH inshore survey species"
"127","Sea Pen",NA,"Maine and NH inshore survey species"
"128","Sea Anemone",NA,"Maine and NH inshore survey species"
"129","Jelly Comb",NA,"Maine and NH inshore survey species"
"130","Seasnail Gelationous",NA,"Maine and NH inshore survey species"
"131","Skate Little","Benthivore","Maine and NH inshore survey species"
"132","Skate Rosette","Benthivore","Maine and NH inshore survey species"
"133","Skate Barndoor","Benthivore","Maine and NH inshore survey species"
"134","Skate Winter","Piscivore","Maine and NH inshore survey species"
"135","Skate Thorny","Piscivore","Maine and NH inshore survey species"
"136","Skate Smooth","Benthivore","Maine and NH inshore survey species"
"137","Crab Red","Benthivore","Maine and NH inshore survey species"
"138","Sturgeon Atlantic",NA,"Maine and NH inshore survey species"
"139","Pout Ocean","Benthivore","Maine and NH inshore survey species"
"140","Limpet",NA,"Maine and NH inshore survey species"
"141","Snail Moon",NA,"Maine and NH inshore survey species"
"142","Whelk Waved","Other","Maine and NH inshore survey species"
"143","Whelk Stimpsons","Other","Maine and NH inshore survey species"
"144","Whelk Ten-Ridged","Other","Maine and NH inshore survey species"
"145","Whelk Channeled","Benthos","Maine and NH inshore survey species"
"146","Dendronotus Frondosus",NA,"Maine and NH inshore survey species"
"147","Clam Unc",NA,"Maine and NH inshore survey species"
"148","Clam Ax-Head",NA,"Maine and NH inshore survey species"
"149","File Yoldia",NA,"Maine and NH inshore survey species"
"150","Mussel Blue Sea","Benthos","Maine and NH inshore survey species"
"151","Mussel Horse","Other","Maine and NH inshore survey species"
"152","Scallop Icelandic Sea","Other","Maine and NH inshore survey species"
"153","Scallop Sea","Benthos","Maine and NH inshore survey species"
"154","Oyster European Flat","Other","Maine and NH inshore survey species"
"155","Northern Cyclocardia","Other","Maine and NH inshore survey species"
"156","Waved Astarte",NA,"Maine and NH inshore survey species"
"157","Clam Razor Atlantic","Other","Maine and NH inshore survey species"
"158","Clam Ocean Quahog","Benthos","Maine and NH inshore survey species"
"159","Clam Northern Quahog / Hard","Other","Maine and NH inshore survey species"
"160","Clam False Quahog","Other","Maine and NH inshore survey species"
"161","Squid Bobtail","Other","Maine and NH inshore survey species"
"162","Squid Long Finned","Piscivore","Maine and NH inshore survey species"
"163","Squid Short-Finned","Piscivore","Maine and NH inshore survey species"
"164","Octopus Uncl","Other","Maine and NH inshore survey species"
"165","Octopus Spoonarm","Benthivore","Maine and NH inshore survey species"
"166","Barnacle",NA,"Maine and NH inshore survey species"
"167","Mysidacea",NA,"Maine and NH inshore survey species"
"168","Krill",NA,"Maine and NH inshore survey species"
"169","Shrimp Pink Glass","Planktivore","Maine and NH inshore survey species"
"170","Shrimp Friendly Spine","Planktivore","Maine and NH inshore survey species"
"171","Shrimp Parrot","Other","Maine and NH inshore survey species"
"172","Spiny Lebbeid","Other","Maine and NH inshore survey species"
"173","Polar Lebbeid","Planktivore","Maine and NH inshore survey species"
"174","Zebra Lebbeid",NA,"Maine and NH inshore survey species"
"175","Arctic Eualid","Other","Maine and NH inshore survey species"
"176","Shrimp",NA,"Maine and NH inshore survey species"
"177","Shrimp Northern","Planktivore","Maine and NH inshore survey species"
"178","Shrimp Montagui","Planktivore","Maine and NH inshore survey species"
"179","Pandalus Propinquus","Planktivore","Maine and NH inshore survey species"
"180","Shrimp Dichelo","Planktivore","Maine and NH inshore survey species"
"181","Shrimp Crangon","Planktivore","Maine and NH inshore survey species"
"182","Shrimp Sculptured",NA,"Maine and NH inshore survey species"
"183","Shrimp Norwegian","Planktivore","Maine and NH inshore survey species"
"184","Lobster American","Benthivore","Maine and NH inshore survey species"
"185","Calocaris Templemani","Other","Maine and NH inshore survey species"
"186","Axius Serratus",NA,"Maine and NH inshore survey species"
"187","Crab Northern Stone","Benthivore","Maine and NH inshore survey species"
"188","Crab Toad","Benthivore","Maine and NH inshore survey species"
"189","Crab Spider Uncl","Benthivore","Maine and NH inshore survey species"
"190","Crab Snow","Benthivore","Maine and NH inshore survey species"
"191","Crab Jonah","Benthivore","Maine and NH inshore survey species"
"192","Crab Atlantic Rock","Benthivore","Maine and NH inshore survey species"
"193","Crab Lady","Benthivore","Maine and NH inshore survey species"
"194","Crab Green","Other","Maine and NH inshore survey species"
"195","Shrimps Mantis","Other","Maine and NH inshore survey species"
"196",NA,"Other","Maine and NH inshore survey species"
"197",NA,"Other","Maine and NH inshore survey species"
"198",NA,"Other","Maine and NH inshore survey species"
"199",NA,"Other","Maine and NH inshore survey species"
"200",NA,"Other","Maine and NH inshore survey species"
"201",NA,"Other","Maine and NH inshore survey species"
"202",NA,"Apex Predator","Maine and NH inshore survey species"
"203",NA,"Other","Maine and NH inshore survey species"
"204",NA,"Other","Maine and NH inshore survey species"
"205",NA,"Other","Maine and NH inshore survey species"
"206",NA,"Other","Maine and NH inshore survey species"
"207",NA,"Other","Maine and NH inshore survey species"
"208",NA,"Other","Maine and NH inshore survey species"
