"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GB","25-100m",">11°C",0.243552083962607,"GLORYS",11,"Proportion"
1993,"GB","25-100m",">12.5°C",0.140377491744744,"GLORYS",12.5,"Proportion"
1993,"GB","25-100m",">12°C",0.173182071456978,"GLORYS",12,"Proportion"
1993,"GB","25-100m",">13.5°C",0.0805398288156862,"GLORYS",13.5,"Proportion"
1993,"GB","25-100m",">13°C",0.109131712107572,"GLORYS",13,"Proportion"
1993,"GB","25-100m",">14.5°C",0.0388925163144604,"GLORYS",14.5,"Proportion"
1993,"GB","25-100m",">14°C",0.0569438036605762,"GLORYS",14,"Proportion"
1993,"GB","25-100m",">15.5°C",0.0169974528339235,"GLORYS",15.5,"Proportion"
1993,"GB","25-100m",">15°C",0.0255735443602682,"GLORYS",15,"Proportion"
1993,"GB","25-100m",">16.5°C",0.00701215075931495,"GLORYS",16.5,"Proportion"
1993,"GB","25-100m",">16°C",0.0109738734412269,"GLORYS",16,"Proportion"
1993,"GB","25-100m",">17.5°C",0.00213216054239315,"GLORYS",17.5,"Proportion"
1993,"GB","25-100m",">17°C",0.00396808769984947,"GLORYS",17,"Proportion"
1993,"GB","25-100m",">18.5°C",0.00060275991187677,"GLORYS",18.5,"Proportion"
1993,"GB","25-100m",">18°C",0.00116415058830579,"GLORYS",18,"Proportion"
1993,"GB","25-100m",">19.5°C",2.49337609050648e-05,"GLORYS",19.5,"Proportion"
1993,"GB","25-100m",">19°C",0.0002576936926352,"GLORYS",19,"Proportion"
1993,"GB","25-100m",">1°C",0.99999994347262,"GLORYS",1,"Proportion"
1993,"GB","25-100m",">2.5°C",0.99985866968728,"GLORYS",2.5,"Proportion"
1993,"GB","25-100m",">20.5°C",0,"GLORYS",20.5,"Proportion"
1993,"GB","25-100m",">20°C",0,"GLORYS",20,"Proportion"
1993,"GB","25-100m",">21.5°C",0,"GLORYS",21.5,"Proportion"
1993,"GB","25-100m",">21°C",0,"GLORYS",21,"Proportion"
1993,"GB","25-100m",">22.5°C",0,"GLORYS",22.5,"Proportion"
1993,"GB","25-100m",">22°C",0,"GLORYS",22,"Proportion"
1993,"GB","25-100m",">23.5°C",0,"GLORYS",23.5,"Proportion"
1993,"GB","25-100m",">23°C",0,"GLORYS",23,"Proportion"
1993,"GB","25-100m",">24.5°C",0,"GLORYS",24.5,"Proportion"
1993,"GB","25-100m",">24°C",0,"GLORYS",24,"Proportion"
1993,"GB","25-100m",">25.5°C",0,"GLORYS",25.5,"Proportion"
1993,"GB","25-100m",">25°C",0,"GLORYS",25,"Proportion"
1993,"GB","25-100m",">26.5°C",0,"GLORYS",26.5,"Proportion"
1993,"GB","25-100m",">26°C",0,"GLORYS",26,"Proportion"
1993,"GB","25-100m",">27.5°C",0,"GLORYS",27.5,"Proportion"
1993,"GB","25-100m",">27°C",0,"GLORYS",27,"Proportion"
1993,"GB","25-100m",">28.5°C",0,"GLORYS",28.5,"Proportion"
1993,"GB","25-100m",">28°C",0,"GLORYS",28,"Proportion"
