"Time","Value","Var","Units","EPU"
2000.11,1.718287736,"gulf stream index","latitude anomaly","All"
2000.12,0.599370893,"gulf stream index","latitude anomaly","All"
2001.01,0.607765854,"gulf stream index","latitude anomaly","All"
2001.02,0.833130715,"gulf stream index","latitude anomaly","All"
2001.03,0.019203199,"gulf stream index","latitude anomaly","All"
2001.04,0.282319441,"gulf stream index","latitude anomaly","All"
2001.05,-0.291389143,"gulf stream index","latitude anomaly","All"
2001.06,-0.516774614,"gulf stream index","latitude anomaly","All"
2001.07,-0.465547543,"gulf stream index","latitude anomaly","All"
2001.08,-1.001836067,"gulf stream index","latitude anomaly","All"
2001.09,-1.471270498,"gulf stream index","latitude anomaly","All"
2001.1,-1.455862269,"gulf stream index","latitude anomaly","All"
2001.11,0.304929243,"gulf stream index","latitude anomaly","All"
2001.12,-0.154321919,"gulf stream index","latitude anomaly","All"
2002.01,-0.614252606,"gulf stream index","latitude anomaly","All"
2002.02,0.28059374,"gulf stream index","latitude anomaly","All"
2002.03,0.710634064,"gulf stream index","latitude anomaly","All"
2002.04,0.045623229,"gulf stream index","latitude anomaly","All"
2002.05,-0.31635342,"gulf stream index","latitude anomaly","All"
2002.06,0.668795093,"gulf stream index","latitude anomaly","All"
2002.07,1.042357804,"gulf stream index","latitude anomaly","All"
2002.08,0.115149234,"gulf stream index","latitude anomaly","All"
2002.09,-0.209548439,"gulf stream index","latitude anomaly","All"
2002.1,0.601167804,"gulf stream index","latitude anomaly","All"
2002.11,0.754386682,"gulf stream index","latitude anomaly","All"
2002.12,0.453711257,"gulf stream index","latitude anomaly","All"
2003.01,-0.149733155,"gulf stream index","latitude anomaly","All"
2003.02,-0.22224481,"gulf stream index","latitude anomaly","All"
2003.03,-0.59870704,"gulf stream index","latitude anomaly","All"
2003.04,-1.378997428,"gulf stream index","latitude anomaly","All"
2003.05,-1.085686091,"gulf stream index","latitude anomaly","All"
2003.06,-0.671250586,"gulf stream index","latitude anomaly","All"
2003.07,-1.016082102,"gulf stream index","latitude anomaly","All"
2003.08,-0.609813083,"gulf stream index","latitude anomaly","All"
2003.09,-0.776288399,"gulf stream index","latitude anomaly","All"
2003.1,-0.338644151,"gulf stream index","latitude anomaly","All"
2003.11,-0.575712716,"gulf stream index","latitude anomaly","All"
2003.12,-1.91238858,"gulf stream index","latitude anomaly","All"
2004.01,-1.796831013,"gulf stream index","latitude anomaly","All"
2004.02,-1.586773138,"gulf stream index","latitude anomaly","All"
2004.03,-0.848778991,"gulf stream index","latitude anomaly","All"
2004.04,-0.722743371,"gulf stream index","latitude anomaly","All"
2004.05,-1.01307204,"gulf stream index","latitude anomaly","All"
2004.06,-1.679885603,"gulf stream index","latitude anomaly","All"
2004.07,-1.525720918,"gulf stream index","latitude anomaly","All"
2004.08,-1.838617321,"gulf stream index","latitude anomaly","All"
2004.09,-0.243806366,"gulf stream index","latitude anomaly","All"
2004.1,-0.044748613,"gulf stream index","latitude anomaly","All"
2004.11,-0.245236416,"gulf stream index","latitude anomaly","All"
2004.12,0.521042256,"gulf stream index","latitude anomaly","All"
2005.01,0.409679003,"gulf stream index","latitude anomaly","All"
2005.02,-0.947843635,"gulf stream index","latitude anomaly","All"
2005.03,-0.807638671,"gulf stream index","latitude anomaly","All"
2005.04,-0.669416677,"gulf stream index","latitude anomaly","All"
2005.05,-1.212504053,"gulf stream index","latitude anomaly","All"
2005.06,-0.787759128,"gulf stream index","latitude anomaly","All"
2005.07,-0.159268049,"gulf stream index","latitude anomaly","All"
2005.08,-0.70079612,"gulf stream index","latitude anomaly","All"
2005.09,-1.766369823,"gulf stream index","latitude anomaly","All"
2005.1,-0.72359798,"gulf stream index","latitude anomaly","All"
2005.11,-1.178817474,"gulf stream index","latitude anomaly","All"
2005.12,-0.180325639,"gulf stream index","latitude anomaly","All"
2006.01,-0.49367248,"gulf stream index","latitude anomaly","All"
2006.02,-0.143959637,"gulf stream index","latitude anomaly","All"
2006.03,-0.971358046,"gulf stream index","latitude anomaly","All"
2006.04,-1.04273999,"gulf stream index","latitude anomaly","All"
2006.05,0.252270275,"gulf stream index","latitude anomaly","All"
2006.06,-0.927021641,"gulf stream index","latitude anomaly","All"
2006.07,-0.525021572,"gulf stream index","latitude anomaly","All"
2006.08,0.78764083,"gulf stream index","latitude anomaly","All"
2006.09,0.850337991,"gulf stream index","latitude anomaly","All"
2006.1,0.828216791,"gulf stream index","latitude anomaly","All"
2006.11,0.790681008,"gulf stream index","latitude anomaly","All"
2006.12,-0.073047801,"gulf stream index","latitude anomaly","All"
2007.01,-0.131963848,"gulf stream index","latitude anomaly","All"
2007.02,-1.055115217,"gulf stream index","latitude anomaly","All"
2007.03,-0.66657187,"gulf stream index","latitude anomaly","All"
2007.04,0.075250655,"gulf stream index","latitude anomaly","All"
2007.05,0.485348974,"gulf stream index","latitude anomaly","All"
2007.06,-0.913363427,"gulf stream index","latitude anomaly","All"
2007.07,-0.431055428,"gulf stream index","latitude anomaly","All"
2007.08,-0.465696151,"gulf stream index","latitude anomaly","All"
2007.09,-0.73924561,"gulf stream index","latitude anomaly","All"
2007.1,-1.353132582,"gulf stream index","latitude anomaly","All"
2007.11,-1.337145109,"gulf stream index","latitude anomaly","All"
2007.12,-1.847283449,"gulf stream index","latitude anomaly","All"
2008.01,-0.688732716,"gulf stream index","latitude anomaly","All"
2008.02,0.350866233,"gulf stream index","latitude anomaly","All"
2008.03,0.324803058,"gulf stream index","latitude anomaly","All"
2008.04,-0.068240181,"gulf stream index","latitude anomaly","All"
2008.05,-0.338220532,"gulf stream index","latitude anomaly","All"
2008.06,0.514721297,"gulf stream index","latitude anomaly","All"
2008.07,-0.514716503,"gulf stream index","latitude anomaly","All"
2008.08,-0.516673555,"gulf stream index","latitude anomaly","All"
2008.09,-0.446485229,"gulf stream index","latitude anomaly","All"
2008.1,-1.343253168,"gulf stream index","latitude anomaly","All"
2008.11,-1.011460909,"gulf stream index","latitude anomaly","All"
2008.12,0.161895782,"gulf stream index","latitude anomaly","All"
2009.01,-0.396408101,"gulf stream index","latitude anomaly","All"
2009.02,0.391980387,"gulf stream index","latitude anomaly","All"
2009.03,0.284475244,"gulf stream index","latitude anomaly","All"
2009.04,-0.012776239,"gulf stream index","latitude anomaly","All"
2009.05,0.301626194,"gulf stream index","latitude anomaly","All"
2009.06,-0.17606164,"gulf stream index","latitude anomaly","All"
2009.07,-1.141316207,"gulf stream index","latitude anomaly","All"
2009.08,0.946788536,"gulf stream index","latitude anomaly","All"
2009.09,-0.31848974,"gulf stream index","latitude anomaly","All"
2009.1,0.04642491,"gulf stream index","latitude anomaly","All"
2009.11,0.61942175,"gulf stream index","latitude anomaly","All"
2009.12,0.4085672,"gulf stream index","latitude anomaly","All"
2010.01,0.256675065,"gulf stream index","latitude anomaly","All"
2010.02,-1.255911121,"gulf stream index","latitude anomaly","All"
2010.03,-0.381158848,"gulf stream index","latitude anomaly","All"
2010.04,0.362163071,"gulf stream index","latitude anomaly","All"
2010.05,-0.45539072,"gulf stream index","latitude anomaly","All"
2010.06,0.506342412,"gulf stream index","latitude anomaly","All"
2010.07,0.03629192,"gulf stream index","latitude anomaly","All"
2010.08,0.329874233,"gulf stream index","latitude anomaly","All"
2010.09,0.109839446,"gulf stream index","latitude anomaly","All"
2010.1,-1.01866348,"gulf stream index","latitude anomaly","All"
2010.11,-1.884553852,"gulf stream index","latitude anomaly","All"
2010.12,-1.747324043,"gulf stream index","latitude anomaly","All"
2011.01,-1.444196345,"gulf stream index","latitude anomaly","All"
2011.02,-1.451238064,"gulf stream index","latitude anomaly","All"
2011.03,-0.644183861,"gulf stream index","latitude anomaly","All"
2011.04,-1.000990154,"gulf stream index","latitude anomaly","All"
2011.05,-1.231448025,"gulf stream index","latitude anomaly","All"
2011.06,-0.686646301,"gulf stream index","latitude anomaly","All"
2011.07,-1.437094266,"gulf stream index","latitude anomaly","All"
2011.08,-2.130426917,"gulf stream index","latitude anomaly","All"
2011.09,-1.606384879,"gulf stream index","latitude anomaly","All"
2011.1,-0.903041875,"gulf stream index","latitude anomaly","All"
2011.11,-0.279450602,"gulf stream index","latitude anomaly","All"
2011.12,0.118497848,"gulf stream index","latitude anomaly","All"
2012.01,0.191756893,"gulf stream index","latitude anomaly","All"
2012.02,0.792173004,"gulf stream index","latitude anomaly","All"
2012.03,1.069613568,"gulf stream index","latitude anomaly","All"
2012.04,1.999450183,"gulf stream index","latitude anomaly","All"
2012.05,1.603533633,"gulf stream index","latitude anomaly","All"
2012.06,0.944655545,"gulf stream index","latitude anomaly","All"
2012.07,-0.569993957,"gulf stream index","latitude anomaly","All"
2012.08,-0.205154514,"gulf stream index","latitude anomaly","All"
2012.09,0.020479658,"gulf stream index","latitude anomaly","All"
2012.1,-0.659513479,"gulf stream index","latitude anomaly","All"
2012.11,-0.011589944,"gulf stream index","latitude anomaly","All"
2012.12,-0.911803291,"gulf stream index","latitude anomaly","All"
2013.01,-1.33520413,"gulf stream index","latitude anomaly","All"
2013.02,-1.584258418,"gulf stream index","latitude anomaly","All"
2013.03,-1.342567472,"gulf stream index","latitude anomaly","All"
2013.04,-0.979005301,"gulf stream index","latitude anomaly","All"
2013.05,-0.261118297,"gulf stream index","latitude anomaly","All"
2013.06,-0.898408769,"gulf stream index","latitude anomaly","All"
2013.07,-0.887516841,"gulf stream index","latitude anomaly","All"
2013.08,-0.001849281,"gulf stream index","latitude anomaly","All"
2013.09,-0.194896326,"gulf stream index","latitude anomaly","All"
2013.1,-0.696139745,"gulf stream index","latitude anomaly","All"
2013.11,0.519272446,"gulf stream index","latitude anomaly","All"
2013.12,0.797387194,"gulf stream index","latitude anomaly","All"
2014.01,0.878873597,"gulf stream index","latitude anomaly","All"
2014.02,0.339786366,"gulf stream index","latitude anomaly","All"
2014.03,0.250358222,"gulf stream index","latitude anomaly","All"
2014.04,-0.790447581,"gulf stream index","latitude anomaly","All"
2014.05,-0.163840984,"gulf stream index","latitude anomaly","All"
2014.06,-0.184156206,"gulf stream index","latitude anomaly","All"
2014.07,0.83648571,"gulf stream index","latitude anomaly","All"
2014.08,0.437010971,"gulf stream index","latitude anomaly","All"
2014.09,-1.021245637,"gulf stream index","latitude anomaly","All"
2014.1,-0.401063662,"gulf stream index","latitude anomaly","All"
2014.11,-0.39017922,"gulf stream index","latitude anomaly","All"
2014.12,1.118680999,"gulf stream index","latitude anomaly","All"
2015.01,0.686881129,"gulf stream index","latitude anomaly","All"
2015.02,0.28938756,"gulf stream index","latitude anomaly","All"
2015.03,0.259586221,"gulf stream index","latitude anomaly","All"
2015.04,-0.238182341,"gulf stream index","latitude anomaly","All"
2015.05,0.985170694,"gulf stream index","latitude anomaly","All"
2015.06,0.981896384,"gulf stream index","latitude anomaly","All"
2015.07,1.136918924,"gulf stream index","latitude anomaly","All"
2015.08,0.852674235,"gulf stream index","latitude anomaly","All"
2015.09,0.932131753,"gulf stream index","latitude anomaly","All"
2015.1,0.334908053,"gulf stream index","latitude anomaly","All"
2015.11,-0.0241121,"gulf stream index","latitude anomaly","All"
2015.12,-0.051551078,"gulf stream index","latitude anomaly","All"
2016.01,1.21141432,"gulf stream index","latitude anomaly","All"
2016.02,2.143191543,"gulf stream index","latitude anomaly","All"
2016.03,1.095084632,"gulf stream index","latitude anomaly","All"
2016.04,1.120188504,"gulf stream index","latitude anomaly","All"
2016.05,1.439000576,"gulf stream index","latitude anomaly","All"
2016.06,0.837026483,"gulf stream index","latitude anomaly","All"
2016.07,1.176655289,"gulf stream index","latitude anomaly","All"
2016.08,-0.20556841,"gulf stream index","latitude anomaly","All"
2016.09,-0.146842886,"gulf stream index","latitude anomaly","All"
2016.1,-0.679251143,"gulf stream index","latitude anomaly","All"
2016.11,-0.258490024,"gulf stream index","latitude anomaly","All"
2016.12,1.225688395,"gulf stream index","latitude anomaly","All"
2017.01,1.16407732,"gulf stream index","latitude anomaly","All"
2017.02,1.238061701,"gulf stream index","latitude anomaly","All"
2017.03,1.278340603,"gulf stream index","latitude anomaly","All"
2017.04,0.736076891,"gulf stream index","latitude anomaly","All"
2017.05,-0.053350748,"gulf stream index","latitude anomaly","All"
2017.06,-0.910521459,"gulf stream index","latitude anomaly","All"
2017.07,-0.636151466,"gulf stream index","latitude anomaly","All"
2017.08,0.08410586,"gulf stream index","latitude anomaly","All"
2017.09,-0.004546429,"gulf stream index","latitude anomaly","All"
2017.1,0.887038229,"gulf stream index","latitude anomaly","All"
2017.11,0.515106089,"gulf stream index","latitude anomaly","All"
2017.12,0.908553538,"gulf stream index","latitude anomaly","All"
2018.01,0.804636885,"gulf stream index","latitude anomaly","All"
2018.02,1.500178713,"gulf stream index","latitude anomaly","All"
2018.03,0.303741396,"gulf stream index","latitude anomaly","All"
2018.04,0.897172377,"gulf stream index","latitude anomaly","All"
2018.05,1.92150804,"gulf stream index","latitude anomaly","All"
2018.06,2.733220656,"gulf stream index","latitude anomaly","All"
2018.07,0.916473459,"gulf stream index","latitude anomaly","All"
2018.08,0.513060829,"gulf stream index","latitude anomaly","All"
2018.09,1.71831685,"gulf stream index","latitude anomaly","All"
2018.1,2.70131596,"gulf stream index","latitude anomaly","All"
2018.11,2.42336435,"gulf stream index","latitude anomaly","All"
2018.12,1.665659816,"gulf stream index","latitude anomaly","All"
