"Time","Units","Var","Value","EPU"
"A_2005","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6252158,"GOM"
"A_2005","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8104008,"MAB"
"A_2006","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7943233,"GB"
"A_2006","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6967844,"GOM"
"A_2006","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8775445,"MAB"
"A_2007","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7787638,"GB"
"A_2007","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6350161,"GOM"
"A_2007","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8417636,"MAB"
"A_2008","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7635073,"GB"
"A_2008","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6467392,"GOM"
"A_2008","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8718038,"MAB"
"A_2009","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.785619,"GB"
"A_2009","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6499276,"GOM"
"A_2009","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.808413,"MAB"
"A_2010","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.813157,"GB"
"A_2010","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7096362,"GOM"
"A_2010","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8440349,"MAB"
"A_2011","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7652557,"GB"
"A_2011","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6615344,"GOM"
"A_2011","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.9080327,"MAB"
"A_2012","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.858883,"GB"
"A_2012","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.790175,"GOM"
"A_2012","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8970888,"MAB"
"A_2013","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7872185,"GB"
"A_2013","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6507959,"GOM"
"A_2013","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8695824,"MAB"
"A_2014","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.831984,"GB"
"A_2014","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6534144,"GOM"
"A_2014","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7628252,"MAB"
"A_2015","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7901924,"GB"
"A_2015","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6308851,"GOM"
"A_2015","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8504443,"MAB"
"A_2016","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8301632,"GB"
"A_2016","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6976275,"GOM"
"A_2016","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8671468,"MAB"
"A_2017","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7865475,"GB"
"A_2017","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6672543,"GOM"
"A_2017","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.9096589,"MAB"
"A_2018","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7831383,"GB"
"A_2018","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6537508,"GOM"
"A_2018","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8533008,"MAB"
"A_2019","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7732677,"GB"
"A_2019","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6565216,"GOM"
"A_2019","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8804724,"MAB"
"A_2020","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7387166,"GB"
"A_2020","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.6681897,"GOM"
"A_2020","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8121064,"MAB"
"A_2021","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8143747,"GB"
"A_2021","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7135428,"GOM"
"A_2021","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8073833,"MAB"
"A_2022","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8528873,"GB"
"A_2022","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8018074,"GOM"
"A_2022","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8749,"MAB"
"A_2023","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.9531398,"GB"
"A_2023","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",1.152458,"GOM"
"A_2023","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.9061207,"MAB"
"A_2024","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.8851662,"GB"
"A_2024","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.7938213,"GOM"
"A_2024","gCarbon/m^2/Day","PPD_ANNUAL_MEAN",0.9330639,"MAB"
"A_1998","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",14900000,"GB"
"A_1998","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.4e+07,"GOM"
"A_1998","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",29700000,"MAB"
"A_1999","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16700000,"GB"
"A_1999","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16100000,"GOM"
"A_1999","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",30400000,"MAB"
"A_2000","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16900000,"GB"
"A_2000","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15100000,"GOM"
"A_2000","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",32300000,"MAB"
"A_2001","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16100000,"GB"
"A_2001","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",14200000,"GOM"
"A_2001","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33500000,"MAB"
"A_2002","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17300000,"GB"
"A_2002","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15900000,"GOM"
"A_2002","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",35500000,"MAB"
"A_2003","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15500000,"GB"
"A_2003","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",13900000,"GOM"
"A_2003","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33500000,"MAB"
"A_2004","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.5e+07,"GB"
"A_2004","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",12800000,"GOM"
"A_2004","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",30200000,"MAB"
"A_2005","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15600000,"GB"
"A_2005","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",14500000,"GOM"
"A_2005","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",31500000,"MAB"
"A_2006","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.7e+07,"GB"
"A_2006","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16100000,"GOM"
"A_2006","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34200000,"MAB"
"A_2007","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16800000,"GB"
"A_2007","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",14600000,"GOM"
"A_2007","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33200000,"MAB"
"A_2008","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16600000,"GB"
"A_2008","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.5e+07,"GOM"
"A_2008","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34900000,"MAB"
"A_2009","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17200000,"GB"
"A_2009","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.5e+07,"GOM"
"A_2009","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",32100000,"MAB"
"A_2010","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17600000,"GB"
"A_2010","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16300000,"GOM"
"A_2010","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33400000,"MAB"
"A_2011","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16800000,"GB"
"A_2011","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15300000,"GOM"
"A_2011","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",36300000,"MAB"
"A_2012","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18600000,"GB"
"A_2012","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18200000,"GOM"
"A_2012","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34800000,"MAB"
"A_2013","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17200000,"GB"
"A_2013","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15100000,"GOM"
"A_2013","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33900000,"MAB"
"A_2014","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18300000,"GB"
"A_2014","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.5e+07,"GOM"
"A_2014","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",30100000,"MAB"
"A_2015","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17300000,"GB"
"A_2015","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",14600000,"GOM"
"A_2015","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34800000,"MAB"
"A_2016","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18100000,"GB"
"A_2016","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16100000,"GOM"
"A_2016","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34300000,"MAB"
"A_2017","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.7e+07,"GB"
"A_2017","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15400000,"GOM"
"A_2017","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",35600000,"MAB"
"A_2018","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.7e+07,"GB"
"A_2018","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",1.5e+07,"GOM"
"A_2018","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33500000,"MAB"
"A_2019","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16700000,"GB"
"A_2019","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15100000,"GOM"
"A_2019","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",34400000,"MAB"
"A_2020","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16200000,"GB"
"A_2020","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",15400000,"GOM"
"A_2020","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",31700000,"MAB"
"A_2021","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17600000,"GB"
"A_2021","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16400000,"GOM"
"A_2021","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",31400000,"MAB"
"A_2022","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18300000,"GB"
"A_2022","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",18500000,"GOM"
"A_2022","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33600000,"MAB"
"A_2023","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",20400000,"GB"
"A_2023","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",26700000,"GOM"
"A_2023","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",35300000,"MAB"
"A_2024","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",17600000,"GB"
"A_2024","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",16800000,"GOM"
"A_2024","Metric ton Carbon/EPU","PPD_ANNUAL_MTON",33100000,"MAB"
"A_1998","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.007181,"GB"
"A_1998","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.8928083,"GOM"
"A_1998","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.93196,"MAB"
"A_1999","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.08794,"GB"
"A_1999","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9836788,"GOM"
"A_1999","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9109849,"MAB"
"A_2000","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.176818,"GB"
"A_2000","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.925561,"GOM"
"A_2000","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9975279,"MAB"
"A_2001","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.068092,"GB"
"A_2001","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.8679292,"GOM"
"A_2001","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.004475,"MAB"
"A_2002","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.134718,"GB"
"A_2002","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9570729,"GOM"
"A_2002","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9778098,"MAB"
"A_2003","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.078297,"GB"
"A_2003","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.8856536,"GOM"
"A_2003","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.049933,"MAB"
"A_2004","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.128414,"GB"
"A_2004","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.8346841,"GOM"
"A_2004","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9594448,"MAB"
"A_2005","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.063644,"GB"
"A_2005","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9210091,"GOM"
"A_2005","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.003629,"MAB"
"A_2006","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.186689,"GB"
"A_2006","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9996893,"GOM"
"A_2006","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.049328,"MAB"
"A_2007","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.20326,"GB"
"A_2007","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9022564,"GOM"
"A_2007","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.002203,"MAB"
"A_2008","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.124244,"GB"
"A_2008","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9224651,"GOM"
"A_2008","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.024944,"MAB"
"A_2009","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.153833,"GB"
"A_2009","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9523032,"GOM"
"A_2009","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.963165,"MAB"
"A_2010","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.13534,"GB"
"A_2010","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9671309,"GOM"
"A_2010","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.006427,"MAB"
"A_2011","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.178412,"GB"
"A_2011","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.021104,"GOM"
"A_2011","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.080678,"MAB"
"A_2012","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.208293,"GB"
"A_2012","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.139807,"GOM"
"A_2012","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9883015,"MAB"
"A_2013","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.158685,"GB"
"A_2013","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9104019,"GOM"
"A_2013","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.000582,"MAB"
"A_2014","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.335935,"GB"
"A_2014","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9296851,"GOM"
"A_2014","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.932565,"MAB"
"A_2015","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.228775,"GB"
"A_2015","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9402011,"GOM"
"A_2015","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9506451,"MAB"
"A_2016","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.214867,"GB"
"A_2016","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9955483,"GOM"
"A_2016","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9578609,"MAB"
"A_2017","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.206393,"GB"
"A_2017","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9847218,"GOM"
"A_2017","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.05645,"MAB"
"A_2018","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.181836,"GB"
"A_2018","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.950164,"GOM"
"A_2018","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.045414,"MAB"
"A_2019","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.167082,"GB"
"A_2019","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9490554,"GOM"
"A_2019","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.012965,"MAB"
"A_2020","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.08991,"GB"
"A_2020","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9271125,"GOM"
"A_2020","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9428002,"MAB"
"A_2021","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.184377,"GB"
"A_2021","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9918121,"GOM"
"A_2021","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.954314,"MAB"
"A_2022","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.184066,"GB"
"A_2022","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.225683,"GOM"
"A_2022","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9855307,"MAB"
"A_2023","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.50482,"GB"
"A_2023","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.959474,"GOM"
"A_2023","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.049893,"MAB"
"A_2024","mg m^-3","CHLOR_A_ANNUAL_MEAN",1.098968,"GB"
"A_2024","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9468599,"GOM"
"A_2024","mg m^-3","CHLOR_A_ANNUAL_MEAN",0.9957079,"MAB"
