"X","Time","Var","Value","EPU"
28,1956.05,"western gulf stream index",-0.515871728,"All"
29,1956.06,"gulf stream index",-0.67624017,"All"
29,1956.06,"western gulf stream index",-1.721346259,"All"
30,1956.07,"gulf stream index",0.532077154,"All"
30,1956.07,"western gulf stream index",1.091431597,"All"
31,1956.08,"gulf stream index",0.127091394,"All"
31,1956.08,"western gulf stream index",0.457626027,"All"
32,1956.09,"gulf stream index",0.499529025,"All"
32,1956.09,"western gulf stream index",0.268724151,"All"
33,1956.1,"gulf stream index",0.175317174,"All"
33,1956.1,"western gulf stream index",-0.242880422,"All"
34,1956.11,"gulf stream index",0.29357532,"All"
34,1956.11,"western gulf stream index",0.496098304,"All"
35,1956.12,"gulf stream index",0.152954356,"All"
35,1956.12,"western gulf stream index",0.068359187,"All"
36,1957.01,"gulf stream index",-0.136509348,"All"
36,1957.01,"western gulf stream index",-0.186834901,"All"
37,1957.02,"gulf stream index",-0.021224521,"All"
37,1957.02,"western gulf stream index",-0.416641051,"All"
38,1957.03,"gulf stream index",1.247830593,"All"
38,1957.03,"western gulf stream index",1.440254075,"All"
39,1957.04,"gulf stream index",-0.133706355,"All"
39,1957.04,"western gulf stream index",-0.509090323,"All"
40,1957.05,"gulf stream index",-0.29935915,"All"
40,1957.05,"western gulf stream index",0.212308727,"All"
41,1957.06,"gulf stream index",0.15992453,"All"
41,1957.06,"western gulf stream index",0.367539212,"All"
42,1957.07,"gulf stream index",0.313079784,"All"
42,1957.07,"western gulf stream index",0.138688753,"All"
43,1957.08,"gulf stream index",0.276117717,"All"
43,1957.08,"western gulf stream index",0.740394844,"All"
44,1957.09,"gulf stream index",-0.091244421,"All"
44,1957.09,"western gulf stream index",1.31138979,"All"
45,1957.1,"gulf stream index",0.241926789,"All"
45,1957.1,"western gulf stream index",1.333476457,"All"
46,1957.11,"gulf stream index",0.144101712,"All"
46,1957.11,"western gulf stream index",0.725158478,"All"
47,1957.12,"gulf stream index",-0.686412077,"All"
47,1957.12,"western gulf stream index",-0.395561299,"All"
48,1958.01,"gulf stream index",-1.482805282,"All"
48,1958.01,"western gulf stream index",-1.71212336,"All"
49,1958.02,"gulf stream index",-0.894400326,"All"
49,1958.02,"western gulf stream index",-0.891614296,"All"
50,1958.03,"gulf stream index",-0.873088098,"All"
50,1958.03,"western gulf stream index",-0.703837718,"All"
51,1958.04,"gulf stream index",-2.222409714,"All"
51,1958.04,"western gulf stream index",-1.917662941,"All"
52,1958.05,"gulf stream index",-1.127908561,"All"
52,1958.05,"western gulf stream index",-0.84788712,"All"
53,1958.06,"gulf stream index",-2.237112986,"All"
53,1958.06,"western gulf stream index",-2.38537354,"All"
54,1958.07,"gulf stream index",-1.675410818,"All"
54,1958.07,"western gulf stream index",-1.758284377,"All"
55,1958.08,"gulf stream index",-0.719880026,"All"
55,1958.08,"western gulf stream index",-1.124018785,"All"
56,1958.09,"gulf stream index",-0.579708273,"All"
56,1958.09,"western gulf stream index",-0.861005454,"All"
57,1958.1,"gulf stream index",-1.011910738,"All"
57,1958.1,"western gulf stream index",-0.916262551,"All"
58,1958.11,"gulf stream index",-0.994857264,"All"
58,1958.11,"western gulf stream index",-1.344925883,"All"
59,1958.12,"gulf stream index",-0.476155829,"All"
59,1958.12,"western gulf stream index",-0.781306442,"All"
60,1959.01,"gulf stream index",-1.463939083,"All"
60,1959.01,"western gulf stream index",-1.944349817,"All"
61,1959.02,"gulf stream index",-1.040572648,"All"
61,1959.02,"western gulf stream index",-0.020233875,"All"
62,1959.03,"gulf stream index",-1.522611302,"All"
62,1959.03,"western gulf stream index",0.479630428,"All"
63,1959.04,"gulf stream index",-2.295152975,"All"
63,1959.04,"western gulf stream index",-0.853640949,"All"
64,1959.05,"gulf stream index",-1.778727732,"All"
64,1959.05,"western gulf stream index",-0.716844234,"All"
65,1959.06,"gulf stream index",-1.176790811,"All"
65,1959.06,"western gulf stream index",-0.059384231,"All"
66,1959.07,"gulf stream index",-1.672264959,"All"
66,1959.07,"western gulf stream index",-1.655057687,"All"
67,1959.08,"gulf stream index",-1.682278597,"All"
67,1959.08,"western gulf stream index",-1.259536984,"All"
68,1959.09,"gulf stream index",-1.225927559,"All"
68,1959.09,"western gulf stream index",-0.907639579,"All"
69,1959.1,"gulf stream index",-1.696359298,"All"
69,1959.1,"western gulf stream index",-1.164937589,"All"
70,1959.11,"gulf stream index",-0.383640945,"All"
70,1959.11,"western gulf stream index",0.056787912,"All"
71,1959.12,"gulf stream index",-1.103618447,"All"
71,1959.12,"western gulf stream index",0.240509038,"All"
72,1960.01,"gulf stream index",-0.827652698,"All"
72,1960.01,"western gulf stream index",0.259658615,"All"
73,1960.02,"gulf stream index",-0.902808208,"All"
73,1960.02,"western gulf stream index",0.045339772,"All"
74,1960.03,"gulf stream index",-0.512401485,"All"
74,1960.03,"western gulf stream index",-0.370862125,"All"
75,1960.04,"gulf stream index",-0.96897224,"All"
75,1960.04,"western gulf stream index",-1.097191418,"All"
76,1960.05,"gulf stream index",-0.844140136,"All"
76,1960.05,"western gulf stream index",-0.10725447,"All"
77,1960.06,"gulf stream index",-1.507919141,"All"
77,1960.06,"western gulf stream index",-0.666846603,"All"
78,1960.07,"gulf stream index",-1.578765936,"All"
78,1960.07,"western gulf stream index",-0.39009028,"All"
79,1960.08,"gulf stream index",-1.955943192,"All"
79,1960.08,"western gulf stream index",-0.575157124,"All"
80,1960.09,"gulf stream index",-1.535322137,"All"
80,1960.09,"western gulf stream index",-0.041328002,"All"
81,1960.1,"gulf stream index",-1.474560945,"All"
81,1960.1,"western gulf stream index",0.092836058,"All"
82,1960.11,"gulf stream index",-2.182984648,"All"
82,1960.11,"western gulf stream index",-1.501682055,"All"
83,1960.12,"gulf stream index",-1.557829985,"All"
83,1960.12,"western gulf stream index",-0.773929034,"All"
84,1961.01,"gulf stream index",-0.778034393,"All"
84,1961.01,"western gulf stream index",0.754370981,"All"
85,1961.02,"gulf stream index",-0.564936827,"All"
85,1961.02,"western gulf stream index",0.481445494,"All"
86,1961.03,"gulf stream index",-0.368778171,"All"
86,1961.03,"western gulf stream index",0.004232006,"All"
87,1961.04,"gulf stream index",-1.495415245,"All"
87,1961.04,"western gulf stream index",-1.973096204,"All"
88,1961.05,"gulf stream index",-1.336349865,"All"
88,1961.05,"western gulf stream index",-1.489258474,"All"
89,1961.06,"gulf stream index",-0.581140174,"All"
89,1961.06,"western gulf stream index",-0.82974104,"All"
90,1961.07,"gulf stream index",-1.402858414,"All"
90,1961.07,"western gulf stream index",0.09891235,"All"
91,1961.08,"gulf stream index",-0.96523659,"All"
91,1961.08,"western gulf stream index",-0.007410748,"All"
92,1961.09,"gulf stream index",-2.009373172,"All"
92,1961.09,"western gulf stream index",-0.879384734,"All"
93,1961.1,"gulf stream index",-0.635517898,"All"
93,1961.1,"western gulf stream index",-0.308369813,"All"
94,1961.11,"gulf stream index",-0.251945729,"All"
94,1961.11,"western gulf stream index",-0.163792301,"All"
95,1961.12,"gulf stream index",-0.758002662,"All"
95,1961.12,"western gulf stream index",0.069090026,"All"
96,1962.01,"gulf stream index",0.130442667,"All"
96,1962.01,"western gulf stream index",-0.088424193,"All"
97,1962.02,"gulf stream index",-1.608078886,"All"
97,1962.02,"western gulf stream index",-0.83556057,"All"
98,1962.03,"gulf stream index",-1.159496093,"All"
98,1962.03,"western gulf stream index",-1.463307379,"All"
99,1962.04,"gulf stream index",-1.619037573,"All"
99,1962.04,"western gulf stream index",-0.548410034,"All"
100,1962.05,"gulf stream index",-0.904749183,"All"
100,1962.05,"western gulf stream index",-0.83406066,"All"
101,1962.06,"gulf stream index",-1.027851814,"All"
101,1962.06,"western gulf stream index",-0.675970657,"All"
102,1962.07,"gulf stream index",-1.342714967,"All"
102,1962.07,"western gulf stream index",-0.982977372,"All"
103,1962.08,"gulf stream index",-1.661114657,"All"
103,1962.08,"western gulf stream index",-1.935610193,"All"
104,1962.09,"gulf stream index",-0.503880749,"All"
104,1962.09,"western gulf stream index",-0.359312789,"All"
105,1962.1,"gulf stream index",-0.05908224,"All"
105,1962.1,"western gulf stream index",0.059275632,"All"
106,1962.11,"gulf stream index",-2.093141827,"All"
106,1962.11,"western gulf stream index",-1.470534799,"All"
107,1962.12,"gulf stream index",-2.031248196,"All"
107,1962.12,"western gulf stream index",-1.396959757,"All"
108,1963.01,"gulf stream index",-1.823323545,"All"
108,1963.01,"western gulf stream index",-1.663954917,"All"
109,1963.02,"gulf stream index",-1.191103927,"All"
109,1963.02,"western gulf stream index",-1.499916453,"All"
110,1963.03,"gulf stream index",-1.648181033,"All"
110,1963.03,"western gulf stream index",-2.144819095,"All"
111,1963.04,"gulf stream index",-0.956829651,"All"
111,1963.04,"western gulf stream index",-0.734738191,"All"
112,1963.05,"gulf stream index",-1.267823273,"All"
112,1963.05,"western gulf stream index",-0.699722082,"All"
113,1963.06,"gulf stream index",-1.414196534,"All"
113,1963.06,"western gulf stream index",-1.468098164,"All"
114,1963.07,"gulf stream index",-1.188441639,"All"
114,1963.07,"western gulf stream index",-1.15463313,"All"
115,1963.08,"gulf stream index",-0.285244826,"All"
115,1963.08,"western gulf stream index",-0.087904031,"All"
116,1963.09,"gulf stream index",-0.94269389,"All"
116,1963.09,"western gulf stream index",0.27185236,"All"
117,1963.1,"gulf stream index",-1.421612385,"All"
117,1963.1,"western gulf stream index",-0.450047776,"All"
118,1963.11,"gulf stream index",-1.395319422,"All"
118,1963.11,"western gulf stream index",-0.646808778,"All"
119,1963.12,"gulf stream index",-2.096849378,"All"
119,1963.12,"western gulf stream index",-1.296591342,"All"
120,1964.01,"gulf stream index",-1.816903977,"All"
120,1964.01,"western gulf stream index",-0.683660211,"All"
121,1964.02,"gulf stream index",-2.205875096,"All"
121,1964.02,"western gulf stream index",-1.818776186,"All"
122,1964.03,"gulf stream index",-2.516795733,"All"
122,1964.03,"western gulf stream index",-2.211179712,"All"
123,1964.04,"gulf stream index",-1.591905366,"All"
123,1964.04,"western gulf stream index",-1.609072166,"All"
124,1964.05,"gulf stream index",-2.327301792,"All"
124,1964.05,"western gulf stream index",-1.985636755,"All"
125,1964.06,"gulf stream index",-1.376715327,"All"
125,1964.06,"western gulf stream index",-1.507037136,"All"
126,1964.07,"gulf stream index",-1.421607116,"All"
126,1964.07,"western gulf stream index",-1.929745677,"All"
127,1964.08,"gulf stream index",-1.431534779,"All"
127,1964.08,"western gulf stream index",-2.672399346,"All"
128,1964.09,"gulf stream index",-1.853994234,"All"
128,1964.09,"western gulf stream index",-2.325202091,"All"
129,1964.1,"gulf stream index",-2.033195538,"All"
129,1964.1,"western gulf stream index",-1.76014193,"All"
130,1964.11,"gulf stream index",-2.22730679,"All"
130,1964.11,"western gulf stream index",-1.316007085,"All"
131,1964.12,"gulf stream index",-2.31672526,"All"
131,1964.12,"western gulf stream index",-1.391351088,"All"
132,1965.01,"gulf stream index",-1.571953998,"All"
132,1965.01,"western gulf stream index",-1.338382156,"All"
133,1965.02,"gulf stream index",-1.71461001,"All"
133,1965.02,"western gulf stream index",-1.668758633,"All"
134,1965.03,"gulf stream index",-1.920506708,"All"
134,1965.03,"western gulf stream index",-1.82129366,"All"
135,1965.04,"gulf stream index",-1.21480563,"All"
135,1965.04,"western gulf stream index",-1.256926108,"All"
136,1965.05,"gulf stream index",-0.427725216,"All"
136,1965.05,"western gulf stream index",-0.989570662,"All"
137,1965.06,"gulf stream index",-0.044493187,"All"
137,1965.06,"western gulf stream index",-0.390402019,"All"
138,1965.07,"gulf stream index",0.515004107,"All"
138,1965.07,"western gulf stream index",0.729309663,"All"
139,1965.08,"gulf stream index",-0.847127279,"All"
139,1965.08,"western gulf stream index",-1.780995404,"All"
140,1965.09,"gulf stream index",-2.115063173,"All"
140,1965.09,"western gulf stream index",-2.488932258,"All"
141,1965.1,"gulf stream index",-2.149454748,"All"
141,1965.1,"western gulf stream index",-1.85352156,"All"
142,1965.11,"gulf stream index",-1.129785825,"All"
142,1965.11,"western gulf stream index",-1.658293683,"All"
143,1965.12,"gulf stream index",-1.689623926,"All"
143,1965.12,"western gulf stream index",-1.908591256,"All"
144,1966.01,"gulf stream index",-1.907415134,"All"
144,1966.01,"western gulf stream index",-2.534773113,"All"
145,1966.02,"gulf stream index",-1.531737517,"All"
145,1966.02,"western gulf stream index",-2.412774554,"All"
146,1966.03,"gulf stream index",-1.722656862,"All"
146,1966.03,"western gulf stream index",-1.799884635,"All"
147,1966.04,"gulf stream index",-2.289502379,"All"
147,1966.04,"western gulf stream index",-2.513661779,"All"
148,1966.05,"gulf stream index",-3.539943009,"All"
148,1966.05,"western gulf stream index",-3.410703511,"All"
149,1966.06,"gulf stream index",-1.516907103,"All"
149,1966.06,"western gulf stream index",-1.314860578,"All"
150,1966.07,"gulf stream index",-1.378048042,"All"
150,1966.07,"western gulf stream index",-1.632865336,"All"
151,1966.08,"gulf stream index",-2.327575713,"All"
151,1966.08,"western gulf stream index",-1.885335322,"All"
152,1966.09,"gulf stream index",-2.678768009,"All"
152,1966.09,"western gulf stream index",-1.762695349,"All"
153,1966.1,"gulf stream index",-1.970263803,"All"
153,1966.1,"western gulf stream index",-1.598381361,"All"
154,1966.11,"gulf stream index",-1.510561184,"All"
154,1966.11,"western gulf stream index",-0.921755704,"All"
155,1966.12,"gulf stream index",-1.681011356,"All"
155,1966.12,"western gulf stream index",-0.571159008,"All"
156,1967.01,"gulf stream index",-0.756138847,"All"
156,1967.01,"western gulf stream index",-0.188602448,"All"
157,1967.02,"gulf stream index",-0.015028845,"All"
157,1967.02,"western gulf stream index",0.149134728,"All"
158,1967.03,"gulf stream index",-1.038498103,"All"
158,1967.03,"western gulf stream index",-1.192723338,"All"
159,1967.04,"gulf stream index",-2.117588454,"All"
159,1967.04,"western gulf stream index",-1.094810077,"All"
160,1967.05,"gulf stream index",-1.054304011,"All"
160,1967.05,"western gulf stream index",-0.804596292,"All"
161,1967.06,"gulf stream index",-1.807907943,"All"
161,1967.06,"western gulf stream index",-1.363769488,"All"
162,1967.07,"gulf stream index",-1.652965673,"All"
162,1967.07,"western gulf stream index",-1.912740639,"All"
163,1967.08,"gulf stream index",-1.460341939,"All"
163,1967.08,"western gulf stream index",-1.196755164,"All"
164,1967.09,"gulf stream index",-1.448973969,"All"
164,1967.09,"western gulf stream index",-1.162779266,"All"
165,1967.1,"gulf stream index",-1.547212876,"All"
165,1967.1,"western gulf stream index",-1.191486789,"All"
166,1967.11,"gulf stream index",-0.986665125,"All"
166,1967.11,"western gulf stream index",-0.308587943,"All"
167,1967.12,"gulf stream index",-0.932496052,"All"
167,1967.12,"western gulf stream index",-0.690093154,"All"
168,1968.01,"gulf stream index",-1.150437204,"All"
168,1968.01,"western gulf stream index",-1.15140197,"All"
169,1968.02,"gulf stream index",-0.949170035,"All"
169,1968.02,"western gulf stream index",-1.55550056,"All"
170,1968.03,"gulf stream index",-0.950224776,"All"
170,1968.03,"western gulf stream index",-1.959838261,"All"
171,1968.04,"gulf stream index",-1.050830758,"All"
171,1968.04,"western gulf stream index",-2.299451413,"All"
172,1968.05,"gulf stream index",-0.26135265,"All"
172,1968.05,"western gulf stream index",-1.22282266,"All"
173,1968.06,"gulf stream index",-0.785623692,"All"
173,1968.06,"western gulf stream index",-1.866692221,"All"
174,1968.07,"gulf stream index",-0.158876513,"All"
174,1968.07,"western gulf stream index",-0.862214427,"All"
175,1968.08,"gulf stream index",0.162427269,"All"
175,1968.08,"western gulf stream index",-0.231418475,"All"
176,1968.09,"gulf stream index",0.705031886,"All"
176,1968.09,"western gulf stream index",0.262897273,"All"
177,1968.1,"gulf stream index",-0.136778533,"All"
177,1968.1,"western gulf stream index",-1.290201999,"All"
178,1968.11,"gulf stream index",-0.234505697,"All"
178,1968.11,"western gulf stream index",-0.85805261,"All"
179,1968.12,"gulf stream index",0.05606482,"All"
179,1968.12,"western gulf stream index",0.157687594,"All"
180,1969.01,"gulf stream index",-0.149745622,"All"
180,1969.01,"western gulf stream index",-0.055814634,"All"
181,1969.02,"gulf stream index",-0.943595041,"All"
181,1969.02,"western gulf stream index",-0.656627552,"All"
182,1969.03,"gulf stream index",-1.094236465,"All"
182,1969.03,"western gulf stream index",-1.120555777,"All"
183,1969.04,"gulf stream index",-0.704353793,"All"
183,1969.04,"western gulf stream index",-0.328860762,"All"
184,1969.05,"gulf stream index",-1.349507743,"All"
184,1969.05,"western gulf stream index",-1.251652365,"All"
185,1969.06,"gulf stream index",-1.074095387,"All"
185,1969.06,"western gulf stream index",-0.815448156,"All"
186,1969.07,"gulf stream index",-1.684186388,"All"
186,1969.07,"western gulf stream index",-2.603453274,"All"
187,1969.08,"gulf stream index",-0.35080331,"All"
187,1969.08,"western gulf stream index",-0.875478694,"All"
188,1969.09,"gulf stream index",-0.914809781,"All"
188,1969.09,"western gulf stream index",-1.176124608,"All"
189,1969.1,"gulf stream index",-0.995350919,"All"
189,1969.1,"western gulf stream index",-1.34032912,"All"
190,1969.11,"gulf stream index",-1.327199796,"All"
190,1969.11,"western gulf stream index",-0.193422345,"All"
191,1969.12,"gulf stream index",-0.645312689,"All"
191,1969.12,"western gulf stream index",-0.942023667,"All"
192,1970.01,"gulf stream index",-0.304336123,"All"
192,1970.01,"western gulf stream index",-0.240168898,"All"
193,1970.02,"gulf stream index",-1.174974255,"All"
193,1970.02,"western gulf stream index",-1.528626282,"All"
194,1970.03,"gulf stream index",-1.281756767,"All"
194,1970.03,"western gulf stream index",-1.116493708,"All"
195,1970.04,"gulf stream index",-1.315679929,"All"
195,1970.04,"western gulf stream index",-0.230321354,"All"
196,1970.05,"gulf stream index",-1.220579342,"All"
196,1970.05,"western gulf stream index",-0.720747354,"All"
197,1970.06,"gulf stream index",-0.941257508,"All"
197,1970.06,"western gulf stream index",-0.260518567,"All"
198,1970.07,"gulf stream index",-1.32172331,"All"
198,1970.07,"western gulf stream index",-1.275052063,"All"
199,1970.08,"gulf stream index",-1.578985581,"All"
199,1970.08,"western gulf stream index",-2.087046317,"All"
200,1970.09,"gulf stream index",-0.744857674,"All"
200,1970.09,"western gulf stream index",-0.718152133,"All"
201,1970.1,"gulf stream index",-0.786689946,"All"
201,1970.1,"western gulf stream index",-1.139690404,"All"
202,1970.11,"gulf stream index",-0.807567864,"All"
202,1970.11,"western gulf stream index",-1.028452253,"All"
203,1970.12,"gulf stream index",-0.995741807,"All"
203,1970.12,"western gulf stream index",-0.673558662,"All"
204,1971.01,"gulf stream index",-2.131256219,"All"
204,1971.01,"western gulf stream index",-1.418087826,"All"
205,1971.02,"gulf stream index",-2.125133314,"All"
205,1971.02,"western gulf stream index",-1.3163946,"All"
206,1971.03,"gulf stream index",-0.997981653,"All"
206,1971.03,"western gulf stream index",-0.699245687,"All"
207,1971.04,"gulf stream index",-1.166729964,"All"
207,1971.04,"western gulf stream index",-0.834744689,"All"
208,1971.05,"gulf stream index",-0.90972235,"All"
208,1971.05,"western gulf stream index",-1.316931597,"All"
209,1971.06,"gulf stream index",-1.536626424,"All"
209,1971.06,"western gulf stream index",-2.347192127,"All"
210,1971.07,"gulf stream index",-1.115777371,"All"
210,1971.07,"western gulf stream index",-1.114564935,"All"
211,1971.08,"gulf stream index",-1.017561326,"All"
211,1971.08,"western gulf stream index",-0.980973649,"All"
212,1971.09,"gulf stream index",-0.083983548,"All"
212,1971.09,"western gulf stream index",0.474192851,"All"
213,1971.1,"gulf stream index",-0.748432633,"All"
213,1971.1,"western gulf stream index",-0.194714445,"All"
214,1971.11,"gulf stream index",-0.406091339,"All"
214,1971.11,"western gulf stream index",0.028862475,"All"
215,1971.12,"gulf stream index",-0.282882646,"All"
215,1971.12,"western gulf stream index",-0.136101299,"All"
216,1972.01,"gulf stream index",-0.133147112,"All"
216,1972.01,"western gulf stream index",0.281669543,"All"
217,1972.02,"gulf stream index",-1.01602408,"All"
217,1972.02,"western gulf stream index",-0.556863094,"All"
218,1972.03,"gulf stream index",0.064774853,"All"
218,1972.03,"western gulf stream index",-0.427055985,"All"
219,1972.04,"gulf stream index",-0.260347574,"All"
219,1972.04,"western gulf stream index",-0.027869158,"All"
220,1972.05,"gulf stream index",0.323737279,"All"
220,1972.05,"western gulf stream index",0.741191059,"All"
221,1972.06,"gulf stream index",-0.100891422,"All"
221,1972.06,"western gulf stream index",0.005655198,"All"
222,1972.07,"gulf stream index",-0.190408654,"All"
222,1972.07,"western gulf stream index",0.063308788,"All"
223,1972.08,"gulf stream index",-0.233249922,"All"
223,1972.08,"western gulf stream index",-0.541967749,"All"
224,1972.09,"gulf stream index",-0.011298209,"All"
224,1972.09,"western gulf stream index",-0.487484987,"All"
225,1972.1,"gulf stream index",-0.310051505,"All"
225,1972.1,"western gulf stream index",-0.955268057,"All"
226,1972.11,"gulf stream index",0.522654271,"All"
226,1972.11,"western gulf stream index",-0.019673471,"All"
227,1972.12,"gulf stream index",0.137585319,"All"
227,1972.12,"western gulf stream index",0.726312525,"All"
228,1973.01,"gulf stream index",-0.055469516,"All"
228,1973.01,"western gulf stream index",0.411423233,"All"
229,1973.02,"gulf stream index",-0.310933203,"All"
229,1973.02,"western gulf stream index",0.723584388,"All"
230,1973.03,"gulf stream index",0.055967029,"All"
230,1973.03,"western gulf stream index",0.468449023,"All"
231,1973.04,"gulf stream index",0.217755325,"All"
231,1973.04,"western gulf stream index",0.51015296,"All"
232,1973.05,"gulf stream index",-0.063859104,"All"
232,1973.05,"western gulf stream index",0.509235186,"All"
233,1973.06,"gulf stream index",-0.007591829,"All"
233,1973.06,"western gulf stream index",-0.390072475,"All"
234,1973.07,"gulf stream index",0.202622792,"All"
234,1973.07,"western gulf stream index",-0.091215793,"All"
235,1973.08,"gulf stream index",0.349358634,"All"
235,1973.08,"western gulf stream index",1.238896898,"All"
236,1973.09,"gulf stream index",-0.23453839,"All"
236,1973.09,"western gulf stream index",-0.094185,"All"
237,1973.1,"gulf stream index",0.091330593,"All"
237,1973.1,"western gulf stream index",0.411616152,"All"
238,1973.11,"gulf stream index",-0.203781723,"All"
238,1973.11,"western gulf stream index",0.410910419,"All"
239,1973.12,"gulf stream index",0.868927409,"All"
239,1973.12,"western gulf stream index",1.427598783,"All"
240,1974.01,"gulf stream index",0.587980464,"All"
240,1974.01,"western gulf stream index",0.458038685,"All"
241,1974.02,"gulf stream index",1.350131533,"All"
241,1974.02,"western gulf stream index",0.749152588,"All"
242,1974.03,"gulf stream index",0.786587017,"All"
242,1974.03,"western gulf stream index",0.55632078,"All"
243,1974.04,"gulf stream index",1.668501139,"All"
243,1974.04,"western gulf stream index",2.133783936,"All"
244,1974.05,"gulf stream index",0.589853399,"All"
244,1974.05,"western gulf stream index",0.892530661,"All"
245,1974.06,"gulf stream index",0.87661507,"All"
245,1974.06,"western gulf stream index",0.992251798,"All"
246,1974.07,"gulf stream index",0.205929474,"All"
246,1974.07,"western gulf stream index",0.748391674,"All"
247,1974.08,"gulf stream index",0.205158704,"All"
247,1974.08,"western gulf stream index",0.146725499,"All"
248,1974.09,"gulf stream index",-0.333571686,"All"
248,1974.09,"western gulf stream index",0.394786644,"All"
249,1974.1,"gulf stream index",-0.923891046,"All"
249,1974.1,"western gulf stream index",-1.448247124,"All"
250,1974.11,"gulf stream index",0.990233333,"All"
250,1974.11,"western gulf stream index",-0.552183533,"All"
251,1974.12,"gulf stream index",1.657112965,"All"
251,1974.12,"western gulf stream index",0.641281342,"All"
252,1975.01,"gulf stream index",0.470598789,"All"
252,1975.01,"western gulf stream index",0.163596631,"All"
253,1975.02,"gulf stream index",0.139238734,"All"
253,1975.02,"western gulf stream index",-0.638907552,"All"
254,1975.03,"gulf stream index",0.174355133,"All"
254,1975.03,"western gulf stream index",0.278441983,"All"
255,1975.04,"gulf stream index",-0.000484586,"All"
255,1975.04,"western gulf stream index",0.396692374,"All"
256,1975.05,"gulf stream index",-0.704321615,"All"
256,1975.05,"western gulf stream index",-0.532469081,"All"
257,1975.06,"gulf stream index",-0.190681236,"All"
257,1975.06,"western gulf stream index",0.781102371,"All"
258,1975.07,"gulf stream index",-0.037013885,"All"
258,1975.07,"western gulf stream index",0.677998732,"All"
259,1975.08,"gulf stream index",-1.23179801,"All"
259,1975.08,"western gulf stream index",-1.067738015,"All"
260,1975.09,"gulf stream index",-0.269640844,"All"
260,1975.09,"western gulf stream index",-1.60096081,"All"
261,1975.1,"gulf stream index",0.925619563,"All"
261,1975.1,"western gulf stream index",-0.133892527,"All"
262,1975.11,"gulf stream index",-0.020399974,"All"
262,1975.11,"western gulf stream index",-1.006000453,"All"
263,1975.12,"gulf stream index",0.213134838,"All"
263,1975.12,"western gulf stream index",-0.626055598,"All"
264,1976.01,"gulf stream index",0.28020567,"All"
264,1976.01,"western gulf stream index",-0.25715819,"All"
265,1976.02,"gulf stream index",0.491351694,"All"
265,1976.02,"western gulf stream index",0.169074528,"All"
