"Time","EPU","Var","Value"
2013,"GB","falltrans",330
2013,"GB","maxday",204
2013,"GB","sprtrans",143
2013,"GB","sumlen",187
2013,"GOM","falltrans",320
2013,"GOM","maxday",199
2013,"GOM","sprtrans",148
2013,"GOM","sumlen",172
2013,"MAB","falltrans",319
2013,"MAB","maxday",200
2013,"MAB","sprtrans",141
2013,"MAB","sumlen",178
2014,"GB","falltrans",332
2014,"GB","maxday",217
2014,"GB","sprtrans",157
2014,"GB","sumlen",175
2014,"GOM","falltrans",328
2014,"GOM","maxday",222
2014,"GOM","sprtrans",152
2014,"GOM","sumlen",176
2014,"MAB","falltrans",321
2014,"MAB","maxday",248
2014,"MAB","sprtrans",140
2014,"MAB","sumlen",181
2015,"GB","falltrans",339
2015,"GB","maxday",233
2015,"GB","sprtrans",148
2015,"GB","sumlen",191
2015,"GOM","falltrans",333
2015,"GOM","maxday",241
2015,"GOM","sprtrans",147
2015,"GOM","sumlen",186
2015,"MAB","falltrans",335
2015,"MAB","maxday",232
2015,"MAB","sprtrans",130
2015,"MAB","sumlen",205
2016,"GB","falltrans",338
2016,"GB","maxday",253
2016,"GB","sprtrans",149
2016,"GB","sumlen",189
2016,"GOM","falltrans",339
2016,"GOM","maxday",228
2016,"GOM","sprtrans",145
2016,"GOM","sumlen",194
2016,"MAB","falltrans",325
2016,"MAB","maxday",228
2016,"MAB","sprtrans",148
2016,"MAB","sumlen",177
2017,"GB","falltrans",340
2017,"GB","maxday",216
2017,"GB","sprtrans",165
2017,"GB","sumlen",175
2017,"GOM","falltrans",330
2017,"GOM","maxday",202
2017,"GOM","sprtrans",160
2017,"GOM","sumlen",170
2017,"MAB","falltrans",326
2017,"MAB","maxday",202
2017,"MAB","sprtrans",150
2017,"MAB","sumlen",176
2018,"GB","falltrans",329
2018,"GB","maxday",228
2018,"GB","sprtrans",151
2018,"GB","sumlen",178
2018,"GOM","falltrans",321
2018,"GOM","maxday",221
2018,"GOM","sprtrans",144
2018,"GOM","sumlen",177
2018,"MAB","falltrans",319
2018,"MAB","maxday",222
2018,"MAB","sprtrans",143
2018,"MAB","sumlen",176
2019,"GB","falltrans",334
2019,"GB","maxday",233
2019,"GB","sprtrans",160
2019,"GB","sumlen",174
2019,"GOM","falltrans",324
2019,"GOM","maxday",233
2019,"GOM","sprtrans",155
2019,"GOM","sumlen",169
2019,"MAB","falltrans",323
2019,"MAB","maxday",232
2019,"MAB","sprtrans",142
2019,"MAB","sumlen",181
2020,"GB","falltrans",345
2020,"GB","maxday",227
2020,"GB","sprtrans",161
2020,"GB","sumlen",184
2020,"GOM","falltrans",337
2020,"GOM","maxday",227
2020,"GOM","sprtrans",149
2020,"GOM","sumlen",188
2020,"MAB","falltrans",336
2020,"MAB","maxday",211
2020,"MAB","sprtrans",152
2020,"MAB","sumlen",184
2021,"GB","falltrans",337
2021,"GB","maxday",234
2021,"GB","sprtrans",148
2021,"GB","sumlen",189
2021,"GOM","falltrans",335
2021,"GOM","maxday",226
