"Time","Var","Value","EPU","Units"
1987,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1987,"sst anomaly in situ",-1.37945,"SS","degreesC"
1988,"bottom temp anomaly in situ",-0.97585,"GB","degreesC"
1988,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1988,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1988,"sst anomaly in situ",-0.9025,"GB","degreesC"
1989,"bottom temp anomaly in situ",-1.181,"GB","degreesC"
1989,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1989,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1989,"sst anomaly in situ",-1.0146,"GB","degreesC"
1990,"bottom temp anomaly in situ",-0.3491,"GB","degreesC"
1990,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1990,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1990,"sst anomaly in situ",-0.311228571428571,"GB","degreesC"
1991,"bottom temp anomaly in situ",-0.529328571428571,"GB","degreesC"
1991,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1991,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1991,"sst anomaly in situ",-0.307225,"GB","degreesC"
1991,"bottom temp anomaly in situ",-0.24095,"GOM","degreesC"
1991,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1991,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1991,"sst anomaly in situ",-0.58,"GOM","degreesC"
1991,"bottom temp anomaly in situ",0.49555,"MAB","degreesC"
1991,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1991,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1991,"sst anomaly in situ",0.6061,"MAB","degreesC"
1991,"bottom temp anomaly in situ",-0.2071,"SS","degreesC"
1991,"reference bt in situ (1981-2010)",8.0393,"SS","degreesC"
1991,"reference sst in situ (1981-2010)",8.7117,"SS","degreesC"
1991,"sst anomaly in situ",-0.55865,"SS","degreesC"
1992,"bottom temp anomaly in situ",-1.0509,"GB","degreesC"
1992,"reference bt in situ (1981-2010)",9.3271,"GB","degreesC"
1992,"reference sst in situ (1981-2010)",10.4887,"GB","degreesC"
1992,"sst anomaly in situ",-1.10841,"GB","degreesC"
1992,"bottom temp anomaly in situ",-0.4628,"GOM","degreesC"
1992,"reference bt in situ (1981-2010)",7.1786,"GOM","degreesC"
1992,"reference sst in situ (1981-2010)",10.4224,"GOM","degreesC"
1992,"sst anomaly in situ",-1.5591,"GOM","degreesC"
1992,"bottom temp anomaly in situ",-0.501266666666667,"MAB","degreesC"
1992,"reference bt in situ (1981-2010)",9.8651,"MAB","degreesC"
1992,"reference sst in situ (1981-2010)",14.0684,"MAB","degreesC"
1992,"sst anomaly in situ",-0.7884,"MAB","degreesC"
