EPU,date,source,BottomT.mean,BottomT.sd,Trend,Detrended
GOM,6/8/1982,ROMS,5.337442889,0.965307616,6.252879461,-0.915436572
GOM,6/9/1982,ROMS,5.348470824,0.974716006,6.253011412,-0.904540588
GOM,6/10/1982,ROMS,5.347886615,0.978045436,6.253143364,-0.905256749
GOM,6/11/1982,ROMS,5.336747142,0.96254909,6.253275316,-0.916528174
GOM,6/12/1982,ROMS,5.324708614,0.941490689,6.253407268,-0.928698654
GOM,6/13/1982,ROMS,5.313522964,0.922968466,6.253539219,-0.940016255
GOM,6/14/1982,ROMS,5.305056705,0.906942698,6.253671171,-0.948614466
GOM,6/15/1982,ROMS,5.302199065,0.896887365,6.253803123,-0.951604058
GOM,6/16/1982,ROMS,5.303001142,0.891346566,6.253935075,-0.950933933
GOM,6/17/1982,ROMS,5.295166978,0.873032523,6.254067026,-0.958900048
GOM,6/18/1982,ROMS,5.298451014,0.865863577,6.254198978,-0.955747964
GOM,6/19/1982,ROMS,5.310847095,0.862987319,6.25433093,-0.943483835
GOM,6/20/1982,ROMS,5.327272489,0.859244733,6.254462881,-0.927190392
GOM,6/21/1982,ROMS,5.341798871,0.857206595,6.254594833,-0.912795962
GOM,6/22/1982,ROMS,5.347381015,0.849387144,6.254726785,-0.90734577
GOM,6/23/1982,ROMS,5.356645311,0.84437981,6.254858737,-0.898213426
GOM,6/24/1982,ROMS,5.370232088,0.84236542,6.254990688,-0.8847586
GOM,6/25/1982,ROMS,5.385014594,0.843583193,6.25512264,-0.870108046
GOM,6/26/1982,ROMS,5.397140346,0.842594048,6.255254592,-0.858114246
GOM,6/27/1982,ROMS,5.408896901,0.842420308,6.255386544,-0.846489643
GOM,6/28/1982,ROMS,5.423443844,0.844171828,6.255518495,-0.832074651
GOM,6/29/1982,ROMS,5.435497278,0.844645033,6.255650447,-0.820153169
GOM,6/30/1982,ROMS,5.443579497,0.843277448,6.255782399,-0.812202902
GOM,7/1/1982,ROMS,5.454113713,0.845601978,6.255914351,-0.801800638
GOM,7/2/1982,ROMS,5.468051368,0.852255011,6.256046302,-0.787994934
GOM,7/3/1982,ROMS,5.476802297,0.854811047,6.256178254,-0.779375957
GOM,7/4/1982,ROMS,5.486853536,0.858346791,6.256310206,-0.76945667
GOM,7/5/1982,ROMS,5.504547542,0.86312682,6.256442158,-0.751894616
GOM,7/6/1982,ROMS,5.520040458,0.863256285,6.256574109,-0.736533651
GOM,7/7/1982,ROMS,5.529832426,0.859267642,6.256706061,-0.726873635
GOM,7/8/1982,ROMS,5.535092973,0.854138811,6.256838013,-0.72174504
GOM,7/9/1982,ROMS,5.544151022,0.852643856,6.256969965,-0.712818943
GOM,7/10/1982,ROMS,5.559392033,0.853154285,6.257101916,-0.697709883
GOM,7/11/1982,ROMS,5.575981814,0.854033482,6.257233868,-0.681252054
GOM,7/12/1982,ROMS,5.591415745,0.852757509,6.25736582,-0.665950075
GOM,7/13/1982,ROMS,5.602760948,0.848330904,6.257497772,-0.654736824
GOM,7/14/1982,ROMS,5.615659797,0.846486165,6.257629723,-0.641969926
GOM,7/15/1982,ROMS,5.629384428,0.846125657,6.257761675,-0.628377247
GOM,7/16/1982,ROMS,5.640672328,0.844590641,6.257893627,-0.617221299
GOM,7/17/1982,ROMS,5.651604629,0.8436809,6.258025578,-0.606420949
GOM,7/18/1982,ROMS,5.662920286,0.842941646,6.25815753,-0.595237244
GOM,7/19/1982,ROMS,5.671999037,0.838942007,6.258289482,-0.586290445
GOM,7/20/1982,ROMS,5.683809603,0.83688015,6.258421434,-0.574611831
GOM,7/21/1982,ROMS,5.698481615,0.83812363,6.258553385,-0.56007177
GOM,7/22/1982,ROMS,5.722811579,0.848182492,6.258685337,-0.535873758
GOM,7/23/1982,ROMS,5.74573103,0.858642136,6.258817289,-0.513086259
GOM,7/24/1982,ROMS,5.759571405,0.863115961,6.258949241,-0.499377836
GOM,7/25/1982,ROMS,5.769104604,0.865979947,6.259081192,-0.489976588
GOM,7/26/1982,ROMS,5.769951557,0.860078948,6.259213144,-0.489261587
GOM,7/27/1982,ROMS,5.768359396,0.853357902,6.259345096,-0.4909857
GOM,7/28/1982,ROMS,5.770850835,0.852736396,6.259477048,-0.488626213
GOM,7/29/1982,ROMS,5.768186236,0.845969389,6.259608999,-0.491422763
GOM,7/30/1982,ROMS,5.764170665,0.838542878,6.259740951,-0.495570286
GOM,7/31/1982,ROMS,5.763113173,0.837628224,6.259872903,-0.49675973
GOM,8/1/1982,ROMS,5.762189336,0.835611177,6.260004855,-0.497815519
GOM,8/2/1982,ROMS,5.763763609,0.834608784,6.260136806,-0.496373197
GOM,8/3/1982,ROMS,5.769151976,0.835221928,6.260268758,-0.491116782
GOM,8/4/1982,ROMS,5.778427333,0.837749758,6.26040071,-0.481973377
GOM,8/5/1982,ROMS,5.788555551,0.839425444,6.260532662,-0.471977111
GOM,8/6/1982,ROMS,5.796334395,0.838362384,6.260664613,-0.464330218
GOM,8/7/1982,ROMS,5.808924721,0.84442602,6.260796565,-0.451871844
GOM,8/8/1982,ROMS,5.814329322,0.84302038,6.260928517,-0.446599195
GOM,8/9/1982,ROMS,5.811981691,0.832799199,6.261060469,-0.449078778
GOM,8/10/1982,ROMS,5.810111546,0.824771805,6.26119242,-0.451080874
GOM,8/11/1982,ROMS,5.812703154,0.82116509,6.261324372,-0.448621218
GOM,8/12/1982,ROMS,5.818381249,0.822695097,6.261456324,-0.443075075
GOM,8/13/1982,ROMS,5.822700911,0.825823491,6.261588275,-0.438887364
GOM,8/14/1982,ROMS,5.830313036,0.833406453,6.261720227,-0.431407191
GOM,8/15/1982,ROMS,5.835324201,0.83748153,6.261852179,-0.426527978
GOM,8/16/1982,ROMS,5.837422912,0.83722176,6.261984131,-0.424561219
GOM,8/17/1982,ROMS,5.841616218,0.838680673,6.262116082,-0.420499864
GOM,8/18/1982,ROMS,5.843994486,0.836528865,6.262248034,-0.418253548
GOM,8/19/1982,ROMS,5.853194435,0.841122937,6.262379986,-0.409185551
GOM,8/20/1982,ROMS,5.858912355,0.841953027,6.262511938,-0.403599583
GOM,8/21/1982,ROMS,5.855953801,0.834063395,6.262643889,-0.406690088
GOM,8/22/1982,ROMS,5.86463542,0.839605675,6.262775841,-0.398140421
GOM,8/23/1982,ROMS,5.872724732,0.846186643,6.262907793,-0.390183061
GOM,8/24/1982,ROMS,5.87217069,0.843620033,6.263039745,-0.390869055
GOM,8/25/1982,ROMS,5.872906217,0.842173847,6.263171696,-0.390265479
GOM,8/26/1982,ROMS,5.877142774,0.845675,6.263303648,-0.386160874
GOM,8/27/1982,ROMS,5.886322149,0.8560863,6.2634356,-0.377113451
GOM,8/28/1982,ROMS,5.884260847,0.856421432,6.263567552,-0.379306705
GOM,8/29/1982,ROMS,5.885202901,0.85979419,6.263699503,-0.378496602
GOM,8/30/1982,ROMS,5.892657768,0.869241182,6.263831455,-0.371173687
GOM,8/31/1982,ROMS,5.895053853,0.871934232,6.263963407,-0.368909554
GOM,9/1/1982,ROMS,5.896296401,0.871268534,6.264095359,-0.367798958
GOM,9/2/1982,ROMS,5.908550198,0.877780657,6.26422731,-0.355677112
GOM,9/3/1982,ROMS,5.918800273,0.882080545,6.264359262,-0.345558989
GOM,9/4/1982,ROMS,5.92974905,0.883777681,6.264491214,-0.334742164
GOM,9/5/1982,ROMS,5.94289676,0.885589801,6.264623166,-0.321726406
GOM,9/6/1982,ROMS,5.954284181,0.889346064,6.264755117,-0.310470936
GOM,9/7/1982,ROMS,5.964856742,0.89310912,6.264887069,-0.300030327
GOM,9/8/1982,ROMS,5.98328587,0.904528977,6.265019021,-0.281733151
GOM,9/9/1982,ROMS,6.0003438,0.918843148,6.265150972,-0.264807172
GOM,9/10/1982,ROMS,6.007397398,0.922813213,6.265282924,-0.257885526
GOM,9/11/1982,ROMS,6.010635202,0.921686584,6.265414876,-0.254779674
GOM,9/12/1982,ROMS,6.018936739,0.926082435,6.265546828,-0.246610089
GOM,9/13/1982,ROMS,6.031724438,0.934777261,6.265678779,-0.233954341
GOM,9/14/1982,ROMS,6.045893858,0.943727894,6.265810731,-0.219916873
GOM,9/15/1982,ROMS,6.060061467,0.950922923,6.265942683,-0.205881216
GOM,9/16/1982,ROMS,6.076376444,0.958839604,6.266074635,-0.189698191
GOM,9/17/1982,ROMS,6.09964959,0.973706532,6.266206586,-0.166556996
GOM,9/18/1982,ROMS,6.12280128,0.987471838,6.266338538,-0.143537258
GOM,9/19/1982,ROMS,6.138173505,0.992144984,6.26647049,-0.128296985
GOM,9/20/1982,ROMS,6.149759501,0.990353642,6.266602442,-0.116842941
GOM,9/21/1982,ROMS,6.160934474,0.990042432,6.266734393,-0.105799919
GOM,9/22/1982,ROMS,6.176495524,0.997570819,6.266866345,-0.090370821
GOM,9/23/1982,ROMS,6.196576206,1.015230689,6.266998297,-0.070422091
GOM,9/24/1982,ROMS,6.21010909,1.025519325,6.267130249,-0.057021159
GOM,9/25/1982,ROMS,6.210775565,1.015015912,6.2672622,-0.056486635
GOM,9/26/1982,ROMS,6.209786048,1.005918095,6.267394152,-0.057608104
GOM,9/27/1982,ROMS,6.21477504,1.010248228,6.267526104,-0.052751064
GOM,9/28/1982,ROMS,6.225041518,1.022451434,6.267658056,-0.042616538
GOM,9/29/1982,ROMS,6.236509185,1.029933072,6.267790007,-0.031280822
GOM,9/30/1982,ROMS,6.256899295,1.050293865,6.267921959,-0.011022664
GOM,10/1/1982,ROMS,6.277990469,1.072004408,6.268053911,0.009936558
GOM,10/2/1982,ROMS,6.297096117,1.081689983,6.268185863,0.028910254
GOM,10/3/1982,ROMS,6.323638701,1.109170569,6.268317814,0.055320887
GOM,10/4/1982,ROMS,6.337303097,1.118332578,6.268449766,0.068853331
GOM,10/5/1982,ROMS,6.351340088,1.122105636,6.268581718,0.08275837
GOM,10/6/1982,ROMS,6.369730473,1.13080616,6.268713669,0.101016804
GOM,10/7/1982,ROMS,6.381892621,1.130537718,6.268845621,0.113047
GOM,10/8/1982,ROMS,6.396383469,1.139175186,6.268977573,0.127405896
GOM,10/9/1982,ROMS,6.409775835,1.149259787,6.269109525,0.14066631
GOM,10/10/1982,ROMS,6.449463147,1.207313362,6.269241476,0.180221671
GOM,10/11/1982,ROMS,6.479240554,1.26816229,6.269373428,0.209867126
GOM,10/12/1982,ROMS,6.484117921,1.287360939,6.26950538,0.214612541
GOM,10/13/1982,ROMS,6.490019971,1.295559373,6.269637332,0.220382639
GOM,10/14/1982,ROMS,6.499811802,1.297141724,6.269769283,0.230042519
GOM,10/15/1982,ROMS,6.511791032,1.295408356,6.269901235,0.241889797
GOM,10/16/1982,ROMS,6.518777648,1.282057221,6.270033187,0.248744461
GOM,10/17/1982,ROMS,6.52114287,1.263754369,6.270165139,0.250977731
GOM,10/18/1982,ROMS,6.528902481,1.258768295,6.27029709,0.258605391
GOM,10/19/1982,ROMS,6.528347928,1.248824928,6.270429042,0.257918886
GOM,10/20/1982,ROMS,6.523102644,1.232779909,6.270560994,0.25254165
GOM,10/21/1982,ROMS,6.51406243,1.213436537,6.270692946,0.243369484
GOM,10/22/1982,ROMS,6.502644669,1.195252756,6.270824897,0.231819772
GOM,10/23/1982,ROMS,6.503574042,1.197516379,6.270956849,0.232617193
GOM,10/24/1982,ROMS,6.506126732,1.206784737,6.271088801,0.235037931
GOM,10/25/1982,ROMS,6.507039268,1.215417433,6.271220753,0.235818515
GOM,10/26/1982,ROMS,6.506458991,1.224230112,6.271352704,0.235106287
GOM,10/27/1982,ROMS,6.520072857,1.252666535,6.271484656,0.248588201
GOM,10/28/1982,ROMS,6.522827297,1.266016599,6.271616608,0.251210689
GOM,10/29/1982,ROMS,6.521261916,1.265564468,6.27174856,0.249513356
GOM,10/30/1982,ROMS,6.524057009,1.265847329,6.271880511,0.252176498
GOM,10/31/1982,ROMS,6.528385063,1.262572164,6.272012463,0.2563726
GOM,11/1/1982,ROMS,6.534698267,1.257999369,6.272144415,0.262553852
GOM,11/2/1982,ROMS,6.542138082,1.25358968,6.272276366,0.269861716
GOM,11/3/1982,ROMS,6.552606038,1.253232204,6.272408318,0.28019772
GOM,11/4/1982,ROMS,6.560461581,1.250852267,6.27254027,0.287921311
GOM,11/5/1982,ROMS,6.559056435,1.239586511,6.272672222,0.286384213
GOM,11/6/1982,ROMS,6.547583404,1.216854619,6.272804173,0.274779231
GOM,11/7/1982,ROMS,6.540603779,1.199342338,6.272936125,0.267667654
GOM,11/8/1982,ROMS,6.529536367,1.18288711,6.273068077,0.25646829
GOM,11/9/1982,ROMS,6.51784851,1.164641349,6.273200029,0.244648481
GOM,11/10/1982,ROMS,6.517154129,1.159317618,6.27333198,0.243822149
GOM,11/11/1982,ROMS,6.521158874,1.16196249,6.273463932,0.247694942
GOM,11/12/1982,ROMS,6.519112948,1.158286813,6.273595884,0.245517064
GOM,11/13/1982,ROMS,6.507129253,1.139140961,6.273727836,0.233401417
GOM,11/14/1982,ROMS,6.502235447,1.119118682,6.273859787,0.22837566
GOM,11/15/1982,ROMS,6.520518515,1.120569285,6.273991739,0.246526776
GOM,11/16/1982,ROMS,6.532377489,1.117349753,6.274123691,0.258253798
GOM,11/17/1982,ROMS,6.539449353,1.108617684,6.274255643,0.26519371
GOM,11/18/1982,ROMS,6.538933096,1.098778138,6.274387594,0.264545502
GOM,11/19/1982,ROMS,6.546300751,1.097555011,6.274519546,0.271781205
GOM,11/20/1982,ROMS,6.555505833,1.099546228,6.274651498,0.280854335
GOM,11/21/1982,ROMS,6.55832185,1.098589178,6.27478345,0.2835384
GOM,11/22/1982,ROMS,6.562591187,1.097249469,6.274915401,0.287675786
GOM,11/23/1982,ROMS,6.569959248,1.097762804,6.275047353,0.294911895
GOM,11/24/1982,ROMS,6.579719559,1.099942103,6.275179305,0.304540254
GOM,11/25/1982,ROMS,6.5885946,1.095108844,6.275311257,0.313283343
GOM,11/26/1982,ROMS,6.593114937,1.077296526,6.275443208,0.317671729
GOM,11/27/1982,ROMS,6.597250057,1.060199019,6.27557516,0.321674897
GOM,11/28/1982,ROMS,6.609754599,1.04589426,6.275707112,0.334047487
GOM,11/29/1982,ROMS,6.623016224,1.035165707,6.275839063,0.347177161
GOM,11/30/1982,ROMS,6.642522952,1.032376491,6.275971015,0.366551937
GOM,12/1/1982,ROMS,6.66795132,1.030650822,6.276102967,0.391848353
GOM,12/2/1982,ROMS,6.691153006,1.029730743,6.276234919,0.414918087
GOM,12/3/1982,ROMS,6.711483124,1.029720221,6.27636687,0.435116254
GOM,12/4/1982,ROMS,6.728596273,1.028316474,6.276498822,0.452097451
GOM,12/5/1982,ROMS,6.741661835,1.021845079,6.276630774,0.465031061
GOM,12/6/1982,ROMS,6.757600231,1.022516778,6.276762726,0.480837505
GOM,12/7/1982,ROMS,6.770933852,1.022424966,6.276894677,0.494039175
GOM,12/8/1982,ROMS,6.78591195,1.020796632,6.277026629,0.508885321
