Species,YEAR,MeanCond,StdDevCond
177,2010,0.9486514911477008,NA
177,2011,0.9282357407685902,0.029629479663683966
177,2012,0.9442438060747905,0.0985975817206458
177,2013,1.0248715749317818,NA
177,2014,0.9821335828551382,0.08167614750400212
194,1999,0.9857006130031525,0.11677303250522038
194,2000,0.9580424706803538,0.07330542652396645
194,2001,0.9539936617078212,0.11754295578328824
194,2002,1.0142414208639619,0.13676297996501632
194,2003,0.9669256158545828,0.10230700510307401
194,2004,1.0032479905929106,0.14142647952638854
194,2005,0.9512328619531089,0.10204063909135092
194,2006,0.9626820569752141,0.11730794179017878
194,2007,0.9426576928320699,0.09776000046428826
194,2008,0.9539373614647141,0.12322153680897162
194,2009,0.9923204299866157,0.14577483544305697
194,2010,0.9897637478136628,0.12025606047498769
