,Time,Value,EPU,Source,Var,Units
100,2012,-0.038765907287597656,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
101,2013,-0.2634286880493164,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
102,2014,0.18178558349609375,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
103,2015,1.6935949325561523,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
104,2016,0.8522205352783203,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
105,2017,0.7378530502319336,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
106,2018,0.2636604309082031,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
107,2019,1.007272720336914,MAB,MOM6,Fall_Bottom Temp Anomaly,degrees C
108,1993,-0.7638211250305176,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
109,1994,-0.49822521209716797,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
110,1995,0.5625624656677246,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
111,1996,0.21399497985839844,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
112,1997,0.10970640182495117,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
113,1998,0.10877704620361328,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
114,1999,0.39234256744384766,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
115,2000,-0.08507204055786133,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
116,2001,-0.11587715148925781,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
117,2002,0.6277055740356445,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
118,2003,-0.7347555160522461,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
119,2004,-1.4802250862121582,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
120,2005,-0.33300018310546875,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
121,2006,0.45639753341674805,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
122,2007,0.2611427307128906,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
123,2008,0.10290336608886719,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
124,2009,-0.7381329536437988,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
125,2010,-0.36163330078125,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
126,2011,-0.46251869201660156,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
127,2012,1.3159871101379395,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
128,2013,0.39673328399658203,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
129,2014,-3.8623809814453125e-05,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
130,2015,-0.1591634750366211,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
131,2016,0.988865852355957,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
132,2017,0.5812187194824219,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
133,2018,0.43059349060058594,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
134,2019,0.051911354064941406,GB,MOM6,Winter_Bottom Temp Anomaly,degrees C
135,1993,-0.5361909866333008,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
136,1994,-0.06153106689453125,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
137,1995,0.03606224060058594,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
138,1996,0.027021408081054688,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
139,1997,-0.48643064498901367,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
140,1998,0.06568336486816406,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
141,1999,0.2150249481201172,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
142,2000,0.7819118499755859,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
143,2001,0.09364128112792969,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
144,2002,0.5126094818115234,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
145,2003,-0.5462031364440918,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
146,2004,-0.9673547744750977,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
147,2005,-0.5156641006469727,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
148,2006,0.4063854217529297,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
149,2007,-0.2663240432739258,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
150,2008,-0.02889728546142578,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
151,2009,-0.521550178527832,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
152,2010,0.4227638244628906,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
153,2011,-0.17003440856933594,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
154,2012,1.1070308685302734,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
155,2013,0.46417903900146484,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
156,2014,0.4886932373046875,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
157,2015,-0.04971504211425781,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
158,2016,0.6821413040161133,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
159,2017,0.7813434600830078,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
160,2018,0.7530899047851562,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
161,2019,0.36864376068115234,GB,MOM6,Spring_Bottom Temp Anomaly,degrees C
162,1993,-0.1862506866455078,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
163,1994,0.17755413055419922,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
164,1995,0.6829376220703125,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
165,1996,0.5669422149658203,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
166,1997,-0.5360622406005859,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
167,1998,0.07062053680419922,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
168,1999,0.24207210540771484,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
169,2000,0.7328453063964844,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
170,2001,0.37799072265625,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
171,2002,0.6316051483154297,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
172,2003,-0.64666748046875,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
173,2004,-1.384537696838379,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
174,2005,-0.0648050308227539,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
175,2006,0.544677734375,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
176,2007,-0.21169281005859375,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
177,2008,-0.03938770294189453,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
178,2009,-0.5880279541015625,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
179,2010,0.340240478515625,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
180,2011,-0.019697189331054688,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
181,2012,0.7459774017333984,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
182,2013,0.3585386276245117,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
183,2014,0.7324857711791992,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
184,2015,0.5435552597045898,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
185,2016,0.8319816589355469,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
186,2017,0.8343563079833984,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
187,2018,0.9193639755249023,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
188,2019,0.6470623016357422,GB,MOM6,Summer_Bottom Temp Anomaly,degrees C
189,1993,-0.43584251403808594,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
190,1994,0.0819711685180664,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
191,1995,0.6544885635375977,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
192,1996,-0.15929508209228516,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
193,1997,-1.159834861755371,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
194,1998,-0.21662330627441406,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
195,1999,-0.44533348083496094,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
196,2000,-0.38394737243652344,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
197,2001,0.13814830780029297,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
198,2002,0.5337734222412109,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
199,2003,-0.9966497421264648,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
200,2004,-0.6665773391723633,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
201,2005,0.5976810455322266,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
202,2006,0.6781644821166992,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
203,2007,-0.23915576934814453,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
204,2008,-0.7047185897827148,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
205,2009,-0.044470787048339844,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
206,2010,-0.3026247024536133,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
207,2011,0.28133106231689453,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
208,2012,0.8743686676025391,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
209,2013,-0.011000633239746094,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
210,2014,0.4382495880126953,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
211,2015,0.7502775192260742,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
212,2016,0.900782585144043,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
213,2017,1.055821418762207,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
214,2018,0.32807064056396484,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
215,2019,0.7130002975463867,GB,MOM6,Fall_Bottom Temp Anomaly,degrees C
216,1993,-0.5858659744262695,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
217,1994,0.5649890899658203,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
218,1995,1.0775089263916016,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
219,1996,0.44347667694091797,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
220,1997,1.6328020095825195,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
221,1998,0.6650333404541016,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
222,1999,0.3931760787963867,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
223,2000,-0.10616779327392578,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
224,2001,-0.03538990020751953,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
225,2002,0.3086557388305664,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
226,2003,-0.9854140281677246,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
227,2004,-1.7965192794799805,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
228,2005,-1.0443291664123535,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
229,2006,0.5345239639282227,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
230,2007,0.061785221099853516,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
231,2008,-0.4323859214782715,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
232,2009,-0.6437268257141113,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
233,2010,-0.18669557571411133,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
234,2011,0.7149581909179688,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
235,2012,0.9390687942504883,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
236,2013,0.46759653091430664,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
237,2014,-0.25107908248901367,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
238,2015,-0.6124701499938965,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
239,2016,0.16598224639892578,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
240,2017,0.4412369728088379,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
241,2018,-0.18557119369506836,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
242,2019,0.10193920135498047,GOM,MOM6,Winter_Bottom Temp Anomaly,degrees C
243,1993,0.03501558303833008,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
244,1994,0.817997932434082,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
245,1995,1.494992733001709,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
246,1996,0.5631246566772461,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
247,1997,1.2836852073669434,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
248,1998,1.412381649017334,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
249,1999,-0.08698654174804688,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
250,2000,0.1587834358215332,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
251,2001,-0.2969169616699219,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
252,2002,0.5779023170471191,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
253,2003,-1.352017879486084,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
254,2004,-1.9603171348571777,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
255,2005,-0.2705245018005371,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
256,2006,0.29853153228759766,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
257,2007,-0.6104059219360352,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
258,2008,-0.45251989364624023,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
259,2009,-0.9227638244628906,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
260,2010,0.4880971908569336,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
261,2011,1.1065187454223633,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
262,2012,1.097111701965332,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
263,2013,0.20252609252929688,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
264,2014,-0.5098342895507812,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
265,2015,-1.1220636367797852,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
266,2016,0.8099756240844727,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
267,2017,-0.2471022605895996,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
268,2018,-0.15450572967529297,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
269,2019,0.2823610305786133,GOM,MOM6,Spring_Bottom Temp Anomaly,degrees C
270,1993,0.13121986389160156,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
271,1994,0.7333731651306152,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
272,1995,1.3617596626281738,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
273,1996,0.6978764533996582,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
274,1997,0.8138775825500488,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
275,1998,1.0860695838928223,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
276,1999,-0.1917581558227539,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
277,2000,0.21843528747558594,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
278,2001,-0.2735304832458496,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
279,2002,0.543982982635498,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
280,2003,-1.167959213256836,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
281,2004,-1.964139461517334,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
282,2005,-0.009915351867675781,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
283,2006,0.42772674560546875,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
284,2007,-0.5183839797973633,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
285,2008,-0.5513067245483398,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
286,2009,-0.7663488388061523,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
287,2010,0.5005936622619629,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
288,2011,0.7514948844909668,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
289,2012,0.7206053733825684,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
290,2013,0.43156862258911133,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
291,2014,-0.152801513671875,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
292,2015,-0.8536791801452637,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
293,2016,0.5941977500915527,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
294,2017,-0.19692039489746094,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
295,2018,0.1348729133605957,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
296,2019,0.2681446075439453,GOM,MOM6,Summer_Bottom Temp Anomaly,degrees C
297,1993,0.1074838638305664,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
298,1994,0.7077465057373047,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
299,1995,1.2065181732177734,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
300,1996,0.9248790740966797,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
301,1997,0.5550289154052734,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
302,1998,0.6494598388671875,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
303,1999,-0.3387126922607422,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
304,2000,0.32741260528564453,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
305,2001,-0.2453479766845703,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
306,2002,0.4522237777709961,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
307,2003,-1.0206661224365234,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
308,2004,-1.7119903564453125,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
309,2005,0.008133888244628906,GOM,MOM6,Fall_Bottom Temp Anomaly,degrees C
