SAMPLE_DATE,LOCATION,LOCATION_ID,Species,UID,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,CALCULATED_SCORE,Month,Year,Over_44_threshold
5/9/2005,Sebasco,PSP12.3,Mytilus,050905PSP12.3Myt,43.7637,-69.8616,0,May,2005,No
5/9/2005,Hermit Is.,PSP12.33,Mytilus,050905PSP12.33Myt,,,39,May,2005,No
5/9/2005,Graveyard Pt.,PSP15.2,Mytilus,050905PSP15.2Myt,43.8782,-69.52402,0,May,2005,No
5/9/2005,Pemaquid Pt.,PSP15.21,Mytilus,050905PSP15.21Myt,43.83186,-69.5139,39,May,2005,No
5/9/2005,Chamberlain,PSP15.23,Mytilus,050905PSP15.23Myt,43.88774,-69.47769,0,May,2005,No
5/9/2005,Head Beach,PSP12.34,Mytilus,050905PSP12.34Myt,43.71711,-69.84999,40,May,2005,No
5/9/2005,Bristol Gut,PSP15.12,Mytilus,050905PSP15.12Myt,43.86204,-69.55872,0,May,2005,No
5/9/2005,Christmas Cove,PSP15.13,Mytilus,050905PSP15.13Myt,43.84756,-69.55702,0,May,2005,No
5/9/2005,High Is.,PSP15.15,Mytilus,050905PSP15.15Myt,43.8874,-69.54745,0,May,2005,No
5/10/2005,Spinney Creek,PSP10.02,Mytilus,051005PSP10.02Myt,43.09612,-70.76781,0,May,2005,No
5/10/2005,Kittery Pt. Bridge,PSP10.03,Mytilus,051005PSP10.03Myt,43.0832,-70.71808,0,May,2005,No
5/10/2005,York R.,PSP10.07,Mytilus,051005PSP10.07Myt,43.12727,-70.64426,0,May,2005,No
5/10/2005,Ogunquit R.,PSP10.11,Mytilus,051005PSP10.11Myt,43.2503,-70.5954,0,May,2005,No
5/10/2005,Cape Porpoise,PSP10.2,Mytilus,051005PSP10.2Myt,43.36592,-70.43032,41,May,2005,No
5/10/2005,Little R. Kennebunkport,PSP10.22,Mytilus,051005PSP10.22Myt,43.40226,-70.39882,0,May,2005,No
5/10/2005,Bar Hbr. Airport,PSP22.07,Mytilus,051005PSP22.07Myt,44.44243,-68.35756,0,May,2005,No
5/10/2005,Bar Hbr. Bar,PSP22.01,Mytilus,051005PSP22.01Myt,44.39342,-68.20833,0,May,2005,No
5/10/2005,Bass Hbr.,PSP21.09,Mytilus,051005PSP21.09Myt,44.23824,-68.34792,0,May,2005,No
5/10/2005,Duck Cove,PSP21.06,Mytilus,051005PSP21.06Myt,44.25551,-68.37878,0,May,2005,No
5/10/2005,Seal Cove Tremont,PSP21.04,Mytilus,051005PSP21.04Myt,44.28261,-68.40792,0,May,2005,No
