"","Time","EPU","Var","Value"
"197",1998,"GOM","falltrans",303
"198",1998,"GOM","maxday",219
"199",1998,"GOM","sprtrans",149
"200",1998,"GOM","sumlen",154
"201",1998,"MAB","falltrans",306
"202",1998,"MAB","maxday",203
"203",1998,"MAB","sprtrans",149
"204",1998,"MAB","sumlen",157
"205",1999,"GB","falltrans",343
"206",1999,"GB","maxday",252
"207",1999,"GB","sprtrans",151
"208",1999,"GB","sumlen",192
"209",1999,"GOM","falltrans",314
"210",1999,"GOM","maxday",211
"211",1999,"GOM","sprtrans",149
"212",1999,"GOM","sumlen",165
"213",1999,"MAB","falltrans",332
"214",1999,"MAB","maxday",211
"215",1999,"MAB","sprtrans",148
"216",1999,"MAB","sumlen",184
"217",2000,"GB","falltrans",326
"218",2000,"GB","maxday",246
"219",2000,"GB","sprtrans",161
"220",2000,"GB","sumlen",165
"221",2000,"GOM","falltrans",323
"222",2000,"GOM","maxday",242
"223",2000,"GOM","sprtrans",153
"224",2000,"GOM","sumlen",170
"225",2000,"MAB","falltrans",308
"226",2000,"MAB","maxday",223
"227",2000,"MAB","sprtrans",146
"228",2000,"MAB","sumlen",162
"229",2001,"GB","falltrans",344
"230",2001,"GB","maxday",232
"231",2001,"GB","sprtrans",157
"232",2001,"GB","sumlen",187
"233",2001,"GOM","falltrans",313
"234",2001,"GOM","maxday",223
"235",2001,"GOM","sprtrans",157
"236",2001,"GOM","sumlen",156
"237",2001,"MAB","falltrans",320
"238",2001,"MAB","maxday",234
"239",2001,"MAB","sprtrans",150
"240",2001,"MAB","sumlen",170
"241",2002,"GB","falltrans",332
"242",2002,"GB","maxday",232
"243",2002,"GB","sprtrans",151
"244",2002,"GB","sumlen",181
"245",2002,"GOM","falltrans",312
"246",2002,"GOM","maxday",227
"247",2002,"GOM","sprtrans",159
"248",2002,"GOM","sumlen",153
"249",2002,"MAB","falltrans",320
"250",2002,"MAB","maxday",231
"251",2002,"MAB","sprtrans",147
"252",2002,"MAB","sumlen",173
"253",2003,"GB","falltrans",329
"254",2003,"GB","maxday",224
"255",2003,"GB","sprtrans",166
"256",2003,"GB","sumlen",163
"257",2003,"GOM","falltrans",314
"258",2003,"GOM","maxday",227
"259",2003,"GOM","sprtrans",162
"260",2003,"GOM","sumlen",152
"261",2003,"MAB","falltrans",318
"262",2003,"MAB","maxday",229
"263",2003,"MAB","sprtrans",159
"264",2003,"MAB","sumlen",159
"265",2004,"GB","falltrans",313
"266",2004,"GB","maxday",215
"267",2004,"GB","sprtrans",167
"268",2004,"GB","sumlen",146
"269",2004,"GOM","falltrans",307
"270",2004,"GOM","maxday",243
"271",2004,"GOM","sprtrans",164
"272",2004,"GOM","sumlen",143
"273",2004,"MAB","falltrans",314
"274",2004,"MAB","maxday",215
"275",2004,"MAB","sprtrans",137
"276",2004,"MAB","sumlen",177
"277",2005,"GB","falltrans",325
"278",2005,"GB","maxday",223
"279",2005,"GB","sprtrans",157
"280",2005,"GB","sumlen",168
"281",2005,"GOM","falltrans",319
"282",2005,"GOM","maxday",224
"283",2005,"GOM","sprtrans",159
"284",2005,"GOM","sumlen",160
"285",2005,"MAB","falltrans",321
"286",2005,"MAB","maxday",225
"287",2005,"MAB","sprtrans",155
"288",2005,"MAB","sumlen",166
"289",2006,"GB","falltrans",335
"290",2006,"GB","maxday",221
"291",2006,"GB","sprtrans",150
"292",2006,"GB","sumlen",185
"293",2006,"GOM","falltrans",305
"294",2006,"GOM","maxday",220
