Year,  Month,  Var,    Value,    Var,        Value,    Var,         Value,    EPU,      Units
2000,  05,     T15m,   -0.10,    T15mto40m,   -0.04,    TBlw40m,    -0.29,    GOMGB,    10^6 m^3/s
2000,  06,     T15m,   -0.22,    T15mto40m,    0.00,    TBlw40m,    -0.22,    GOMGB,    10^6 m^3/s
2001,  03,     T15m,   -0.23,    T15mto40m,   -0.10,    TBlw40m,    -0.25,    GOMGB,    10^6 m^3/s
2001,  04,     T15m,   -0.12,    T15mto40m,    0.03,    TBlw40m,    -0.34,    GOMGB,    10^6 m^3/s
2001,  05,     T15m,   -0.01,    T15mto40m,    0.10,    TBlw40m,    -0.35,    GOMGB,    10^6 m^3/s
2001,  06,     T15m,   -0.18,    T15mto40m,    0.10,    TBlw40m,    -0.08,    GOMGB,    10^6 m^3/s
2002,  03,     T15m,   -0.18,    T15mto40m,   -0.18,    TBlw40m,    -0.24,    GOMGB,    10^6 m^3/s
2002,  04,     T15m,   -0.15,    T15mto40m,   -0.05,    TBlw40m,    -0.16,    GOMGB,    10^6 m^3/s
2002,  05,     T15m,   -0.24,    T15mto40m,   -0.09,    TBlw40m,    -0.52,    GOMGB,    10^6 m^3/s
2002,  06,     T15m,   -0.26,    T15mto40m,   -0.02,    TBlw40m,    -0.18,    GOMGB,    10^6 m^3/s
2003,  03,     T15m,   -0.12,    T15mto40m,   -0.09,    TBlw40m,    -0.37,    GOMGB,    10^6 m^3/s
2003,  04,     T15m,    0.10,    T15mto40m,    0.13,    TBlw40m,    -0.59,    GOMGB,    10^6 m^3/s
2003,  05,     T15m,   -0.04,    T15mto40m,   -0.04,    TBlw40m,    -0.58,    GOMGB,    10^6 m^3/s
2003,  06,     T15m,   -0.20,    T15mto40m,   -0.00,    TBlw40m,    -0.29,    GOMGB,    10^6 m^3/s
2004,  03,     T15m,   -0.00,    T15mto40m,    0.14,    TBlw40m,    -0.33,    GOMGB,    10^6 m^3/s
2004,  04,     T15m,   -0.11,    T15mto40m,   -0.02,    TBlw40m,    -0.01,    GOMGB,    10^6 m^3/s
2004,  05,     T15m,   -0.18,    T15mto40m,   -0.01,    TBlw40m,    -0.31,    GOMGB,    10^6 m^3/s
2004,  06,     T15m,   -0.23,    T15mto40m,    0.00,    TBlw40m,    -0.27,    GOMGB,    10^6 m^3/s
2005,  03,     T15m,   -0.43,    T15mto40m,   -0.18,    TBlw40m,    -0.26,    GOMGB,    10^6 m^3/s
2005,  04,     T15m,   -0.12,    T15mto40m,   -0.11,    TBlw40m,    -0.91,    GOMGB,    10^6 m^3/s
2005,  05,     T15m,   -0.12,    T15mto40m,   -0.02,    TBlw40m,    -0.42,    GOMGB,    10^6 m^3/s
2005,  06,     T15m,   -0.27,    T15mto40m,   -0.01,    TBlw40m,    -0.27,    GOMGB,    10^6 m^3/s
2006,  03,     T15m,   -0.42,    T15mto40m,   -0.03,    TBlw40m,     0.33,    GOMGB,    10^6 m^3/s
2006,  04,     T15m,   -0.09,    T15mto40m,    0.12,    TBlw40m,    -11.92,    GOMGB,    10^6 m^3/s
2006,  05,     T15m,   -0.04,    T15mto40m,    0.07,    TBlw40m,    -1.73,    GOMGB,    10^6 m^3/s
2006,  06,     T15m,   -0.30,    T15mto40m,    0.15,    TBlw40m,     0.46,    GOMGB,    10^6 m^3/s
2007,  03,     T15m,   -0.36,    T15mto40m,   -0.16,    TBlw40m,    -0.05,    GOMGB,    10^6 m^3/s
2007,  04,     T15m,   -0.19,    T15mto40m,   -0.09,    TBlw40m,    -0.64,    GOMGB,    10^6 m^3/s
2007,  05,     T15m,   -0.27,    T15mto40m,   -0.11,    TBlw40m,    -0.17,    GOMGB,    10^6 m^3/s
2007,  06,     T15m,   -0.25,    T15mto40m,    0.02,    TBlw40m,    -0.39,    GOMGB,    10^6 m^3/s
2008,  03,     T15m,   -0.43,    T15mto40m,   -0.22,    TBlw40m,    -0.17,    GOMGB,    10^6 m^3/s
2008,  04,     T15m,   -0.04,    T15mto40m,   -0.04,    TBlw40m,    -0.55,    GOMGB,    10^6 m^3/s
2008,  05,     T15m,   -0.16,    T15mto40m,    0.11,    TBlw40m,    -0.49,    GOMGB,    10^6 m^3/s
2008,  06,     T15m,   -0.21,    T15mto40m,    0.06,    TBlw40m,    -0.21,    GOMGB,    10^6 m^3/s
2009,  03,     T15m,   -0.14,    T15mto40m,    0.04,    TBlw40m,    -0.21,    GOMGB,    10^6 m^3/s
2009,  04,     T15m,   -0.15,    T15mto40m,    0.07,    TBlw40m,     0.10,    GOMGB,    10^6 m^3/s
2009,  05,     T15m,   -0.24,    T15mto40m,   -0.04,    TBlw40m,    -0.33,    GOMGB,    10^6 m^3/s
2009,  06,     T15m,    0.00,    T15mto40m,    0.09,    TBlw40m,     0.32,    GOMGB,    10^6 m^3/s
2010,  03,     T15m,    0.03,    T15mto40m,    0.17,    TBlw40m,    -0.50,    GOMGB,    10^6 m^3/s
2010,  04,     T15m,   -0.25,    T15mto40m,    0.00,    TBlw40m,    -0.09,    GOMGB,    10^6 m^3/s
2010,  05,     T15m,   -0.32,    T15mto40m,   -0.04,    TBlw40m,    -0.22,    GOMGB,    10^6 m^3/s
2010,  06,     T15m,   -0.26,    T15mto40m,    0.14,    TBlw40m,     0.20,    GOMGB,    10^6 m^3/s
2011,  03,     T15m,   -0.15,    T15mto40m,    0.08,    TBlw40m,     0.07,    GOMGB,    10^6 m^3/s
2011,  04,     T15m,   -0.31,    T15mto40m,   -0.10,    TBlw40m,     0.15,    GOMGB,    10^6 m^3/s
2011,  05,     T15m,   -0.04,    T15mto40m,    0.11,    TBlw40m,    -0.26,    GOMGB,    10^6 m^3/s
2011,  06,     T15m,   -0.09,    T15mto40m,    0.08,    TBlw40m,    -0.17,    GOMGB,    10^6 m^3/s
2012,  03,     T15m,   -0.24,    T15mto40m,   -0.00,    TBlw40m,    -0.35,    GOMGB,    10^6 m^3/s
2012,  04,     T15m,   -0.22,    T15mto40m,    0.01,    TBlw40m,     0.06,    GOMGB,    10^6 m^3/s
2012,  05,     T15m,   -0.04,    T15mto40m,    0.02,    TBlw40m,    -0.20,    GOMGB,    10^6 m^3/s
2012,  06,     T15m,   -0.10,    T15mto40m,   -0.02,    TBlw40m,    -0.36,    GOMGB,    10^6 m^3/s
2013,  03,     T15m,   -0.17,    T15mto40m,    0.17,    TBlw40m,    -0.47,    GOMGB,    10^6 m^3/s
2013,  04,     T15m,   -0.02,    T15mto40m,    0.11,    TBlw40m,    -0.25,    GOMGB,    10^6 m^3/s
2013,  05,     T15m,   -0.21,    T15mto40m,   -0.02,    TBlw40m,    -0.18,    GOMGB,    10^6 m^3/s
2013,  06,     T15m,   -0.36,    T15mto40m,    0.04,    TBlw40m,    -0.33,    GOMGB,    10^6 m^3/s
2014,  03,     T15m,   -0.20,    T15mto40m,    0.02,    TBlw40m,     0.13,    GOMGB,    10^6 m^3/s
2014,  04,     T15m,   -0.12,    T15mto40m,    0.06,    TBlw40m,    -0.57,    GOMGB,    10^6 m^3/s
2014,  05,     T15m,   -0.14,    T15mto40m,   -0.01,    TBlw40m,    -0.21,    GOMGB,    10^6 m^3/s
2014,  06,     T15m,   -0.10,    T15mto40m,   -0.03,    TBlw40m,    -0.43,    GOMGB,    10^6 m^3/s
2015,  03,     T15m,   -0.55,    T15mto40m,   -0.07,    TBlw40m,     0.24,    GOMGB,    10^6 m^3/s
2015,  04,     T15m,   -0.19,    T15mto40m,    0.09,    TBlw40m,     0.09,    GOMGB,    10^6 m^3/s
2015,  05,     T15m,   -0.16,    T15mto40m,    0.09,    TBlw40m,    -0.02,    GOMGB,    10^6 m^3/s
2015,  06,     T15m,   -0.20,    T15mto40m,   -0.07,    TBlw40m,    -0.79,    GOMGB,    10^6 m^3/s
2016,  03,     T15m,   -0.17,    T15mto40m,    0.09,    TBlw40m,     0.16,    GOMGB,    10^6 m^3/s
2016,  04,     T15m,   -0.08,    T15mto40m,    0.09,    TBlw40m,     0.26,    GOMGB,    10^6 m^3/s
2016,  05,     T15m,   -0.18,    T15mto40m,   -0.01,    TBlw40m,    -0.10,    GOMGB,    10^6 m^3/s
2016,  06,     T15m,   -0.17,    T15mto40m,    0.14,    TBlw40m,     0.37,    GOMGB,    10^6 m^3/s
2017,  03,     T15m,   -0.51,    T15mto40m,   -0.19,    TBlw40m,     0.57,    GOMGB,    10^6 m^3/s
2017,  04,     T15m,   -0.12,    T15mto40m,    0.00,    TBlw40m,     0.10,    GOMGB,    10^6 m^3/s
2017,  05,     T15m,   -0.14,    T15mto40m,   -0.04,    TBlw40m,    -0.40,    GOMGB,    10^6 m^3/s
2017,  06,     T15m,   -0.36,    T15mto40m,    0.07,    TBlw40m,     0.32,    GOMGB,    10^6 m^3/s
2018,  03,     T15m,   -0.16,    T15mto40m,    0.23,    TBlw40m,     0.30,    GOMGB,    10^6 m^3/s
2018,  04,     T15m,   -0.27,    T15mto40m,   -0.16,    TBlw40m,    -0.07,    GOMGB,    10^6 m^3/s
2018,  05,     T15m,   -0.21,    T15mto40m,   -0.03,    TBlw40m,    -0.06,    GOMGB,    10^6 m^3/s
2018,  06,     T15m,   -0.08,    T15mto40m,    0.11,    TBlw40m,     0.22,    GOMGB,    10^6 m^3/s
2019,  03,     T15m,   -0.37,    T15mto40m,   -0.18,    TBlw40m,    -0.09,    GOMGB,    10^6 m^3/s
2019,  04,     T15m,   -0.32,    T15mto40m,   -0.06,    TBlw40m,     0.33,    GOMGB,    10^6 m^3/s
2019,  05,     T15m,   -0.10,    T15mto40m,    0.01,    TBlw40m,    -0.14,    GOMGB,    10^6 m^3/s
2019,  06,     T15m,   -0.25,    T15mto40m,    0.08,    TBlw40m,     0.11,    GOMGB,    10^6 m^3/s
2020,  03,     T15m,   -0.10,    T15mto40m,    0.05,    TBlw40m,     0.07,    GOMGB,    10^6 m^3/s
2020,  04,     T15m,   -0.24,    T15mto40m,   -0.10,    TBlw40m,    -0.00,    GOMGB,    10^6 m^3/s
2020,  05,     T15m,   -0.16,    T15mto40m,    0.01,    TBlw40m,     0.36,    GOMGB,    10^6 m^3/s
2020,  06,     T15m,   -0.23,    T15mto40m,   -0.03,    TBlw40m,    -0.20,    GOMGB,    10^6 m^3/s
2021,  03,     T15m,   -0.50,    T15mto40m,   -0.23,    TBlw40m,     0.55,    GOMGB,    10^6 m^3/s
2021,  04,     T15m,   -0.36,    T15mto40m,   -0.03,    TBlw40m,     0.32,    GOMGB,    10^6 m^3/s
2021,  05,     T15m,   -0.19,    T15mto40m,    0.08,    TBlw40m,     0.34,    GOMGB,    10^6 m^3/s
2021,  06,     T15m,   -0.30,    T15mto40m,    0.06,    TBlw40m,     0.24,    GOMGB,    10^6 m^3/s
2022,  03,     T15m,   -0.54,    T15mto40m,   -0.22,    TBlw40m,     0.34,    GOMGB,    10^6 m^3/s
2022,  04,     T15m,   -0.33,    T15mto40m,   -0.07,    TBlw40m,     0.42,    GOMGB,    10^6 m^3/s
2022,  05,     T15m,    0.09,    T15mto40m,    0.19,    TBlw40m,     0.01,    GOMGB,    10^6 m^3/s
2022,  06,     T15m,   -0.18,    T15mto40m,    0.07,    TBlw40m,     0.08,    GOMGB,    10^6 m^3/s
2023,  03,     T15m,   -0.27,    T15mto40m,   -0.02,    TBlw40m,    -0.08,    GOMGB,    10^6 m^3/s
2023,  04,     T15m,   -0.22,    T15mto40m,   -0.12,    TBlw40m,     0.11,    GOMGB,    10^6 m^3/s
2023,  05,     T15m,   -0.12,    T15mto40m,    0.01,    TBlw40m,     0.26,    GOMGB,    10^6 m^3/s
2023,  06,     T15m,   -0.21,    T15mto40m,    0.09,    TBlw40m,     0.34,    GOMGB,    10^6 m^3/s
2024,  03,     T15m,   -0.41,    T15mto40m,   -0.24,    TBlw40m,     0.46,    GOMGB,    10^6 m^3/s
2024,  04,     T15m,   -0.23,    T15mto40m,   -0.28,    TBlw40m,    -0.15,    GOMGB,    10^6 m^3/s
2024,  05,     T15m,    0.00,    T15mto40m,    0.01,    TBlw40m,     0.30,    GOMGB,    10^6 m^3/s
2024,  06,     T15m,   -0.37,    T15mto40m,    0.05,    TBlw40m,     0.13,    GOMGB,    10^6 m^3/s
1994,  03,     T15m,   -0.19,    T15mto40m,   -0.04,    TBlw40m,     0.07,      MAB,    10^6 m^3/s
1994,  04,     T15m,   -0.13,    T15mto40m,    0.04,    TBlw40m,     0.15,      MAB,    10^6 m^3/s
1994,  05,     T15m,   -0.04,    T15mto40m,    0.02,    TBlw40m,    -0.06,      MAB,    10^6 m^3/s
1994,  06,     T15m,   -0.15,    T15mto40m,    0.03,    TBlw40m,     0.64,      MAB,    10^6 m^3/s
1995,  03,     T15m,    0.03,    T15mto40m,    0.06,    TBlw40m,     0.04,      MAB,    10^6 m^3/s
1995,  04,     T15m,   -0.08,    T15mto40m,   -0.04,    TBlw40m,    -0.07,      MAB,    10^6 m^3/s
1995,  05,     T15m,   -0.11,    T15mto40m,   -0.03,    TBlw40m,     0.04,      MAB,    10^6 m^3/s
1995,  06,     T15m,    0.01,    T15mto40m,   -0.02,    TBlw40m,    -0.07,      MAB,    10^6 m^3/s
1996,  03,     T15m,   -0.10,    T15mto40m,    0.01,    TBlw40m,     0.11,      MAB,    10^6 m^3/s
1996,  04,     T15m,   -0.23,    T15mto40m,   -0.00,    TBlw40m,     0.33,      MAB,    10^6 m^3/s
1996,  05,     T15m,    0.01,    T15mto40m,    0.04,    TBlw40m,     0.33,      MAB,    10^6 m^3/s
1996,  06,     T15m,   -0.10,    T15mto40m,   -0.07,    TBlw40m,     1.00,      MAB,    10^6 m^3/s
1997,  03,     T15m,   -0.21,    T15mto40m,   -0.05,    TBlw40m,     0.43,      MAB,    10^6 m^3/s
1997,  04,     T15m,   -0.07,    T15mto40m,    0.06,    TBlw40m,    -0.09,      MAB,    10^6 m^3/s
1997,  05,     T15m,   -0.17,    T15mto40m,   -0.03,    TBlw40m,     0.32,      MAB,    10^6 m^3/s
1997,  06,     T15m,   -0.01,    T15mto40m,   -0.02,    TBlw40m,     0.09,      MAB,    10^6 m^3/s
1998,  03,     T15m,   -0.18,    T15mto40m,   -0.07,    TBlw40m,    -0.13,      MAB,    10^6 m^3/s
1998,  04,     T15m,   -0.14,    T15mto40m,   -0.04,    TBlw40m,    -0.15,      MAB,    10^6 m^3/s
1998,  05,     T15m,   -0.09,    T15mto40m,   -0.13,    TBlw40m,    -0.10,      MAB,    10^6 m^3/s
1998,  06,     T15m,   -0.14,    T15mto40m,   -0.06,    TBlw40m,    -0.16,      MAB,    10^6 m^3/s
1999,  03,     T15m,   -0.12,    T15mto40m,    0.01,    TBlw40m,     0.03,      MAB,    10^6 m^3/s
1999,  04,     T15m,   -0.11,    T15mto40m,   -0.01,    TBlw40m,     0.05,      MAB,    10^6 m^3/s
1999,  05,     T15m,    0.04,    T15mto40m,   -0.00,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
1999,  06,     T15m,   -0.07,    T15mto40m,   -0.05,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
2000,  03,     T15m,   -0.01,    T15mto40m,    0.04,    TBlw40m,    -0.35,      MAB,    10^6 m^3/s
2000,  04,     T15m,   -0.08,    T15mto40m,   -0.02,    TBlw40m,     0.01,      MAB,    10^6 m^3/s
2000,  05,     T15m,   -0.11,    T15mto40m,   -0.04,    TBlw40m,    -0.14,      MAB,    10^6 m^3/s
2000,  06,     T15m,   -0.16,    T15mto40m,   -0.04,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
2001,  03,     T15m,   -0.10,    T15mto40m,    0.00,    TBlw40m,     0.08,      MAB,    10^6 m^3/s
2001,  04,     T15m,   -0.05,    T15mto40m,    0.00,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2001,  05,     T15m,   -0.06,    T15mto40m,   -0.07,    TBlw40m,    -0.05,      MAB,    10^6 m^3/s
2001,  06,     T15m,   -0.11,    T15mto40m,   -0.02,    TBlw40m,    -0.09,      MAB,    10^6 m^3/s
2002,  03,     T15m,   -0.07,    T15mto40m,   -0.02,    TBlw40m,     0.14,      MAB,    10^6 m^3/s
2002,  04,     T15m,   -0.06,    T15mto40m,   -0.00,    TBlw40m,    -0.17,      MAB,    10^6 m^3/s
2002,  05,     T15m,   -0.11,    T15mto40m,   -0.03,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2002,  06,     T15m,   -0.11,    T15mto40m,    0.02,    TBlw40m,     0.45,      MAB,    10^6 m^3/s
2003,  03,     T15m,    0.00,    T15mto40m,    0.01,    TBlw40m,    -0.13,      MAB,    10^6 m^3/s
2003,  04,     T15m,    0.04,    T15mto40m,    0.05,    TBlw40m,    -0.31,      MAB,    10^6 m^3/s
2003,  05,     T15m,    0.03,    T15mto40m,    0.01,    TBlw40m,     0.10,      MAB,    10^6 m^3/s
2003,  06,     T15m,   -0.10,    T15mto40m,   -0.00,    TBlw40m,     0.04,      MAB,    10^6 m^3/s
2004,  03,     T15m,   -0.06,    T15mto40m,    0.05,    TBlw40m,    -0.22,      MAB,    10^6 m^3/s
2004,  04,     T15m,   -0.15,    T15mto40m,   -0.07,    TBlw40m,    -0.21,      MAB,    10^6 m^3/s
2004,  05,     T15m,   -0.19,    T15mto40m,   -0.07,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
2004,  06,     T15m,   -0.08,    T15mto40m,    0.04,    TBlw40m,    -0.05,      MAB,    10^6 m^3/s
2005,  03,     T15m,   -0.16,    T15mto40m,   -0.09,    TBlw40m,    -0.23,      MAB,    10^6 m^3/s
2005,  04,     T15m,   -0.03,    T15mto40m,    0.06,    TBlw40m,    -0.06,      MAB,    10^6 m^3/s
2005,  05,     T15m,   -0.00,    T15mto40m,    0.00,    TBlw40m,    -0.44,      MAB,    10^6 m^3/s
2005,  06,     T15m,   -0.10,    T15mto40m,   -0.04,    TBlw40m,    -0.19,      MAB,    10^6 m^3/s
2006,  03,     T15m,   -0.10,    T15mto40m,    0.03,    TBlw40m,    -0.01,      MAB,    10^6 m^3/s
2006,  04,     T15m,   -0.06,    T15mto40m,    0.01,    TBlw40m,    -0.22,      MAB,    10^6 m^3/s
2006,  05,     T15m,   -0.09,    T15mto40m,   -0.01,    TBlw40m,     0.06,      MAB,    10^6 m^3/s
2006,  06,     T15m,   -0.20,    T15mto40m,   -0.08,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
2007,  03,     T15m,   -0.04,    T15mto40m,    0.02,    TBlw40m,     0.25,      MAB,    10^6 m^3/s
2007,  04,     T15m,   -0.12,    T15mto40m,   -0.02,    TBlw40m,     0.18,      MAB,    10^6 m^3/s
2007,  05,     T15m,   -0.04,    T15mto40m,   -0.02,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2007,  06,     T15m,   -0.09,    T15mto40m,    0.01,    TBlw40m,    -0.11,      MAB,    10^6 m^3/s
2008,  03,     T15m,   -0.11,    T15mto40m,   -0.03,    TBlw40m,     0.18,      MAB,    10^6 m^3/s
2008,  04,     T15m,    0.10,    T15mto40m,    0.07,    TBlw40m,     3.10,      MAB,    10^6 m^3/s
2008,  05,     T15m,   -0.21,    T15mto40m,   -0.08,    TBlw40m,    -0.23,      MAB,    10^6 m^3/s
2008,  06,     T15m,   -0.16,    T15mto40m,   -0.01,    TBlw40m,    -0.11,      MAB,    10^6 m^3/s
2009,  03,     T15m,    0.04,    T15mto40m,    0.07,    TBlw40m,    -0.22,      MAB,    10^6 m^3/s
2009,  04,     T15m,   -0.09,    T15mto40m,    0.03,    TBlw40m,    -0.05,      MAB,    10^6 m^3/s
2009,  05,     T15m,   -0.11,    T15mto40m,   -0.02,    TBlw40m,     0.00,      MAB,    10^6 m^3/s
2009,  06,     T15m,   -0.04,    T15mto40m,    0.00,    TBlw40m,    -0.06,      MAB,    10^6 m^3/s
2010,  03,     T15m,    0.01,    T15mto40m,    0.11,    TBlw40m,    -0.26,      MAB,    10^6 m^3/s
2010,  04,     T15m,   -0.12,    T15mto40m,   -0.00,    TBlw40m,    -0.04,      MAB,    10^6 m^3/s
2010,  05,     T15m,   -0.12,    T15mto40m,   -0.03,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2010,  06,     T15m,   -0.17,    T15mto40m,    0.02,    TBlw40m,     0.13,      MAB,    10^6 m^3/s
2011,  03,     T15m,    0.05,    T15mto40m,    0.05,    TBlw40m,     0.07,      MAB,    10^6 m^3/s
2011,  04,     T15m,   -0.21,    T15mto40m,   -0.08,    TBlw40m,     0.25,      MAB,    10^6 m^3/s
2011,  05,     T15m,   -0.04,    T15mto40m,    0.04,    TBlw40m,    -0.57,      MAB,    10^6 m^3/s
2011,  06,     T15m,   -0.10,    T15mto40m,   -0.01,    TBlw40m,    -0.12,      MAB,    10^6 m^3/s
2012,  03,     T15m,   -0.08,    T15mto40m,   -0.01,    TBlw40m,    -0.13,      MAB,    10^6 m^3/s
2012,  04,     T15m,   -0.04,    T15mto40m,    0.07,    TBlw40m,    -0.00,      MAB,    10^6 m^3/s
2012,  05,     T15m,   -0.03,    T15mto40m,   -0.03,    TBlw40m,    -0.30,      MAB,    10^6 m^3/s
2012,  06,     T15m,    0.00,    T15mto40m,    0.01,    TBlw40m,    -0.32,      MAB,    10^6 m^3/s
2013,  03,     T15m,   -0.06,    T15mto40m,    0.09,    TBlw40m,     0.13,      MAB,    10^6 m^3/s
2013,  04,     T15m,   -0.08,    T15mto40m,   -0.03,    TBlw40m,     0.22,      MAB,    10^6 m^3/s
2013,  05,     T15m,   -0.05,    T15mto40m,    0.02,    TBlw40m,     0.22,      MAB,    10^6 m^3/s
2013,  06,     T15m,   -0.18,    T15mto40m,   -0.02,    TBlw40m,    -0.03,      MAB,    10^6 m^3/s
2014,  03,     T15m,    0.07,    T15mto40m,    0.14,    TBlw40m,    -0.33,      MAB,    10^6 m^3/s
2014,  04,     T15m,    0.01,    T15mto40m,    0.01,    TBlw40m,    -0.91,      MAB,    10^6 m^3/s
2014,  05,     T15m,   -0.07,    T15mto40m,   -0.02,    TBlw40m,    -0.31,      MAB,    10^6 m^3/s
2014,  06,     T15m,   -0.09,    T15mto40m,   -0.07,    TBlw40m,    -0.81,      MAB,    10^6 m^3/s
2015,  03,     T15m,   -0.07,    T15mto40m,    0.02,    TBlw40m,     0.10,      MAB,    10^6 m^3/s
2015,  04,     T15m,   -0.04,    T15mto40m,    0.04,    TBlw40m,     0.25,      MAB,    10^6 m^3/s
2015,  05,     T15m,   -0.09,    T15mto40m,   -0.01,    TBlw40m,    -11.88,      MAB,    10^6 m^3/s
2015,  06,     T15m,   -0.09,    T15mto40m,   -0.00,    TBlw40m,    -0.88,      MAB,    10^6 m^3/s
2016,  03,     T15m,   -0.03,    T15mto40m,    0.07,    TBlw40m,    -0.16,      MAB,    10^6 m^3/s
2016,  04,     T15m,   -0.05,    T15mto40m,   -0.01,    TBlw40m,    -0.08,      MAB,    10^6 m^3/s
2016,  05,     T15m,   -0.07,    T15mto40m,   -0.05,    TBlw40m,    -0.06,      MAB,    10^6 m^3/s
2016,  06,     T15m,   -0.15,    T15mto40m,   -0.06,    TBlw40m,    -0.22,      MAB,    10^6 m^3/s
2017,  03,     T15m,   -0.08,    T15mto40m,    0.08,    TBlw40m,     0.19,      MAB,    10^6 m^3/s
2017,  04,     T15m,   -0.11,    T15mto40m,    0.04,    TBlw40m,     0.18,      MAB,    10^6 m^3/s
2017,  05,     T15m,   -0.15,    T15mto40m,   -0.03,    TBlw40m,    -0.08,      MAB,    10^6 m^3/s
2017,  06,     T15m,   -0.19,    T15mto40m,    0.00,    TBlw40m,    -0.00,      MAB,    10^6 m^3/s
2018,  03,     T15m,   -0.10,    T15mto40m,    0.03,    TBlw40m,    -0.40,      MAB,    10^6 m^3/s
2018,  04,     T15m,   -0.22,    T15mto40m,   -0.10,    TBlw40m,    -0.08,      MAB,    10^6 m^3/s
2018,  05,     T15m,   -0.23,    T15mto40m,   -0.07,    TBlw40m,    -0.09,      MAB,    10^6 m^3/s
2018,  06,     T15m,   -0.05,    T15mto40m,   -0.03,    TBlw40m,    -0.19,      MAB,    10^6 m^3/s
2019,  03,     T15m,   -0.17,    T15mto40m,   -0.12,    TBlw40m,     0.05,      MAB,    10^6 m^3/s
2019,  04,     T15m,   -0.19,    T15mto40m,   -0.07,    TBlw40m,     0.09,      MAB,    10^6 m^3/s
2019,  05,     T15m,   -0.13,    T15mto40m,   -0.07,    TBlw40m,    -0.14,      MAB,    10^6 m^3/s
