"Month.Year","GB.uwnd","GB.vwnd","GB.hcly","GB.tke","GOM.uwnd","GOM.vwnd","GOM.hcly","GOM.tke","MAB.uwnd","MAB.vwnd","MAB.hcly","MAB.tke"
"1-Feb-93",1.58,-2.902,184.9,0.919,1.293,-2.978,168.8,0.84,1.81,-3.414,172.5,0.824
"1-Mar-93",1.238,-1.328,134,0.79,0.31,-1.941,139.8,0.747,0.725,-1.271,136.3,0.634
"1-Apr-93",1.006,-0.525,102.4,0.561,-1.47,-0.3,123.6,0.446,0.122,-0.328,106.2,0.495
"1-May-93",1.348,0.138,106.7,0.266,0.949,0.471,105.5,0.234,1.153,0.814,94.3,0.237
"1-Jun-93",2.815,1.864,93.2,0.287,2.343,1.917,99.6,0.279,1.467,1.431,86.3,0.241
"1-Jul-93",1.932,1.148,72.2,0.224,1.56,1.421,71.2,0.215,1.32,1.056,81,0.225
"1-Aug-93",0.218,0.247,57.8,0.212,0.562,1.438,55,0.205,-0.147,1.152,60.1,0.225
"1-Sep-93",1.619,1.288,101.6,0.325,1.456,1.22,116.2,0.33,0.957,0.707,87.6,0.313
"1-Oct-93",1.128,-0.021,142.7,0.506,1.479,0.173,149,0.49,0.217,-0.69,129,0.44
"1-Nov-93",2.372,0.613,135.1,0.662,2.57,0.928,130.8,0.616,1.291,-0.218,139.4,0.593
"1-Dec-93",1.581,-2.133,144.7,0.957,1.46,-2.227,137.5,0.932,1.936,-2.852,141,0.784
"1-Jan-94",3.817,-1.341,217.1,1.066,3.685,-1.719,206.4,1.021,2.581,-2.089,213.6,0.896
"1-Feb-94",3.338,-2.36,217.8,0.877,3.074,-2.054,195.7,0.803,2.356,-2.086,202.3,0.672
"1-Mar-94",2.582,-0.467,164.2,0.68,1.874,-1.019,144.5,0.578,2.406,-0.813,178.2,0.624
"1-Apr-94",2.1,2.239,140.8,0.394,1.981,2.363,142.7,0.357,1.458,1.827,133.5,0.328
"1-May-94",1.557,0.507,95.6,0.39,1.032,0.698,109.3,0.372,1.255,-0.448,93.8,0.37
"1-Jun-94",1.988,3.068,90.9,0.286,1.714,3.382,100.4,0.273,1.196,2.963,82.6,0.278
"1-Jul-94",2.038,3.018,59.1,0.225,1.182,2.891,74.7,0.22,1.991,3.273,53.4,0.257
"1-Aug-94",2.259,1.115,74.6,0.295,1.824,1.448,85.1,0.264,1.321,1.21,65.4,0.301
"1-Sep-94",2.141,-0.479,83.1,0.381,1.337,-0.443,87.4,0.325,1.262,-0.757,75.6,0.372
"1-Oct-94",2.113,-2.094,69,0.43,2.182,-1.404,73.6,0.37,0.232,-2.125,75.5,0.344
"1-Nov-94",4.364,-0.339,129.7,0.927,4.135,-0.234,124.3,0.794,2.329,-0.888,127.3,0.772
"1-Dec-94",1.354,-2.981,118.5,0.859,1.391,-2.904,125.1,0.8,-0.004,-3.499,125.5,0.68
"1-Jan-95",3.231,-0.34,138.8,0.761,2.577,-0.952,141.3,0.674,2.667,-1.247,136.7,0.692
"1-Feb-95",4.619,-0.908,156.3,0.941,4.064,-0.795,145.4,0.859,3.99,-1.646,146.6,0.843
"1-Mar-95",0.393,-2.484,110.9,0.491,-0.225,-1.698,115,0.402,0.161,-2.154,121.9,0.431
"1-Apr-95",2.546,-0.539,119.8,0.47,2.222,-0.308,102.3,0.431,1.308,-0.194,137.2,0.389
"1-May-95",0.158,-1.036,110.5,0.455,0.105,-0.036,86.5,0.358,0.666,0.095,109.2,0.327
"1-Jun-95",0.726,1.198,76.6,0.283,1.084,1.209,76.2,0.221,-0.74,0.461,61.2,0.248
"1-Jul-95",1.884,2.49,67.2,0.231,1.333,2.63,75.6,0.208,1.439,2.42,58.4,0.232
"1-Aug-95",0.181,-1.076,67.9,0.326,0.774,-0.088,65.6,0.246,-1.284,-1.237,52.4,0.361
"1-Sep-95",1.138,-1.62,97.3,0.35,-0.113,-0.187,94.4,0.286,-1.733,-1.135,84.4,0.333
"1-Oct-95",2.07,0.686,100.1,0.508,1.573,1.241,116.8,0.485,1.777,0.538,90.7,0.456
"1-Nov-95",1.336,-0.254,166.1,0.716,1.178,0.089,163.4,0.683,2.931,-0.944,147.5,0.723
"1-Dec-95",4.465,-3.323,141.7,0.966,3.244,-3.597,141.7,0.884,4.223,-3.498,150.4,0.902
"1-Jan-96",0.652,-0.491,190.7,0.867,0.806,-0.859,193.9,0.926,0.858,-1.234,207.3,0.783
"1-Feb-96",3.329,-0.992,177,0.805,2.902,-1.177,163.1,0.724,3.071,-1.674,194.8,0.736
