"","Entity.Name","Jurisdiction","FMP","Science Center","Stock Area","Assessment.Year","Last Data Year","F Year","Estimated.F","Flimit","Fmsy","F/Flimit","F.Fmsy","Ftarget","F/Ftarget","B Year","Estimated.B","B Unit","Blimit","Bmsy","B/Blimit","B.Bmsy"
"13","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2009,2008,2008,0.280000001192093,0.419999986886978,0.419999986886978,0.666999995708466,0.666999995708466,NA,NA,2008,12882,"Metric Tons",6268,12537,2.0550000667572,1.02799999713898
"14","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2010,2009,2009,0.28999999165535,0.419999986886978,0.419999986886978,0.689999997615814,0.689999997615814,NA,NA,2009,12978,"mt",6268,12537,2.07100009918213,1.0349999666214
"15","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2011,2010,2010,0.409999996423721,0.419999986886978,0.419999986886978,0.976000010967255,0.976000010967255,NA,NA,2010,13926,NA,6268,12537,2.22199988365173,1.11099994182587
"16","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2012,2011,2010,0.209999993443489,0.439999997615814,0.439999997615814,0.476999998092651,0.476999998092651,NA,NA,2011,11145,"mt",5440,10880,2.04900002479553,1.02400004863739
"17","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2017,2015,2015,0.270000010728836,0.360000014305115,0.360000014305115,0.75,0.75,NA,NA,2015,22176,"mt",4834,9667,4.58799982070923,2.29399991035461
"18","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2019,2018,2018,0.419999986886978,0.46000000834465,0.46000000834465,0.912999987602234,0.912999987602234,NA,NA,2018,33407,"Metric Tons",7046,14092,4.74100017547607,2.37100005149841
"19","Black sea bass - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2021,2019,2019,0.389999985694885,0.46000000834465,0.46000000834465,0.84799998998642,0.84799998998642,NA,NA,2019,29769,"Metric Tons",7221,14441,4.1230001449585,2.06100010871887
"20","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2004,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2005,2004,2004,0.149000003933907,NA,NA,0.790000021457672,NA,NA,NA,2004,104000,"Metric Tons",NA,NA,NA,0.709999978542328
"22","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2007,2006,2006,0.150000005960464,0.189999997615814,0.189999997615814,0.790000021457672,0.790000021457672,NA,NA,2006,139496,"mt",73526,147051,1.89999997615814,0.949999988079071
"23","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2008,2007,2007,0.150000005960464,0.189999997615814,0.189999997615814,0.788999974727631,0.788999974727631,0.170000001788139,0.882000029087067,2007,153843,"mt",73525,147051,2.09200000762939,1.0460000038147
"24","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2009,2008,2008,0.119999997317791,0.189999997615814,0.189999997615814,0.632000029087067,0.632000029087067,NA,NA,2008,163727,"mt",73526,147051,2.22699999809265,1.11300003528595
"25","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2010,2009,2009,0.100000001490116,0.189999997615814,0.189999997615814,0.526000022888184,0.526000022888184,NA,NA,2009,155991,"mt",73526,147051,2.12199997901917,1.06099998950958
"26","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2011,2010,2010,0.140000000596046,0.189999997615814,0.189999997615814,0.736999988555908,0.736999988555908,NA,NA,2010,140300,"Metric Tons",73526,147051,1.90799999237061,0.953999996185303
"27","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2012,2011,2011,0.114000000059605,0.189999997615814,0.189999997615814,0.600000023841858,0.600000023841858,NA,NA,2011,132890,"Metric Tons",73526,147051,1.807000041008,0.903999984264374
"28","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2013,2012,2012,0.0970000028610229,0.189999997615814,0.189999997615814,0.600000023841858,0.510999977588654,NA,NA,2012,125808,"Metric Tons",73526,147051,1.71099996566772,0.856000006198883
"29","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2014,2013,2013,0.118000000715256,0.189999997615814,0.189999997615814,0.620999991893768,0.620999991893768,NA,NA,2013,123716,"Metric Tons",73526,147051,1.68299996852875,0.841000020503998
"30","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2015,2014,2014,0.157000005245209,0.189999997615814,0.189999997615814,0.825999975204468,0.825999975204468,NA,NA,2014,86534,"Metric Tons",50672,101343,1.70799994468689,0.853999972343445
"31","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2019,2018,2018,0.145999997854233,0.18299999833107,0.18299999833107,0.797999978065491,0.797999978065491,NA,NA,2018,91041,"Metric Tons",99359,198717,0.916000008583069,0.458000004291534
"32","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2021,2019,2019,0.172000005841255,0.180999994277954,0.180999994277954,0.949999988079071,0.949999988079071,NA,NA,2019,95742,"Metric Tons",100865,201729,0.949000000953674,0.474999994039536
"33","Bluefish - Atlantic Coast","MAFMC","Bluefish","NEFSC","Atlantic Coast",2023,2022,2022,0.151999995112419,0.238999992609024,0.238999992609024,0.635999977588654,0.635999977588654,NA,NA,2022,52747,"Metric Tons",44065.5,88131,1.19700002670288,0.598999977111816
"34","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2009,2008,2008,0.0199999995529652,NA,NA,NA,NA,NA,NA,NA,NA,"Metric Tons",NA,NA,NA,NA
"35","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2014,2012,2012,0.0199999995529652,0.810000002384186,0.810000002384186,0.025000000372529,0.025000000372529,NA,NA,2012,79451,"Metric Tons",22808,45616,3.48300004005432,1.74199998378754
"36","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2017,2016,2016,0.0500000007450581,0.810000002384186,0.810000002384186,0.061999998986721,0.061999998986721,NA,NA,2016,64376,"Metric Tons",22808,45616,2.82299995422363,1.41100001335144
"37","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2020,2019,2019,0.209999993443489,0.860000014305115,0.860000014305115,0.244000002741814,0.244000002741814,NA,NA,2019,29308,"Metric Tons",21213.5,42427,1.38199996948242,0.690999984741211
"38","Butterfish - Gulf of Maine / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Gulf of Maine / Cape Hatteras",2022,2021,2021,0.189999997615814,NA,6.67999982833862,NA,0.028999999165535,NA,NA,2021,66566,"Metric Tons",18798.5,37597,3.54099988937378,1.76999998092651
"39","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Georges Bank / Cape Hatteras",2011,2009,NA,NA,NA,NA,NA,NA,NA,NA,2009,54442,"Metric Tons",21203,42405,2.56800007820129,1.28400003910065
"40","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Georges Bank / Cape Hatteras",2017,2016,2009,0.259999990463257,NA,NA,NA,NA,NA,NA,2016,73762,"Metric Tons",21203,42405,3.47900009155273,1.7389999628067
"41","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Georges Bank / Cape Hatteras",2020,2019,2019,0.202000007033348,NA,NA,NA,NA,NA,NA,2019,63349,"Metric Tons",21203,42405,3.47900009155273,1.7389999628067
"42","Longfin inshore squid - Georges Bank / Cape Hatteras","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Georges Bank / Cape Hatteras",2023,2022,2022,0.155000001192093,NA,NA,NA,NA,NA,NA,2022,121836,"Metric Tons",21203,42405,5.74599981307983,2.87299990653992
"43","Northern shortfin squid - Northwestern Atlantic Coast","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northwestern Atlantic Coast",2005,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Northern shortfin squid - Northwestern Atlantic Coast","MAFMC","Mackerel, Squid and Butterfish","NEFSC","Northwestern Atlantic Coast",2022,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Atlantic Coast",2006,2005,2005,0.00499999988824129,0.0520000010728836,NA,0.0900000035762787,NA,0.0280000008642673,0.159999996423721,2005,3039000,"mt (meat weight only)",993000,1987000,3.05999994277954,1.52999997138977
"46","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Atlantic Coast",2009,2008,2008,0.00999999977648258,0.0219999998807907,NA,0.455000013113022,NA,NA,0.100000001490116,2008,2905000,"mt (meat weight only)",1432000,1790000,2.02900004386902,1.62300002574921
"47","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Atlantic Coast",2013,2011,2011,0.00999999977648258,0.0219999998807907,NA,0.455000013113022,NA,NA,0.100000001490116,2008,2961000,"mt (meat weight only)",1390000,1730000,2.13000011444092,1.71200001239777
"48","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Atlantic Coast",2017,2016,2016,0.00499999988824129,0.0189999993890524,0.0189999993890524,0.263000011444092,0.263000011444092,NA,NA,2016,3287300,"Metric Tons",1610868,2013585,2.04099988937378,1.63300001621246
"49","Ocean quahog - Atlantic Coast","MAFMC","Atlantic Surfclam and Ocean Quahog","NEFSC","Atlantic Coast",2020,2019,2019,0.00499999988824129,0.0189999993890524,0.0189999993890524,0.263000011444092,0.263000011444092,NA,NA,2019,2282,"Thousand Metric Tons",1056.5,2113,2.16000008583069,1.08000004291534
"50","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2005,2005,2005,NA,0.259999990463257,0.259999990463257,NA,NA,NA,NA,2005,0.689999997615814,"kg/tow",2.76999998092651,2.76999998092651,0.25,0.25
"51","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2009,2008,2008,0.0480000004172325,0.177000001072884,0.177000001072884,0.270999997854233,0.270999997854233,NA,NA,2008,187888,"mt",46022,92044,4.08300018310547,2.04099988937378
"52","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2009,2007,2007,0.0540000014007092,0.177000001072884,0.177000001072884,0.305000007152557,0.305000007152557,NA,NA,2007,119343,"mt",46022,92044,2.59299993515015,1.29700005054474
"53","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2010,2009,2009,0.0430000014603138,0.177000001072884,0.177000001072884,0.243000000715256,0.243000000715256,NA,NA,2009,154545,"mt",46022,92044,3.35800004005432,1.67900002002716
"54","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2011,2010,2010,0.0399999991059303,0.177000001072884,0.177000001072884,0.225999996066093,0.225999996066093,NA,NA,2009,186262,"mt",46022,92044,4.04699993133545,2.0239999294281
"55","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2012,2011,2010,0.034000001847744,0.177000001072884,0.177000001072884,0.19200000166893,0.19200000166893,NA,NA,2009,190424,"mt",46022,92044,4.13800001144409,2.06900000572205
"56","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2015,2014,2014,0.127000004053116,0.219999998807907,0.219999998807907,0.577000021934509,0.577000021934509,NA,NA,2014,182915,"mt",43651,87302,4.19000005722046,2.09500002861023
"57","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2017,2016,2016,0.138999998569489,0.219999998807907,0.219999998807907,0.632000029087067,0.632000029087067,NA,NA,2016,179898,"mt",43651,87302,4.12099981307983,2.06100010871887
"58","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2019,2018,2018,0.158000007271767,0.215000003576279,0.215000003576279,0.735000014305115,0.735000014305115,NA,NA,2018,186578,"Metric Tons",43651,94020,4.27400016784668,1.98399996757507
"59","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2021,2019,2019,0.136000007390976,0.200000002980232,0.200000002980232,0.680000007152557,0.680000007152557,NA,NA,2019,176404,"Metric Tons",45010,90019,3.91899991035461,1.96000003814697
"60","Scup - Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Atlantic Coast",2023,2022,2022,0.171000003814697,0.189999997615814,0.189999997615814,0.899999976158142,0.899999976158142,NA,NA,2022,159050,"Metric Tons",39296.5,78593,4.04699993133545,2.0239999294281
"61","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2004,2005,2003,0.28999999165535,0.259999990463257,0.259999990463257,1.11500000953674,1.11500000953674,0.259999990463257,1.11500000953674,2004,67500,"mt",53200,106400,1.26900005340576,0.63400000333786
"62","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2005,2004,2004,0.400000005960464,0.275999993085861,0.275999993085861,1.45000004768372,1.45000004768372,NA,NA,2004,54900,"mt",46323,92646,1.18499994277954,0.592999994754791
"63","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2006,2005,2005,0.529999971389771,0.275999993085861,0.275999993085861,1.91999995708466,1.91999995708466,0.275999993085861,1.91999995708466,2006,47800,"mt",46323,92645,1.02999997138977,0.519999980926514
"64","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2007,2006,2006,0.349999994039536,0.280000001192093,0.280000001192093,1.26999998092651,1.26999998092651,0.280000001192093,1.26999998092651,2006,42316,"mt",44706,89411,0.949999988079071,0.469999998807907
"65","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2008,2007,2007,0.287999987602234,0.310000002384186,0.310000002384186,0.929000020027161,0.929000020027161,0.254999995231628,1.12899994850159,2007,43363,"mt",30037,60074,1.44400000572205,0.722000002861023
"66","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2009,2008,2008,0.25,0.310000002384186,0.310000002384186,0.805999994277954,0.805999994277954,0.254999995231628,0.980000019073486,2008,46029,"mt",30037,60074,1.53199994564056,0.765999972820282
"67","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2010,2009,2009,0.237000003457069,0.310000002384186,0.310000002384186,0.764999985694885,0.764999985694885,0.254999995231628,0.929000020027161,2009,53458,"mt",30037,60074,1.77999997138977,0.889999985694885
"68","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2011,2010,2010,0.216000005602837,0.310000002384186,0.310000002384186,0.697000026702881,0.697000026702881,0.254000008106232,0.850000023841858,2010,60238,"mt",30037,60074,2.00500011444092,1.00300002098083
"69","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2012,2011,2010,0.24099999666214,0.310000002384186,0.310000002384186,0.77700001001358,0.77700001001358,0.254000008106232,0.949000000953674,2011,57020,"mt",30037,60074,1.89800000190735,0.949000000953674
"70","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2013,2012,2012,0.284999996423721,0.308999985456467,0.308999985456467,0.921999990940094,0.921999990940094,NA,NA,2012,51238,"mt",31197,62394,1.64199995994568,0.820999979972839
"71","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2015,2014,2014,0.358999997377396,0.308999985456467,0.308999985456467,1.16199994087219,1.16199994087219,NA,NA,2014,40323,"mt",31197,62394,1.29299998283386,0.646000027656555
"72","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2016,2015,2015,0.389999985694885,0.308999985456467,0.308999985456467,1.26199996471405,1.26199996471405,NA,NA,2015,36240,"mt",31197,62394,1.16199994087219,0.580999970436096
"73","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2019,2017,2017,0.333999991416931,0.448000013828278,0.448000013828278,0.745999991893768,0.745999991893768,NA,NA,2017,44552,"mt",28580,57159,1.55900001525879,0.778999984264374
"74","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2021,2019,2019,0.340000003576279,0.421999990940094,0.421999990940094,0.805999994277954,0.805999994277954,NA,NA,2019,47397,"Metric Tons",27609,55217,1.71700000762939,0.857999980449677
"75","Summer flounder - Mid-Atlantic Coast","MAFMC","Summer Flounder, Scup and Black Sea Bass","NEFSC","Mid-Atlantic Coast",2023,2022,2022,0.46399998664856,0.45100000500679,0.45100000500679,1.02900004386902,1.02900004386902,NA,NA,2022,40994,"Metric Tons",24780.5,49561,1.65400004386902,0.827000021934509
"76","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Mid-Atlantic Coast",2005,2005,2004,NA,NA,0.209999993443489,0.870000004768372,NA,0.209999993443489,NA,2005,NA,"mt",NA,9384,NA,0.720000028610229
"77","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Mid-Atlantic Coast",2009,2008,2008,0.0599999986588955,0.159999996423721,0.159999996423721,0.375,0.375,NA,NA,2008,11910,"Metric Tons",NA,11400,NA,1.04499995708466
"78","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Mid-Atlantic Coast",2014,2012,2012,0.275000005960464,0.370000004768372,0.370000004768372,0.742999970912933,0.742999970912933,NA,NA,2012,5229,"mt",2577,5153,2.02900004386902,1.01499998569489
"79","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Mid-Atlantic Coast",2017,2016,2016,0.248999997973442,0.310000002384186,0.310000002384186,0.802999973297119,0.802999973297119,NA,NA,2016,8479,"mt",4746,9492,1.78699994087219,0.89300000667572
"80","Tilefish - Mid-Atlantic Coast","MAFMC","Tilefish","NEFSC","Mid-Atlantic Coast",2021,2020,2019,0.158999994397163,0.261000007390976,0.261000007390976,0.609000027179718,0.609000027179718,NA,NA,2019,10562,"Metric Tons",5498,10995,1.9210000038147,0.961000025272369
"81","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2005,2004,2004,0.0020000000949949,0.0399999991059303,0.0399999991059303,0.0500000007450581,0.0500000007450581,0.0130000002682209,0.153999999165535,2004,175.589996337891,"Thousand Metric Tons",118.349998474121,236.699996948242,1.48399996757507,0.741999983787537
"82","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2008,2007,2007,0.00700000021606684,NA,0.0399999991059303,0.0399999991059303,0.174999997019768,0.0379999987781048,0.186000004410744,2007,172342,"Metric Tons",135500,271000,1.27199995517731,0.635999977588654
"83","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2012,2010,2010,0.00600000005215406,0.0399999991059303,0.0399999991059303,0.150000005960464,0.150000005960464,NA,NA,2010,314780,"Metric Tons",119000,238000,2.64499998092651,1.32299995422363
"84","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2015,2014,2014,0.0149999996647239,0.0379999987781048,0.0379999987781048,0.395000010728836,0.395000010728836,NA,NA,2014,330004,"Metric Tons",140556,281112,2.34800004959106,1.17400002479553
"85","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2017,2016,2016,0.0109999999403954,0.0399999991059303,0.0399999991059303,0.275000005960464,0.275000005960464,NA,NA,2016,359970,"Metric Tons",123959,247918,2.90400004386902,1.45200002193451
"86","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2020,2019,2019,0.017000000923872,0.0379999987781048,0.0379999987781048,0.446999996900558,0.446999996900558,NA,NA,2019,308135,"Metric Tons",100293,200586,3.07200002670288,1.53600001335144
"87","Acadian redfish - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2023,2022,2022,0.0130000002682209,0.0370000004768372,0.0370000004768372,0.351000010967255,0.351000010967255,NA,NA,2022,302776,"Metric Tons",92161,184322,3.28500008583069,1.64300000667572
"88","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2005,2004,2004,0.150000005960464,NA,NA,0.920000016689301,NA,NA,NA,2004,14149,"Metric Tons",NA,NA,NA,0.5
"89","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2008,2007,2007,0.0900000035762787,0.189999997615814,0.189999997615814,0.474000006914139,0.474000006914139,NA,NA,2007,11106,"mt",10970,21940,1.01199996471405,0.505999982357025
"90","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2012,2010,2010,0.129999995231628,0.180000007152557,0.180000007152557,0.722000002861023,0.722000002861023,NA,NA,2010,10805,"mt",9199,18398,1.17499995231628,0.587000012397766
"91","American plaice - Gulf of Maine / Georges Bank","NEFMC","Northeast Multispecies","NEFSC","Gulf of Maine / Georges Bank",2015,2014,2014,0.11599999666214,0.195999994874001,0.195999994874001,0.592000007629395,0.589999973773956,NA,NA,2014,10977,"Metric Tons",6553,13107,1.67499995231628,0.839999973773956
