"","Time","Region","Value","Units","Var","Source"
"71",2011,"NE",8.69280031998677,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"72",2012,"NE",9.35365513045469,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"73",2013,"NE",9.81606832967126,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"74",2014,"NE",10.764139281114,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"75",2015,"NE",9.41173798399929,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"76",2016,"NE",9.98674120972136,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"77",2017,"NE",8.80724746797262,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"78",2018,"NE",8.48202040901291,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"79",2019,"NE",9.12534097663468,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"80",2020,"NE",9.28083637298554,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"81",2021,"NE",8.60235556395718,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
"82",2022,"NE",9.37248508069992,"Effective Shannon","Recreational Diversity of Catch","MRIP catch time series."
