Date,2023 Daily Avg,2010-2022 Avg,2010-2022 Min,2010-2022 Max
3/4/2023 0:00,45.62,41.62,34.93,46.76
3/5/2023 0:00,45.97,41.74,34.43,45.39
3/6/2023 0:00,46.46,42.05,34.81,44.78
3/7/2023 0:00,46.55,42.39,39.09,45.09
3/8/2023 0:00,46.11,42.8,36.48,46.65
3/9/2023 0:00,46.28,42.72,36.21,47.1
3/10/2023 0:00,46.24,43.83,36.27,47.34
3/11/2023 0:00,45.84,44.23,37.02,51.96
3/12/2023 0:00,45.3,44.95,38.41,49.73
3/13/2023 0:00,45.26,44.46,37.45,51.21
3/14/2023 0:00,45.19,44.36,37.09,53.51
3/15/2023 0:00,44.69,44.41,37.58,56.19
3/16/2023 0:00,44.78,45.11,37.47,52.41
3/17/2023 0:00,45.53,45.72,37.72,54.39
3/18/2023 0:00,45.73,45.92,37.18,53.76
3/19/2023 0:00,45.49,46.78,37.11,54.19
3/20/2023 0:00,45.14,47.12,38.21,55.49
3/21/2023 0:00,45.42,46.71,38.28,57.4
3/22/2023 0:00,45.75,46.95,38.71,60.49
3/23/2023 0:00,46.52,47,39.72,63.88
3/24/2023 0:00,47.31,47.36,38.98,63.28
3/25/2023 0:00,47.18,47.63,39.38,60.17
3/26/2023 0:00,47.83,47.86,38.93,55.69
3/27/2023 0:00,48.65,47.96,38.25,53.38
3/28/2023 0:00,48.86,47.58,39.22,53.83
3/29/2023 0:00,49.36,47.87,39.9,54.72
3/30/2023 0:00,49.16,48.3,40.33,54.01
3/31/2023 0:00,49.43,48.25,40.3,53.8
4/1/2023 0:00,50.39,48.38,41.14,54.52
4/2/2023 0:00,50.36,48.03,41.34,54.21
4/3/2023 0:00,50.61,48.1,42.33,55.47
4/4/2023 0:00,51.09,48.92,42.44,57.04
4/5/2023 0:00,51.98,49.06,43.68,56.46
4/6/2023 0:00,53.24,50.32,44.13,59.13
4/7/2023 0:00,53.79,50.9,45.05,57.88
4/8/2023 0:00,53.01,51.52,45.34,57.36
4/9/2023 0:00,53.09,52.25,45.37,57.54
4/10/2023 0:00,53.89,52.48,45.86,58.44
4/11/2023 0:00,54.37,52.66,46.4,59.12
4/12/2023 0:00,55.67,53.1,46.47,59.85
4/13/2023 0:00,57.05,53.75,47.95,57.78
4/14/2023 0:00,58.19,54.45,48.61,57.53
4/15/2023 0:00,58.74,55.13,49.66,60.01
4/16/2023 0:00,60.19,54.55,49.68,58.77
4/17/2023 0:00,60.41,54.38,49.93,62.28
4/18/2023 0:00,59.94,54.72,49.19,64.17
4/19/2023 0:00,59.4,54.49,49.8,63.72
4/20/2023 0:00,60.26,54.85,49.21,64.62
4/21/2023 0:00,61.89,55.33,49.35,61.29
4/22/2023 0:00,62,55.71,50.13,62.29
4/23/2023 0:00,62.12,55.24,50.77,60.46
4/24/2023 0:00,60.9,55.45,51.91,61.97
4/25/2023 0:00,60.31,55.85,52.2,62.02
4/26/2023 0:00,60.43,56.65,51.46,61.81
4/27/2023 0:00,60.97,56.62,52.32,62.65
4/28/2023 0:00,60.83,56.65,52.48,62.33
4/29/2023 0:00,60.59,57.27,53.31,62.41
4/30/2023 0:00,60.94,57.68,53.96,65.48
5/1/2023 0:00,60.13,57.64,54.54,64.04
5/2/2023 0:00,59.58,58.57,54.39,71.08
5/3/2023 0:00,59.02,59.61,56.16,68.45
5/4/2023 0:00,57.96,60.49,56.46,64.81
5/5/2023 0:00,NA,60.87,56.77,67.99
5/6/2023 0:00,NA,60.45,56.93,68.02
5/7/2023 0:00,NA,60.39,56.71,71.49
5/8/2023 0:00,64.64,59.82,56.68,71.58
5/9/2023 0:00,64.04,59.56,56.25,73.6
5/10/2023 0:00,61.72,59.69,55.54,69.17
5/11/2023 0:00,63.01,60.6,56.22,71.04
5/12/2023 0:00,64.67,61.05,55.9,72.41
5/13/2023 0:00,65.59,61.25,55.17,71.35
5/14/2023 0:00,65.73,61.62,54.81,69.66
5/15/2023 0:00,65.04,62.54,51.78,69.87
5/16/2023 0:00,65.44,63.01,51.37,72.05
5/17/2023 0:00,65.7,63.99,51.67,72.81
5/18/2023 0:00,65.32,64.48,53.33,76.51
5/19/2023 0:00,65.34,64.85,52.97,74.52
5/20/2023 0:00,66.46,65.69,56.64,73.18
5/21/2023 0:00,66.48,66.29,56.17,73.53
5/22/2023 0:00,67.11,67.18,54.18,73.37
5/23/2023 0:00,67.57,67.61,56.89,77.74
5/24/2023 0:00,67.27,67.82,56.52,75.36
5/25/2023 0:00,67.2,67.33,56.25,78.42
5/26/2023 0:00,66.95,68.51,62.31,75.06
5/27/2023 0:00,67.24,69.75,60.24,77.45
5/28/2023 0:00,67.1,69.98,62.04,76.24
5/29/2023 0:00,67.11,70.54,62.71,77.68
5/30/2023 0:00,67.04,70.96,64.29,80.17
5/31/2023 0:00,67.09,71.42,63.93,83.7
6/1/2023 0:00,68.09,72.33,64.94,83.77
6/2/2023 0:00,69.33,72.3,65.88,81.95
6/3/2023 0:00,71.2,71.71,66.09,78.04
6/4/2023 0:00,70.45,71.41,66.18,77.77
6/5/2023 0:00,70.65,71.73,67.64,76.32
6/6/2023 0:00,71.26,72.87,67.69,79.16
6/7/2023 0:00,71.02,73.21,67.55,77.99
6/8/2023 0:00,70.44,73.33,66.9,78.36
6/9/2023 0:00,70.37,73.84,66.25,80.75
6/10/2023 0:00,70.49,74.06,70.2,81.99
6/11/2023 0:00,71.23,73.97,70.07,78.33
6/12/2023 0:00,71.44,73.71,71.28,80.67
6/13/2023 0:00,71.67,74.23,70.48,81.03
6/14/2023 0:00,71.35,73.89,71.08,81.34
6/15/2023 0:00,71.83,74.4,71.19,82.99
6/16/2023 0:00,72.05,74.18,71.82,82.2
6/17/2023 0:00,72.14,74.43,70.77,82.45
6/18/2023 0:00,72.28,74.87,70.41,82.36
6/19/2023 0:00,72.6,74.85,72.32,82.15
6/20/2023 0:00,72.99,74.95,72.41,83.35
6/21/2023 0:00,72.21,75.48,72.99,87.04
6/22/2023 0:00,70.92,75.67,72.38,88.18
6/23/2023 0:00,71.05,75.84,72.66,82.99
6/24/2023 0:00,72.36,76.33,72.57,82.83
6/25/2023 0:00,73.84,76.94,73.77,83.53
6/26/2023 0:00,74.55,77.03,74.14,81.81
6/27/2023 0:00,75.04,77.2,74.03,82.81
6/28/2023 0:00,74.72,78.6,74.19,86.9
6/29/2023 0:00,75.96,78.62,74.39,86.18
6/30/2023 0:00,75.74,78.81,74.97,84.42
7/1/2023 0:00,75.28,78.67,75.68,84.61
7/2/2023 0:00,75.43,79.12,76.58,85.21
7/3/2023 0:00,77.17,79.91,76.14,89.13
7/4/2023 0:00,78.1,80.55,75.69,89.26
7/5/2023 0:00,79.71,80.53,75.74,87.82
7/6/2023 0:00,81.1,80.83,76.55,86.41
7/7/2023 0:00,81.4,80.88,77.38,88.39
7/8/2023 0:00,82.56,80.58,77.65,88.52
7/9/2023 0:00,82.04,80.82,77.76,86.14
7/10/2023 0:00,81.19,80.5,77.53,85.8
7/11/2023 0:00,81.19,81.49,78.19,84.63
7/12/2023 0:00,81.45,81.83,78.85,86.54
7/13/2023 0:00,81.53,82.18,78.37,86.45
7/14/2023 0:00,81.5,82.89,79.36,86.99
7/15/2023 0:00,81.5,83.4,80.02,89.44
7/16/2023 0:00,81.23,82.02,78.66,87.98
7/17/2023 0:00,81.59,82.08,78.75,87.55
7/18/2023 0:00,82.36,82.47,79.11,91.08
7/19/2023 0:00,82.09,83.08,79.3,88.21
7/20/2023 0:00,82.79,83.77,78.39,89.98
7/21/2023 0:00,82.59,83.88,78.21,90.03
7/22/2023 0:00,82.57,83.7,78.69,88.9
7/23/2023 0:00,82.7,83.79,79.05,92.55
7/24/2023 0:00,81.54,83.65,79.66,88.92
7/25/2023 0:00,81.69,83.49,78.37,90.43
7/26/2023 0:00,82.23,83.39,77.02,89.28
7/27/2023 0:00,82.58,83.78,78.75,91.6
7/28/2023 0:00,83.59,83.6,78.6,91.04
7/29/2023 0:00,83.63,83.52,78.12,90
7/30/2023 0:00,82.76,83.26,77.22,87.06
7/31/2023 0:00,82.54,82.85,77.23,87.71
8/1/2023 0:00,82.43,82.61,77.68,87.82
8/2/2023 0:00,81.95,82.3,76.98,86.2
8/3/2023 0:00,81.09,82.43,77.09,89.28
8/4/2023 0:00,80.22,81.79,76.91,86.36
8/5/2023 0:00,80.18,81.98,77.38,87.06
8/6/2023 0:00,80.38,81.72,77.24,85.39
8/7/2023 0:00,80.89,81.54,77.04,84.58
8/8/2023 0:00,80.56,81.74,77.55,88.12
8/9/2023 0:00,80.33,81.53,77.52,87.26
8/10/2023 0:00,80.06,81.84,77.36,87.66
8/11/2023 0:00,79.81,81.96,77.18,86.54
8/12/2023 0:00,80.32,82.3,78.06,87.64
8/13/2023 0:00,81.17,82.53,78.06,88.41
8/14/2023 0:00,82.02,82.21,77.49,87.63
8/15/2023 0:00,82.04,81.66,76.59,86.92
8/16/2023 0:00,81.95,81.33,76.23,87.33
8/17/2023 0:00,82.03,81.46,76.89,88.03
8/18/2023 0:00,81.8,81.39,76.39,87.33
8/19/2023 0:00,81.31,81.43,75.69,86.34
8/20/2023 0:00,80.59,81.7,75.04,89.47
8/21/2023 0:00,80.91,81.28,76.51,85.14
8/22/2023 0:00,80.74,81.28,76.91,86.49
8/23/2023 0:00,80.31,81.31,77.59,85.21
8/24/2023 0:00,79.81,81.28,76.51,85.76
8/25/2023 0:00,79.92,81.23,76.62,86.15
8/26/2023 0:00,80.46,80.95,76.35,87.58
8/27/2023 0:00,80.67,81.1,76.77,86.71
8/28/2023 0:00,80.38,81.12,76.1,85.96
8/29/2023 0:00,79.89,81.51,75.54,86.09
8/30/2023 0:00,80.04,81.2,75.67,85.83
8/31/2023 0:00,79.18,81,75.43,86.68
9/1/2023 0:00,78.45,80.71,75.52,86.68
9/2/2023 0:00,77.91,80.14,74.03,83.43
9/3/2023 0:00,78.02,79.91,73.29,84.61
9/4/2023 0:00,79.04,79.9,73.22,87.76
9/5/2023 0:00,79.6,79.58,73.81,92.61
9/6/2023 0:00,81.28,79.18,74.08,88.77
9/7/2023 0:00,81.82,78.94,73.36,85.84
9/8/2023 0:00,81.59,78.5,71.6,85.23
9/9/2023 0:00,81.43,78.24,72.07,82.31
9/10/2023 0:00,81.22,77.87,72.3,82.18
9/11/2023 0:00,81.65,77.39,70.95,81.61
9/12/2023 0:00,81.65,77.03,71.4,81.28
9/13/2023 0:00,80.97,76.98,71.58,82.31
9/14/2023 0:00,80.7,77.02,72.39,81.48
9/15/2023 0:00,78.65,76.64,73.44,79.38
9/16/2023 0:00,77.5,76.57,72.99,79.9
9/17/2023 0:00,76.75,76.12,71.98,79.77
9/18/2023 0:00,76.11,75.84,70.3,81.01
9/19/2023 0:00,75.79,75.58,69.3,79.44
9/20/2023 0:00,75.56,75.17,69.03,79.38
9/21/2023 0:00,75.29,74.86,69.58,79.22
9/22/2023 0:00,74.74,74.77,70.16,78.1
9/23/2023 0:00,74.01,74.43,70.07,78.85
9/24/2023 0:00,72.85,73.71,69.91,77.73
9/25/2023 0:00,71.79,73.49,69.62,78.16
9/26/2023 0:00,71.49,73.33,69.31,76.64
9/27/2023 0:00,71.42,73.24,69.73,76.66
9/28/2023 0:00,70.32,73.04,69.98,76.55
9/29/2023 0:00,69.97,72.77,70.44,76.71
9/30/2023 0:00,70.25,72.39,69.39,75.56
10/1/2023 0:00,70.2,71.96,68.44,75.72
10/2/2023 0:00,70.51,71.61,68.11,78.76
10/3/2023 0:00,71.09,71,65.36,77.76
10/4/2023 0:00,71.79,70.26,63.58,76.6
10/5/2023 0:00,72.02,69.93,63.96,78.17
10/6/2023 0:00,72.73,69.48,62.11,76.96
10/7/2023 0:00,72.06,69.25,63.36,79.62
10/8/2023 0:00,70.16,69.04,63.99,77.52
10/9/2023 0:00,68.91,68.68,63.3,77.23
10/10/2023 0:00,68.35,68.45,62.64,76.19
10/11/2023 0:00,68.15,68.37,62.52,76.33
10/12/2023 0:00,68.63,68.01,62.54,75.99
10/13/2023 0:00,68.27,67.97,63.46,73.87
10/14/2023 0:00,67.74,68.06,63.44,74.53
10/15/2023 0:00,66.85,67.62,63.36,73.21
10/16/2023 0:00,66.08,67.3,63.57,72.9
10/17/2023 0:00,65.66,66.57,62.82,71.95
10/18/2023 0:00,65.34,65.97,62.85,70.39
10/19/2023 0:00,64.77,65.45,62.36,69.26
10/20/2023 0:00,64.94,65.06,60.94,69.13
10/21/2023 0:00,64.73,64.83,61.17,70.86
10/22/2023 0:00,64.04,64.92,60.97,70.32
10/23/2023 0:00,63.85,64.73,61.03,69.45
10/24/2023 0:00,62.8,64.56,61.24,69.8
10/25/2023 0:00,63.45,64.3,60.94,69.03
10/26/2023 0:00,63.86,64,59.72,68.5
10/27/2023 0:00,64.18,63.91,60.42,67.33
10/28/2023 0:00,64.86,63.6,57.51,67.37
10/29/2023 0:00,65.32,63.4,57.99,66.67
10/30/2023 0:00,65.36,62.71,58.55,66.38
10/31/2023 0:00,64.38,62.19,58.3,65.24
11/1/2023 0:00,63.08,61.77,57.36,64.69
11/2/2023 0:00,61.9,61.11,57.04,65.43
11/3/2023 0:00,60.97,60.38,56.61,64.87
11/4/2023 0:00,60.8,59.98,54.82,65.05
11/5/2023 0:00,60.55,59.94,54.07,63.84
11/6/2023 0:00,60.52,59.66,53.64,63.63
11/7/2023 0:00,60.79,59.58,52.39,65.11
11/8/2023 0:00,60.48,59.11,51.66,63.91
11/9/2023 0:00,60.42,58.38,51.49,62.4
11/10/2023 0:00,60.18,58.1,49.71,61.99
11/11/2023 0:00,59.17,57.97,50.9,61.61
11/12/2023 0:00,58.9,58.03,51.76,61.81
11/13/2023 0:00,58.27,57.63,52.27,61.2
11/14/2023 0:00,56.83,56.75,51.57,60.96
11/15/2023 0:00,56.44,56.2,51.33,60.87
11/16/2023 0:00,55.71,56.1,51.01,60.89
11/17/2023 0:00,55.59,55.64,50.58,59.79
11/18/2023 0:00,56.08,55.24,50.4,58.91
11/19/2023 0:00,56.17,54.28,49.12,57.34
11/20/2023 0:00,55.78,53.92,49.66,57.38
11/21/2023 0:00,55.22,53.38,48.16,57.58
11/22/2023 0:00,55.32,53.2,44.71,56.77
11/23/2023 0:00,55,52.95,46.85,56.71
11/24/2023 0:00,54.42,52.41,47.48,56.25
11/25/2023 0:00,54.09,51.91,48.36,55.15
11/26/2023 0:00,53.35,51.87,47.84,56.19
11/27/2023 0:00,52.56,51.66,47.3,55.78
11/28/2023 0:00,51.63,51.38,46.89,55.47
11/29/2023 0:00,50.85,51.19,45.9,55.29
11/30/2023 0:00,49.96,50.81,45.63,55.58
12/1/2023 0:00,49.56,50.66,45.68,55.53
12/2/2023 0:00,49.78,50.18,45.52,54.41
12/3/2023 0:00,49.84,49.98,45.1,53.1
12/4/2023 0:00,49.84,49.59,44.24,52.88
12/5/2023 0:00,49.77,49.36,44.55,52.75
12/6/2023 0:00,49.76,49.04,45.28,52.11
12/7/2023 0:00,48.92,48.83,43.48,51.57
12/8/2023 0:00,48.35,48.38,41.61,51.84
12/9/2023 0:00,48.33,47.69,41.56,51.17
12/10/2023 0:00,48.46,47.36,40.35,52.56
12/11/2023 0:00,48.65,47.13,40.78,52.27
12/12/2023 0:00,47.84,46.96,40.55,51.96
12/13/2023 0:00,47.54,46.92,41.56,52.61
12/14/2023 0:00,47.12,46.62,40.35,52.34
12/15/2023 0:00,46.87,46.25,39.2,52.88
12/16/2023 0:00,46.43,45.92,34.95,52.92
12/17/2023 0:00,46.58,45.82,36.48,52.16
12/18/2023 0:00,47.4,45.67,36.7,52.09
12/19/2023 0:00,46.84,45.21,37.44,51.67
12/20/2023 0:00,46.34,44.73,37.72,50.52
12/21/2023 0:00,45.83,44.13,36.55,50.04
12/22/2023 0:00,45.79,44.24,36.64,50.2
12/23/2023 0:00,45.54,44.18,36.75,50.83
12/24/2023 0:00,45.29,43.76,36.1,51.84
12/25/2023 0:00,45.31,43.55,35.6,52.25
12/26/2023 0:00,45.59,43.44,35.46,51.85
12/27/2023 0:00,45.5,43.82,40.36,52.23
12/28/2023 0:00,45.68,43.94,40.17,52.21
12/29/2023 0:00,45.88,43.88,39.6,52.14
12/30/2023 0:00,45.82,43.92,39.88,51.98
12/31/2023 0:00,45.29,44.09,39.4,51.98
