"","Time","Region","Value","SE","Var","Units","Source"
"1984.NE",1984,"NE",70984367,5882213.31970994,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1985.NE",1985,"NE",97215784,10352900.7087221,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1986.NE",1986,"NE",115740467,13523034.123891,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1987.NE",1987,"NE",81605201,6237407.34808992,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1988.NE",1988,"NE",67671108,4255485.55380273,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1989.NE",1989,"NE",57638455,3588438.53493827,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1990.NE",1990,"NE",48336047,3425936.0184506,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1991.NE",1991,"NE",52526198,3694081.45975857,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1992.NE",1992,"NE",44740310,4231032.37729479,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1993.NE",1993,"NE",38824328,1841513.79199888,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1994.NE",1994,"NE",42340258,2720559.67981766,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1995.NE",1995,"NE",35261882,2405575.78415145,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1996.NE",1996,"NE",30309201,1800426.60255427,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1997.NE",1997,"NE",36898321,2117268.87887434,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1998.NE",1998,"NE",33728414,1981325.04789284,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"1999.NE",1999,"NE",38266452,4490462.0914694,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2000.NE",2000,"NE",48679057,3954691.91549842,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2001.NE",2001,"NE",46402958,2163302.51611239,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2002.NE",2002,"NE",48419023,2647582.99744949,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2003.NE",2003,"NE",53269244,2366977.47324652,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2004.NE",2004,"NE",50152872,3478257.18217433,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2005.NE",2005,"NE",44727123,2771692.38720179,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2006.NE",2006,"NE",46943311,3883818.94984222,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2007.NE",2007,"NE",47321639,3894786.62294955,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2008.NE",2008,"NE",53458220,5442125.6483584,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2009.NE",2009,"NE",44558977,3314309.28339368,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2010.NE",2010,"NE",70581416,6937718.48011619,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2011.NE",2011,"NE",60753580,4178972.01010711,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2012.NE",2012,"NE",60000544,5142657.42742214,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2013.NE",2013,"NE",67692308,5112325.66827326,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2014.NE",2014,"NE",52284928,3224380.08951889,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2015.NE",2015,"NE",46933037,4026782.13157592,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2016.NE",2016,"NE",41380002,3846364.5585575,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2017.NE",2017,"NE",45633611,3158563.73691851,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2018.NE",2018,"NE",33554898,2148650.2382993,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2019.NE",2019,"NE",37904042,3202728.68245026,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2020.NE",2020,"NE",27723504,1561570.01522253,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2021.NE",2021,"NE",37452270,3196459.67851152,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2022.NE",2022,"NE",39938916,2459332.59701646,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2023.NE",2023,"NE",36993808,2350926.89926185,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
"2024.NE",2024,"NE",27573265,1769682.37021416,"Recreational Seafood","lbs of fish","MRIP National harvest and release totals"
