"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","WEA_MAX","Demographics","Gent","region","lease_status"
"POINT JUDITH, RI",0.0507,0.0331,0.0861,5470743.31666666,NA,1,"NewEngland","All leases"
"POINT PLEASANT, NJ",0.0589,0.0432,0.0832,2925322.82564102,NA,NA,"MidAtlantic","All leases"
"GLOUCESTER, MA",0.0298,0.0228,0.0508,2241154.22978723,NA,NA,"NewEngland","All leases"
"HAMPTON, VA",0.0502,0.0141,0.106,1831963.90857143,NA,NA,"MidAtlantic","All leases"
"BOSTON, MA",0.0753,0.058,0.1047,1624070.232,1,1,"NewEngland","All leases"
"LITTLE COMPTON, RI",0.2441,0.1647,0.3269,1225677.76081081,NA,1,"NewEngland","All leases"
"OCEAN CITY, MD",0.0465,0.0282,0.0859,1169228.46478873,NA,NA,"MidAtlantic","All leases"
"POINT LOOKOUT, NY",0.0981,0.0208,0.3831,1096581.29142857,NA,1,"MidAtlantic","All leases"
"WILDWOOD, NJ",0.0854,0.0281,0.1776,1068453.90405405,NA,1,"MidAtlantic","All leases"
"STONINGTON, CT",0.036,0.013,0.0912,948892.174647887,NA,NA,"NewEngland","All leases"
"NEW LONDON, CT",0.0348,0.0045,0.1264,941183.294366197,1,NA,"NewEngland","All leases"
"FAIRHAVEN, MA",0.0152,0.0027,0.0536,911214.676056338,NA,NA,"NewEngland","All leases"
"NEWPORT, RI",0.0503,0.0288,0.0673,807014.878378378,NA,1,"NewEngland","All leases"
"DAVISVILLE/NORTH KINGSTOWN, RI",0.0274,0.0085,0.0423,708275.562162162,NA,NA,"NewEngland","All leases"
"MONTAUK, NY",0.0251,0.0185,0.0357,692769,NA,1,"MidAtlantic","All leases"
"OTHER CAPE MAY, NJ",0.0317,0.0105,0.0936,689800.571232877,NA,NA,"MidAtlantic","All leases"
"CHATHAM, MA",0.0137,0.0021,0.0337,483954.702702703,NA,1,"NewEngland","All leases"
"BARNSTABLE, MA",0.0084,0,0.0837,453914.998979592,NA,NA,"NewEngland","All leases"
"PORTLAND, ME",0.0115,0.0023,0.0198,407416.634615385,NA,1,"NewEngland","All leases"
"BEAUFORT, NC",0.0343,0.0075,0.066,314650.028409091,NA,NA,"MidAtlantic","All leases"
"WESTPORT, MA",0.1441,0.0906,0.271,301687.612820513,NA,NA,"NewEngland","All leases"
"VIRGINIA BEACH/LYNNHAVEN, VA",0.1674,0.0016,0.4616,286583.695945946,NA,NA,"MidAtlantic","All leases"
"PROVINCETOWN, MA",0.0082,3e-04,0.036,245255.421,1,NA,"NewEngland","All leases"
"SHINNECOCK/HAMPTON BAYS, NY",0.0122,0.0033,0.0347,231418.557142857,1,1,"MidAtlantic","All leases"
"FALL RIVER, MA",0.0484,0.005,0.0859,192328.963380282,1,NA,"NewEngland","All leases"
"ENGELHARD, NC",0.0217,0.0095,0.0454,149462.098591549,1,NA,"MidAtlantic","All leases"
"BELFORD, NJ",0.0161,0.0085,0.0437,138287.918571429,NA,1,"MidAtlantic","All leases"
"PORTSMOUTH, NH",0.0033,1e-04,0.0272,137592.248192771,NA,1,"NewEngland","All leases"
"WANCHESE, NC",0.02,0.0071,0.0464,134948.119480519,NA,NA,"MidAtlantic","All leases"
"TIVERTON, RI",0.0805,0.0016,0.3174,134457.113513513,NA,NA,"NewEngland","All leases"
"CHINCOTEAGUE, VA",0.0249,0.0075,0.0938,132576.582894737,NA,1,"MidAtlantic","All leases"
"OTHER NASSAU, NY",0.0283,0.0021,0.1098,127895.46,NA,NA,"MidAtlantic","All leases"
"SEA ISLE CITY, NJ",0.0614,0.0162,0.1129,118011.527142857,NA,1,"MidAtlantic","All leases"
"INDIAN RIVER, DE",0.1806,0.0919,0.2343,117710.451282051,NA,1,"MidAtlantic","All leases"
"HARWICHPORT, MA",0.0104,3e-04,0.0661,80050.9714285714,NA,1,"NewEngland","All leases"
"ROCKLAND, ME",0.0052,8e-04,0.0181,76326.3242857143,NA,NA,"NewEngland","All leases"
"CHILMARK, MA",0.107,0.0569,0.1531,70150.4219512195,NA,1,"NewEngland","All leases"
"SANDWICH, MA",0.0049,0,0.0341,62391.8042857143,NA,1,"NewEngland","All leases"
"BRIELLE, NJ",0.0269,0.0101,0.0487,58174.3243243243,NA,1,"MidAtlantic","All leases"
"WOODS HOLE, MA",0.0442,0.0069,0.1829,55736.1225352113,NA,1,"NewEngland","All leases"
"SOUTH KINGSTOWN, RI",0.4103,0.0602,0.7124,44016.7835616438,NA,NA,"NewEngland","All leases"
"ORIENTAL, NC",0.0184,0.0065,0.0616,40520.7855421687,NA,1,"MidAtlantic","All leases"
"PORT CLYDE, ME",0.0116,0.0017,0.0386,34686.354054054,NA,1,"NewEngland","All leases"
"SCITUATE, MA",0.0039,1e-04,0.0116,25753.6267605634,NA,1,"NewEngland","All leases"
"EAST HAVEN, CT",0.0128,0.0033,0.0224,25220.8488636364,NA,NA,"NewEngland","All leases"
