"season","year","subarea","source","bt_temp","ref_bt","anomaly"
4,2013,"MAB","GLORYS",14.012042344927,13.5363827965298,0.475659548397216
4,2014,"MAB","GLORYS",14.7438349047216,13.5363827965298,1.20745210819185
4,2015,"MAB","GLORYS",15.5990950421155,13.5363827965298,2.06271224558578
4,2016,"MAB","GLORYS",14.2421203457063,13.5363827965298,0.705737549176524
4,2017,"MAB","GLORYS",14.6522588321354,13.5363827965298,1.11587603560562
4,2018,"MAB","GLORYS",13.3652201168375,13.5363827965298,-0.171162679692303
4,2019,"MAB","GLORYS",15.0526946769406,13.5363827965298,1.51631188041086
4,2020,"MAB","GLORYS",13.9680089426887,13.5363827965298,0.4316261461589
4,2021,"MAB","GLORYS",14.6032428384763,13.5363827965298,1.06686004194657
4,2022,"MAB","GLORYS",14.2587059566027,13.5363827965298,0.722323160072957
4,2021,"MAB","PSY",14.8117874753168,13.5363827965298,1.27540467878708
4,2022,"MAB","PSY",14.2850427279054,13.5363827965298,0.748659931375597
4,2023,"MAB","PSY",13.208980572869,13.5363827965298,-0.327402223660739
4,1959,"MAB","ROMS",12.9340343528043,13.5363827965298,-0.602348443725488
4,1960,"MAB","ROMS",13.1983070338136,13.5363827965298,-0.338075762716137
4,1961,"MAB","ROMS",13.2679907719992,13.5363827965298,-0.268392024530547
4,1962,"MAB","ROMS",13.1777596903592,13.5363827965298,-0.358623106170521
4,1963,"MAB","ROMS",13.4726320067539,13.5363827965298,-0.0637507897758365
4,1964,"MAB","ROMS",13.170052718964,13.5363827965298,-0.366330077565744
4,1965,"MAB","ROMS",11.5820544881183,13.5363827965298,-1.95432830841142
4,1966,"MAB","ROMS",11.713845253004,13.5363827965298,-1.82253754352578
4,1967,"MAB","ROMS",11.4922035370909,13.5363827965298,-2.04417925943885
4,1968,"MAB","ROMS",11.49651918592,13.5363827965298,-2.03986361060978
4,1969,"MAB","ROMS",12.8226246753368,13.5363827965298,-0.713758121192955
4,1970,"MAB","ROMS",12.3035583621145,13.5363827965298,-1.23282443441528
4,1971,"MAB","ROMS",12.9032207432656,13.5363827965298,-0.633162053264206
4,1972,"MAB","ROMS",12.9667074228774,13.5363827965298,-0.569675373652355
4,1973,"MAB","ROMS",13.2332591411328,13.5363827965298,-0.303123655396941
4,1974,"MAB","ROMS",12.8509375631372,13.5363827965298,-0.685445233392562
4,1975,"MAB","ROMS",14.2136548393209,13.5363827965298,0.677272042791133
4,1976,"MAB","ROMS",11.8557128667759,13.5363827965298,-1.68066992975386
4,1977,"MAB","ROMS",13.3523590609043,13.5363827965298,-0.184023735625484
4,1978,"MAB","ROMS",13.5508863788976,13.5363827965298,0.0145035823678281
4,1979,"MAB","ROMS",12.4352537464463,13.5363827965298,-1.10112905008351
4,1980,"MAB","ROMS",11.6723792096664,13.5363827965298,-1.8640035868634
4,1981,"MAB","ROMS",11.6674204446522,13.5363827965298,-1.86896235187753
4,1982,"MAB","ROMS",13.8170875116904,13.5363827965298,0.280704715160642
4,1983,"MAB","ROMS",13.852012689194,13.5363827965298,0.315629892664235
4,1984,"MAB","ROMS",12.8709322941869,13.5363827965298,-0.665450502342907
4,1985,"MAB","ROMS",15.0199727561364,13.5363827965298,1.4835899596066
4,1986,"MAB","ROMS",14.5965356406462,13.5363827965298,1.06015284411647
4,1987,"MAB","ROMS",13.4516383826753,13.5363827965298,-0.0847444138544127
4,1988,"MAB","ROMS",13.2455209679699,13.5363827965298,-0.290861828559828
4,1989,"MAB","ROMS",13.2595895904048,13.5363827965298,-0.276793206124916
4,1990,"MAB","ROMS",13.2144348200291,13.5363827965298,-0.321947976500635
4,1991,"MAB","ROMS",14.2332375551688,13.5363827965298,0.696854758639073
4,1992,"MAB","ROMS",13.1220767879492,13.5363827965298,-0.414306008580544
2,1993,"MAB","GLORYS",7.82804305671116,9.16986876700209,-1.34182571029092
2,1994,"MAB","GLORYS",8.68882047679556,9.16986876700209,-0.481048290206527
2,1995,"MAB","GLORYS",9.09118211439984,9.16986876700209,-0.0786866526022418
2,1996,"MAB","GLORYS",7.64445092778926,9.16986876700209,-1.52541783921282
2,1997,"MAB","GLORYS",9.53535164171115,9.16986876700209,0.365482874709068
2,1998,"MAB","GLORYS",8.31084324970166,9.16986876700209,-0.859025517300426
2,1999,"MAB","GLORYS",9.5690989918586,9.16986876700209,0.39923022485651
2,2000,"MAB","GLORYS",10.1861279186513,9.16986876700209,1.01625915164923
2,2001,"MAB","GLORYS",8.56233906112207,9.16986876700209,-0.607529705880012
2,2002,"MAB","GLORYS",10.6025136953695,9.16986876700209,1.43264492836746
2,2003,"MAB","GLORYS",7.87642614978769,9.16986876700209,-1.29344261721439
2,2004,"MAB","GLORYS",7.19285602713285,9.16986876700209,-1.97701273986924
2,2005,"MAB","GLORYS",7.72092797438905,9.16986876700209,-1.44894079261303
2,2006,"MAB","GLORYS",9.94830373990601,9.16986876700209,0.778434972903925
2,2007,"MAB","GLORYS",8.10699093436725,9.16986876700209,-1.06287783263483
2,2008,"MAB","GLORYS",9.8497415081275,9.16986876700209,0.679872741125413
2,2009,"MAB","GLORYS",9.32985129806601,9.16986876700209,0.159982531063923
2,2010,"MAB","GLORYS",8.68431364480608,9.16986876700209,-0.485555122196002
2,2011,"MAB","GLORYS",9.35954095067322,9.16986876700209,0.189672183671135
2,2012,"MAB","GLORYS",11.7834307419706,9.16986876700209,2.61356197496848
2,2013,"MAB","GLORYS",9.73045316821681,9.16986876700209,0.560584401214722
2,2014,"MAB","GLORYS",9.14401120739256,9.16986876700209,-0.0258575596095287
2,2015,"MAB","GLORYS",9.90828463343276,9.16986876700209,0.738415866430678
2,2016,"MAB","GLORYS",10.3204619223186,9.16986876700209,1.1505931553165
2,2017,"MAB","GLORYS",8.95371357728411,9.16986876700209,-0.216155189717977
2,2018,"MAB","GLORYS",8.3670579945486,9.16986876700209,-0.802810772453485
2,2019,"MAB","GLORYS",8.87950038596916,9.16986876700209,-0.290368381032925
2,2020,"MAB","GLORYS",10.2196541122558,9.16986876700209,1.04978534525371
2,2021,"MAB","GLORYS",11.0256477823874,9.16986876700209,1.85577901538531
2,2022,"MAB","GLORYS",11.0044204561672,9.16986876700209,1.83455168916515
2,2023,"MAB","GLORYS",10.1967655763399,9.16986876700209,1.02689680933778
2,2021,"MAB","PSY",11.2237184073268,9.16986876700209,2.0538496403247
2,2022,"MAB","PSY",10.9825240620985,9.16986876700209,1.81265529509644
2,2023,"MAB","PSY",10.2257271587943,9.16986876700209,1.0558583917922
2,1959,"MAB","ROMS",7.47997703620109,9.16986876700209,-1.68989173080099
2,1960,"MAB","ROMS",7.19814650439373,9.16986876700209,-1.97172226260835
2,1961,"MAB","ROMS",7.18535176152083,9.16986876700209,-1.98451700548126
2,1962,"MAB","ROMS",8.05011339107779,9.16986876700209,-1.1197553759243
2,1963,"MAB","ROMS",7.67578020393726,9.16986876700209,-1.49408856306482
2,1964,"MAB","ROMS",7.77164473079985,9.16986876700209,-1.39822403620224
2,1965,"MAB","ROMS",7.05818327048102,9.16986876700209,-2.11168549652107
2,1966,"MAB","ROMS",7.33068776909208,9.16986876700209,-1.83918099791001
2,1967,"MAB","ROMS",7.58088136714568,9.16986876700209,-1.5889873998564
2,1968,"MAB","ROMS",7.52541163093772,9.16986876700209,-1.64445713606436
2,1969,"MAB","ROMS",7.29973773464444,9.16986876700209,-1.87013103235765
2,1970,"MAB","ROMS",7.93223631846179,9.16986876700209,-1.23763244854029
2,1971,"MAB","ROMS",7.28821642415637,9.16986876700209,-1.88165234284571
2,1972,"MAB","ROMS",8.4971286951986,9.16986876700209,-0.672740071803485
2,1973,"MAB","ROMS",8.25151451900896,9.16986876700209,-0.918354247993124
2,1974,"MAB","ROMS",9.55644969066577,9.16986876700209,0.386580923663681
2,1975,"MAB","ROMS",8.07215245964124,9.16986876700209,-1.09771630736085
2,1976,"MAB","ROMS",9.40121447462712,9.16986876700209,0.231345707625039
2,1977,"MAB","ROMS",8.1155554555821,9.16986876700209,-1.05431331141998
2,1978,"MAB","ROMS",8.70562745723524,9.16986876700209,-0.464241309766843
