COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
HADDOCK,74,164744,147,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,M,21,Benthivores,Groundfish
HADDOCK,74,164744,147,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,L,51,Benthivores,Groundfish
HADDOCK,74,164744,148,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,S,10,Benthivores,Groundfish
HADDOCK,74,164744,148,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,M,21,Benthivores,Groundfish
HADDOCK,74,164744,148,MELANOGRAMMUS AEGLEFINUS,NEFMC,Benthivore,Benthivore Gadiformes,Haddock,Benthivore,L,51,Benthivores,Groundfish
HAGFISH,NA,159753,150,MYXINIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
HAKE UNCL,80,164701,NA,GADIDAE,NA,Other,Piscivore Gadiformes,OtherDemersals,Other,NA,NA,NA,NA
"HAKE,LONGFIN",NA,164734,663,PHYCIS CHESTERI,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
HAKES,86,164790,507,MERLUCCIUS,NA,Other,Piscivore Gadiformes,OtherDemersals,Other,NA,NA,NA,Other
HALFBEAKS,NA,553172,164,HEMIRAMPHIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
HARDHEAD CATFISH,441,164165,NA,ARIUS FELIS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
HARVESTFISH,749,172570,165,PEPRILUS ALEPIDOTUS,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
HARVESTFISHES,NA,172564,165,PEPRILUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
HATCHETFISH UNCL,252,162212,252,STERNOPTYCHIDAE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
HAWKSBILL SEATURTLE,953,173836,814,ERETMOCHELYS IMBRICATA,NA,Other,NA,Turtles,Other,NA,NA,NA,NA
HEADLIGHTFISH,210,162594,NA,DIAPHUS DUMERILI,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
HEADLIGHTFISH UNCL,61,162583,NA,DIAPHUS,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
HERMIT CRAB UNCL,335,206947,NA,PAGUROIDEA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
HERRING SMELT,NA,162057,171,ARGENTINIDAE,NA,Other,NA,SmallPelagics,Other,NA,NA,NA,Forage Fish
HERRING UNCL,30,161700,167,CLUPEIDAE,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
"HERRING,RIVER",NA,161701,170,ALOSA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
HICKORY SHAD,37,161704,173,ALOSA MEDIOCRIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
HIGH-HAT,647,169313,NA,EQUETUS ACUMINATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
HIGHFIN SCORPIONFISH,752,166803,NA,PONTINUS RATHBUNI,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
HOGCHOKER,118,172982,128,TRINECTES MACULATUS,NA,Other,Benthivore Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,Other
HOGFISH,682,170566,179,LACHNOLAIMUS MAXIMUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
HONEYCOMB COWFISH,838,173241,NA,LACTOPHRYS POLYGONIA,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
HONEYCOMB MORAY,870,161192,NA,GYMNOTHORAX SAXICOLA,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
HOOKEAR SCULPINS,159,167201,NA,ARTEDIELLUS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
HORNED LANTERNFISH,54,162578,NA,CERATOSCOPELUS MADERENSIS,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
HORNED SEAROBIN,762,167000,NA,BELLATOR MILITARIS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
HORNED WHIFF,780,172721,NA,CITHARICHTHYS CORNUTUS,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
HORSE-EYE JACK,571,168610,NA,CARANX LATUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
HORSESHOE CRAB,318,82703,724,LIMULUS POLYPHEMUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
HOUNDFISH,215,165577,20,TYLOSURUS CROCODILUS,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
HUNCHBACK SCORPIONFISH,756,166818,NA,SCORPAENA DISPAR,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
ICELAND SCALLOP,340,79619,795,CHLAMYS ISLANDICA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
ICELAND SCALLOP CLAPPER,341,NA,NA,CHLAMYS ISLANDICA CLAPPER,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
INQUILINE SNAILFISH,167,167577,NA,LIPARIS INQUILINUS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
INSHORE LIZARDFISH,435,162376,526,SYNODUS FOETENS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
IRISH MOSS,NA,12092,829,CHONDRUS CRISPUS,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
JACK POMPANO UNCL,582,168584,4,CARANGIDAE,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
"JACK,BAR",NA,168615,214,CARANGOIDES RUBER,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
JACKKNIFE-FISH,648,169314,NA,EQUETUS LANCEOLATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
JAMBEAU,829,173121,NA,PARAHOLLARDIA LINEATA,NA,Other,Southern Others,Mesopelagics,Other,NA,NA,NA,NA
"JELLYFISH,UNC",NA,51483,899,SCYPHOZOA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
JOHN DORY,112,166283,188,ZENOPSIS OCELLATA,NA,Macrozoo-piscivore,NA,OtherDemersals,Piscivore,NA,NA,NA,NA
JOLTHEAD PORGY,632,169197,325,CALAMUS BAJONADO,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
JONAH CRAB,312,98678,711,CANCER BOREALIS,NA,Benthivore,NA,Megabenthos,Benthivore,NA,NA,NA,BenthicInvert
KEELCHEEK BASS,137,168337,NA,SYNAGROPS SPINOSUS,NA,Other,Benthivore Perciformes,Mesopelagics,Other,NA,NA,NA,NA
KEMP'S RIDLEY SEATURTLE,954,173839,NA,LEPIDOCHELYS KEMPI,NA,Other,NA,Turtles,Other,NA,NA,NA,NA
KING MACKEREL,744,172435,194,SCOMBEROMORUS CAVALLA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
KING WHITING,NA,169273,197,MENTICIRRHUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
KNOBBED PORGY,635,169201,332,CALAMUS NODOSUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
KNOBBED WHELK,337,74071,777,BUSYCON CARICA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
LADY CRAB,322,98714,701,OVALIPES OCELLATUS,NA,Benthivore,NA,Megabenthos,Benthivore,NA,NA,NA,BenthicInvert
LADYFISH,381,161111,268,ELOPS SAURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
LANCER STARGAZER,726,171061,NA,KATHETOSTOMA ALBIGUTTA,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
"LANCETFISHES,UNC",NA,162523,677,ALEPISAURIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
LANE SNAPPER,592,168860,NA,LUTJANUS SYNAGRIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
LANTERN BASS,550,167852,NA,SERRANUS BALDWINI,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
LANTERNFISH UNCL,56,162575,655,MYCTOPHIDAE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
LARGESCALE LIZARDFISH,433,162408,NA,SAURIDA BRASILIENSIS,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
LARGESCALE TONGUEFISH,799,173066,NA,SYMPHURUS MINOR,NA,Other,Southern Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,NA
LAUNCES,NA,171671,206,AMMODYTES,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
LEATHERBACK SEATURTLE,952,173843,812,DERMOCHELYS CORIACEA,NA,Other,NA,Turtles,Other,NA,NA,NA,NA
LEATHERJACK,577,168673,NA,OLIGOPLITES SAURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
LEFTEYE FLOUNDER UNCL,795,172714,NA,BOTHIDAE,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
LEMON SHARK,359,160433,492,NEGAPRION BREVIROSTRIS,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
LEOPARD SEAROBIN,769,166976,NA,PRIONOTUS SCITULUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
LEOPARD SHARK,936,160448,NA,TRIAKIS SEMIFASCIATA,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
LEOPARD TOADFISH,443,164425,NA,OPSANUS PARDUS,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
LESSER AMBERJACK,877,168690,182,SERIOLA FASCIATA,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
LESSER ELECTRIC RAY,367,160844,NA,NARCINE BRASILIENSIS,NA,Other,Southern Elasmobranchs,Rays,Other,NA,NA,NA,NA
LESSER SHINING BOBTAIL,507,82340,NA,SEMIROSSIA TENERA,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
LIGHTFISH UNCL,887,162163,NA,GONOSTOMATIDAE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
LINED SEAHORSE,492,166488,NA,HIPPOCAMPUS ERECTUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
LITTLE SKATE,26,564130,366,LEUCORAJA ERINACEA,NEFMC,Macrozoo-piscivore,Omnivore Elasmobranchs,LittleSkate,Piscivore,S,10,Amphipod/Shrimp Eaters,Elasmobranchs
LITTLE SKATE,26,564130,366,LEUCORAJA ERINACEA,NEFMC,Macrozoo-piscivore,Omnivore Elasmobranchs,LittleSkate,Piscivore,M,31,Amphipod/Shrimp Eaters,Elasmobranchs
LITTLE TUNNY,743,172402,468,EUTHYNNUS ALLETTERATUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
LITTLEHEAD PORGY,637,169203,332,CALAMUS PRORIDENS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
LIZA,691,170338,NA,MUGIL LIZA,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
LIZARDFISH UNCL,852,162374,NA,SYNODONTIDAE,NA,Other,Southern Others,OtherDemersals,Other,NA,NA,NA,NA
LOGGERHEAD SEATURTLE,950,173830,813,CARETTA CARETTA,NA,Other,NA,Turtles,Other,NA,NA,NA,NA
LONGBILL SPEARFISH,943,172502,402,TETRAPTURUS PFLUEGERI,NA,Other,NA,LargePelagics,Other,NA,NA,NA,NA
LONGFIN HAKE,79,164733,NA,UROPHYCIS CHESTERI,NA,Other,Piscivore Gadiformes,OtherDemersals,Other,NA,NA,NA,NA
LONGFIN MAKO,927,159926,358,ISURUS PAUCUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
LONGFIN SCORPIONFISH,753,166812,NA,SCORPAENA AGASSIZI,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
LONGFIN SQUID,503,82372,801,LOLIGO PEALEII,MAFMC,Macroplanktivore,NA,Loligo,Planktivore,L,31,Planktivores,Forage Fish
LONGFIN SQUID EGG MOPS,520,NA,NA,LOLIGO PEALEII EGG MOPS,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
LONGHORN SCULPIN,163,167320,326,MYOXOCEPHALUS OCTODECEMSPINOSUS,NA,Macroplanktivore,Benthivore Scorpaeniformes,OtherDemersals,Planktivore,S,10,Amphipod/Shrimp Eaters,Other
LONGHORN SCULPIN,163,167320,326,MYOXOCEPHALUS OCTODECEMSPINOSUS,NA,Macroplanktivore,Benthivore Scorpaeniformes,OtherDemersals,Planktivore,M,26,Amphipod/Shrimp Eaters,Other
LONGNOSE BATFISH,206,164584,NA,OGCOCEPHALUS CORNIGER,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,NA
LONGNOSE GREENEYE,242,162435,NA,PARASUDIS TRUCULENTA,NA,Other,Benthivore Others,Mesopelagics,Other,NA,NA,NA,NA
LONGNOSE GRENADIER,93,623199,NA,CAELORINCHUS CAELORHINCUS CARMINATUS,NA,Other,Benthivore Gadiformes,Mesopelagics,Other,NA,NA,NA,NA
LONGNOSE LANCETFISH,440,162527,NA,ALEPISAURUS FEROX,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
LONGSNOUT BUTTERFLYFISH,864,169593,NA,PROGNATHODES ACULEATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
LONGSNOUT SEAHORSE,493,166492,NA,HIPPOCAMPUS REIDI,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
LONGSPINE SCORPIONFISH,154,166801,NA,PONTINUS LONGISPINIS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
LONGSPINE SNIPEFISH,111,166423,NA,MACRORHAMPHOSUS SCOLOPAX,NA,Other,Benthivore Perciformes,Mesopelagics,Other,NA,NA,NA,NA
LONGSPINE SQUIRRELFISH,480,166173,NA,HOLOCENTRUS RUFUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
LONGTAIL SKATE,924,160911,NA,BREVIRAJA PLUTONIA,NA,Other,Southern Elasmobranchs,OtherSkates,Other,NA,NA,NA,NA
LONGTOOTH ANGLEMOUTH,235,162185,NA,GONOSTOMA ELONGATUM,NA,Other,Benthivore Others,Mesopelagics,Other,NA,NA,NA,NA
LOOKDOWN,133,168680,526,SELENE VOMER,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
LOPHIIFORM UNCL,900,164495,NA,LOPHIIFORMES,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
LUMPFISH,168,167612,210,CYCLOPTERUS LUMPUS,NA,Macroplanktivore,NA,OtherDemersals,Planktivore,NA,NA,NA,Other
LUMPFISH SNAILFISH UNCL,249,167483,NA,CYCLOPTERIDAE,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
MACKEREL AND TUNA UNCL,860,172398,NA,SCOMBRIDAE,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
MACKEREL SCAD,208,168724,NA,DECAPTERUS MACARELLUS,NA,Other,NA,SmPelagics,Other,NA,NA,NA,NA
"MACKEREL,CHUB",NA,172413,215,SCOMBER COLIAS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
MADEIRA LANTERNFISH,52,162632,NA,LAMPANYCTUS,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
MANTA,272,160992,672,MANTA BIROSTRIS,NA,Other,NA,Rays,Other,NA,NA,NA,NA
MANTIS SHRIMP UNCL,323,99140,737,STOMATOPODA,NA,Other,NA,OtherShrimp,Other,NA,NA,NA,NA
MANTIS SHRIMPS,NA,99143,737,STOMATOPODA,NA,Other,NA,OtherShrimp,Other,NA,NA,NA,NA
MARBLED GROUPER,528,167743,NA,EPINEPHELUS INERMIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
MARBLED PUFFER,843,173294,NA,SPHOEROIDES DORSALIS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
MARGINED FLYINGFISH,463,165436,NA,CYPSELURUS CYANOPTERUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
MARGINED SNAKE EEL,65,161473,NA,OPHICHTHUS CRUENTIFER,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
"MARLIN,UNC",NA,172486,218,ISTIOPHORIDAE,NA,Other,NA,HMS,Other,NA,NA,NA,NA
MARLIN-SPIKE,91,165395,NA,NEZUMIA BAIRDII,NA,Other,Benthivore Gadiformes,Mesopelagics,Other,NA,NA,NA,NA
MARLINSUCKER,566,168570,NA,REMORA OSTEOCHIR,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
MENHADEN,36,161731,221,BREVOORTIA,NA,Mesoplanktivore,NA,OtherPelagics,Planktivore,NA,NA,NA,Forage Fish
METALLIC CODLING,82,550838,NA,PHYSICULUS FULVUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
MEXICAN SEAROBIN,274,166987,NA,PRIONOTUS PARALATUS,NA,Other,Benthivore Scorpaeniformes,SouthernDemersals,Other,NA,NA,NA,NA
MINNOWS,NA,163342,223,CYPRINIDAE,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
MISTY GROUPER,863,167703,141,EPINEPHELUS MYSTACINUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
MOJARRA UNCL,625,169013,NA,GERREIDAE,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
"MOLLUSKS,UNC",NA,69458,804,MOLLUSCA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
MOON SNAIL SHARK EYE AND BABY-EAR,338,72878,780,NATICIDAE,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
MOONEYE CUSK-EEL,869,164843,NA,OPHIDION SELENOPS,NA,Other,Southern Gadiformes,SouthernDemersals,Other,NA,NA,NA,NA
MORA UNCL,88,164670,NA,MORIDAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
MORAY UNCL,388,161160,117,MURAENIDAE,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
MOTTLED CUSK-EEL,457,164827,NA,LEPOPHIDIUM JEANNAE,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
MOTTLED JAWFISH,697,170927,NA,OPISTOGNATHUS MAXILLOSUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
MOUSTACHE JAWFISH,696,170926,NA,OPISTOGNATHUS LONCHURUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
MOUSTACHE SCULPIN,161,167375,NA,TRIGLOPS MURRAYI,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
"MULLET,RED (GOATFISH)",NA,169406,236,MULLIDAE,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
MULLETS,NA,170333,234,MUGILIDAE,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
MUMMICHOG,473,165647,237,FUNDULUS HETEROCLITUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
MUTTON HAMLET,498,167745,NA,EPINEPHELUS AFER,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
MUTTON SNAPPER,586,168849,336,LUTJANUS ANALIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
NAKED GOBY,738,171789,NA,GOBIOSOMA BOSC,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
NAKED SOLE,796,172991,NA,GYMNACHIRUS MELAS,NA,Other,Southern Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,NA
NASSAU GROUPER,538,167706,NA,EPINEPHELUS STRIATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
NIGHT SHARK,934,160413,486,CARCHARHINUS SIGNATUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
NINESPINE STICKLEBACK,902,166387,522,PUNGITIUS PUNGITIUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
NORI/LAVER,NA,11540,827,PORPHYRA,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
NORTHERN CYCLOCARDIA,419,80744,NA,CYCLOCARDIA BOREALIS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
NORTHERN HORSEMUSSEL,342,79501,NA,MODIOLUS MODIOLUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
NORTHERN KINGFISH,146,169276,196,MENTICIRRHUS SAXATILIS,NA,Other,Benthivore Perciformes,SouthernDemersals,Other,NA,NA,NA,Other
NORTHERN MOONSNAIL,348,72985,NA,EUSPIRA HEROS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
NORTHERN PIPEFISH,116,166451,526,SYNGNATHUS FUSCUS,NA,Other,NA,Freshwater,Other,NA,NA,NA,NA
NORTHERN PROPELLER CLAM,417,81763,NA,CYRTODARIA SILIQUA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
NORTHERN PUFFER,196,173290,429,SPHOEROIDES MACULATUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
NORTHERN QUAHOG,413,81496,748,MERCENARIA MERCENARIA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
NORTHERN QUAHOG,413,81496,751,MERCENARIA MERCENARIA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
NORTHERN QUAHOG CLAPPER,414,NA,NA,MERCENARIA MERCENARIA CLAPPER,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
NORTHERN SAND LANCE,181,171674,NA,AMMODYTES DUBIUS,NA,Other,NA,OtherDemersals,Planktivore,M,11,Planktivores,NA
NORTHERN SEAROBIN,171,166974,340,PRIONOTUS CAROLINUS,NA,Macroplanktivore,Benthivore Scorpaeniformes,OtherDemersals,Planktivore,NA,NA,NA,Other
NORTHERN SENNET,694,170427,NA,SPHYRAENA BOREALIS,NA,Other,Southern Perciformes,OtherPelagics,Other,NA,NA,NA,NA
NORTHERN SHORTFIN SQUID,502,82521,802,ILLEX ILLECEBROSUS,MAFMC,Macroplanktivore,NA,Illex,Planktivore,L,31,Planktivores,Forage Fish
NORTHERN SHORTFIN SQUID EGG MOPS,519,NA,NA,ILLEX ILLECEBROSUS EGG MOPS,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
NORTHERN SHRIMP,306,96967,736,PANDALUS BOREALIS,NA,Other,NA,NShrimp,Other,NA,NA,NA,BenthicInvert
NORTHERN STARGAZER,179,171055,31,ASTROSCOPUS GUTTATUS,NA,Other,Benthivore Perciformes,OtherDemersals,Other,NA,NA,NA,Other
NORTHERN STONE CRAB,324,97943,713,LITHODES MAJA,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
NORTHERN TONGUEFISH,826,173070,NA,SYMPHURUS PUSILLUS,NA,Other,Southern Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,NA
NORWEGIAN SHRIMP,299,97184,NA,PONTOPHILUS NORVEGICUS,NA,Other,NA,OtherShrimps,Other,NA,NA,NA,NA
NURSE SHARK,350,159977,348,GINGLYMOSTOMA CIRRATUM,NA,Other,NA,Sharks,Other,NA,NA,NA,NA
OARWEED KELP,NA,11217,821,LAMINARIA LONGICRURIS,NA,Other,NA,Fauna,Other,NA,NA,NA,NA
OCEAN POUT,193,630979,250,ZOARCES AMERICANUS,NEFMC,Benthivore,Benthivore Perciformes,OceanPout,Benthivore,L,61,Benthivores,Groundfish
OCEAN QUAHOG,409,81343,754,ARCTICA ISLANDICA,MAFMC,Benthos,NA,Clams,Benthos,NA,NA,NA,BenthicInvert
OCEAN QUAHOG CLAPPER,410,NA,NA,ARCTICA ISLANDICA CLAPPER,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
OCEAN SUNFISH,265,173414,NA,MOLA MOLA,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
OCEAN SURGEON,740,172252,NA,ACANTHURUS BAHIANUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
OCEAN TRIGGERFISH,835,173170,NA,CANTHIDERMIS SUFFLAMEN,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
OCEANIC TWO-WING FLYINGFISH,467,165507,NA,EXOCOETUS OBTUSIROSTRIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
OCEANIC WHITETIP SHARK,930,160330,490,CARCHARHINUS LONGIMANUS,NA,Other,Southern Elasmobranchs,Sharks,Other,NA,NA,NA,NA
OCELLATE SKATE,368,160859,NA,RAJA ACKLEYI,NA,Other,Southern Elasmobranchs,OtherSkates,Other,NA,NA,NA,NA
OCELLATE SKATES,20,160846,365,RAJA,NA,Other,NA,OtherSkates,Other,NA,NA,NA,NA
OCELLATED FLOUNDER,775,172757,NA,ANCYLOPSETTA QUADROCELLATA,NA,Other,Southern Pleuronectiformes,OtherFlatfish,Other,NA,NA,NA,NA
OCELLATED FROGFISH,445,164524,NA,ANTENNARIUS OCELLATUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
OCTOPUS,NA,82590,786,OCTOPODIDAE,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,Forage Fish
OCTOPUS UNCL,510,82589,NA,OCTOPODA,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
OFFSHORE HAKE,69,164793,508,MERLUCCIUS ALBIDUS,NEFMC,Piscivore,Piscivore Gadiformes,OffHake,Piscivore,NA,NA,NA,Groundfish
OFFSHORE LIZARDFISH,437,162379,NA,SYNODUS POEYI,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
OFFSHORE TONGUEFISH,797,173063,NA,SYMPHURUS CIVITATUS,NA,Other,Southern Pleuronectiformes,SmFlatfishes,Other,NA,NA,NA,NA
OILFISH,823,172364,526,RUVETTUS PRETIOSUS,NA,Other,Southern Perciformes,Freshwater,Other,NA,NA,NA,NA
OPAH,NA,166326,249,LAMPRIS GUTTATUS,NA,Other,NA,SouthernDemersals,Other,NA,NA,NA,NA
ORANGE FILEFISH,832,173131,NA,ALUTERUS SCHOEPFI,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
ORANGEBACK BASS,548,167850,NA,SERRANUS ANNULARIS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
OWEN'S BOBTAIL,515,82348,NA,ROSSIA PALPEBROSA,NA,Other,NA,OtherCephalopods,Other,NA,NA,NA,NA
OYSTER TOADFISH,185,164423,451,OPSANUS TAU,NA,Other,Benthivore Others,OtherDemersals,Other,NA,NA,NA,Other
"OYSTER,EASTERN",NA,79872,789,CRASSOSTREA VIRGINICA,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
"OYSTER,EUROPEAN FLAT",NA,79885,792,OSTREA EDULIS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,BenthicInvert
