COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
ATLANTIC BUMPER,573,168670,NA,CHLOROSCOMBRUS CHRYSURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
ATLANTIC CALICO SCALLOP,404,79734,797,ARGOPECTEN GIBBUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
ATLANTIC COD,73,164712,81,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,S,10,Amphipod/Shrimp Eaters,Groundfish
ATLANTIC COD,73,164712,81,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,M,21,Amphipod/Shrimp Eaters,Groundfish
ATLANTIC COD,73,164712,81,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,L,51,Piscivores,Groundfish
ATLANTIC COD,73,164712,81,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,XL,81,Piscivores,Groundfish
ATLANTIC COD,73,164712,82,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,S,10,Amphipod/Shrimp Eaters,Groundfish
ATLANTIC COD,73,164712,82,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,M,21,Amphipod/Shrimp Eaters,Groundfish
ATLANTIC COD,73,164712,82,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,L,51,Piscivores,Groundfish
ATLANTIC COD,73,164712,82,GADUS MORHUA,NEFMC,Piscivore,Piscivore Gadiformes,Cod,Piscivore,XL,81,Piscivores,Groundfish
ATLANTIC CROAKER,136,169283,90,MICROPOGONIAS UNDULATUS,NA,Other,Benthivore Perciformes,AtlCroaker,Other,S,10,Benthivores,Mid-Atlantic groundfish
ATLANTIC CROAKER,136,169283,90,MICROPOGONIAS UNDULATUS,NA,Other,Benthivore Perciformes,AtlCroaker,Other,M,26,Benthivores,Mid-Atlantic groundfish
ATLANTIC CUTLASSFISH,126,172385,99,TRICHIURUS LEPTURUS,NA,Other,Piscivore Others,Mesopelagics,Other,NA,NA,NA,Other
ATLANTIC FLYINGFISH,465,165447,NA,CYPSELURUS MELANURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
ATLANTIC GUITARFISH,200,160815,NA,RHINOBATOS LENTIGINOSUS,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
