Species,EPU,sex,YEAR,MeanCond,nCond,n
Atl Cod,GOM,F,2016,100.04733079531934,102,28
Atl Cod,GOM,F,2017,99.72893193256287,50,28
Atl Cod,GOM,F,2018,101.65577347889109,55,28
Atl Cod,GOM,F,2019,99.46757062808753,6,28
Atl Cod,GOM,M,1992,98.2960320682728,38,28
Atl Cod,GOM,M,1993,99.69354326055098,38,28
Atl Cod,GOM,M,1994,99.0700159319367,45,28
Atl Cod,GOM,M,1995,100.44708628893264,41,28
Atl Cod,GOM,M,1996,99.83337538898706,63,28
Atl Cod,GOM,M,1997,100.53321801328887,65,28
Atl Cod,GOM,M,1998,100.1246111442255,43,28
Atl Cod,GOM,M,1999,101.03468241107022,88,28
Atl Cod,GOM,M,2000,99.42230921057993,70,28
Atl Cod,GOM,M,2001,99.6210749995652,41,28
Atl Cod,GOM,M,2002,100.51668349041458,58,28
Atl Cod,GOM,M,2003,100.23387329855112,64,28
Atl Cod,GOM,M,2004,97.39629837403353,49,28
Atl Cod,GOM,M,2005,96.98628932916829,52,28
Atl Cod,GOM,M,2006,98.7993953160712,617,28
Atl Cod,GOM,M,2007,98.05382471195412,55,28
Atl Cod,GOM,M,2008,99.17748903204486,163,28
Atl Cod,GOM,M,2009,100.73170703209139,180,28
Atl Cod,GOM,M,2010,98.44303642292759,137,28
Atl Cod,GOM,M,2011,98.8888460129636,138,28
Atl Cod,GOM,M,2012,102.06336675233189,82,28
Atl Cod,GOM,M,2013,101.42560292126558,84,28
Atl Cod,GOM,M,2014,102.0462681021852,42,28
Atl Cod,GOM,M,2015,101.31677934497253,177,28
Atl Cod,GOM,M,2016,99.82553850126624,89,28
Atl Cod,GOM,M,2017,100.0710451196756,51,28
Atl Cod,GOM,M,2018,102.33570942635733,43,28
Atl Cod,GOM,M,2019,101.22274544679385,7,28
Atl Herring,GOM,F,1992,93.64545345498236,170,27
Atl Herring,GOM,F,1993,108.97829436772354,161,27
Atl Herring,GOM,F,1994,104.26276223405489,121,27
Atl Herring,GOM,F,1995,108.31826519033355,175,27
Atl Herring,GOM,F,1996,100.66161880896111,111,27
Atl Herring,GOM,F,1997,99.7466846758992,146,27
Atl Herring,GOM,F,1998,103.04704470613191,240,27
Atl Herring,GOM,F,1999,107.02658864577738,196,27
Atl Herring,GOM,F,2000,111.9779753636721,207,27
Atl Herring,GOM,F,2001,113.69143251510971,526,27
Atl Herring,GOM,F,2002,108.2600915575469,425,27
Atl Herring,GOM,F,2003,106.88465641988515,256,27
Atl Herring,GOM,F,2004,102.42533155088006,319,27
Atl Herring,GOM,F,2005,102.86967835627796,499,27
Atl Herring,GOM,F,2006,108.8469249214976,406,27
Atl Herring,GOM,F,2007,109.0802322953258,495,27
Atl Herring,GOM,F,2008,108.61446966333287,482,27
Atl Herring,GOM,F,2009,107.03292141191868,327,27
Atl Herring,GOM,F,2010,100.23542656347482,568,27
Atl Herring,GOM,F,2011,103.82503879857896,579,27
Atl Herring,GOM,F,2012,104.52101588383776,613,27
Atl Herring,GOM,F,2013,98.8639487234248,273,27
Atl Herring,GOM,F,2014,99.97616153735018,339,27
Atl Herring,GOM,F,2015,99.60314015953853,390,27
Atl Herring,GOM,F,2016,100.73787502817112,218,27
Atl Herring,GOM,F,2017,95.8190834740825,147,27
Atl Herring,GOM,F,2018,99.03660528302045,122,27
Atl Herring,GOM,M,1992,95.1721303469139,235,27
Atl Herring,GOM,M,1993,108.37878357955604,152,27
Atl Herring,GOM,M,1994,102.29064464233073,100,27
Atl Herring,GOM,M,1995,107.34892631154047,160,27
Atl Herring,GOM,M,1996,101.36007360599214,112,27
Atl Herring,GOM,M,1997,98.8679695345781,123,27
Atl Herring,GOM,M,1998,100.72309585036786,273,27
Atl Herring,GOM,M,1999,103.77482329571332,230,27
Atl Herring,GOM,M,2000,109.15140144076413,262,27
Atl Herring,GOM,M,2001,109.8640858514301,407,27
Atl Herring,GOM,M,2002,103.8844230122141,464,27
Atl Herring,GOM,M,2003,104.34110705540047,273,27
Atl Herring,GOM,M,2004,102.38365035575059,341,27
Atl Herring,GOM,M,2005,101.72860436412132,569,27
Atl Herring,GOM,M,2006,106.72511144406367,427,27
Atl Herring,GOM,M,2007,108.10266565601893,424,27
Atl Herring,GOM,M,2008,107.82371391483589,451,27
Atl Herring,GOM,M,2009,105.60841596269627,375,27
Atl Herring,GOM,M,2010,98.89281078339361,536,27
Atl Herring,GOM,M,2011,104.31340979869927,551,27
Atl Herring,GOM,M,2012,102.59806453867836,579,27
Atl Herring,GOM,M,2013,99.55737619110769,247,27
Atl Herring,GOM,M,2014,99.49466608574409,250,27
Atl Herring,GOM,M,2015,100.9630404001459,306,27
Atl Herring,GOM,M,2016,102.54822421515631,206,27
Atl Herring,GOM,M,2017,98.2716977334229,112,27
Atl Herring,GOM,M,2018,102.9377632998098,81,27
Butterfish,GOM,F,1992,93.07778711826873,10,24
Butterfish,GOM,F,1993,112.23405189112123,4,24
Butterfish,GOM,F,1994,96.51479869176666,21,24
Butterfish,GOM,F,1995,102.38479415680203,16,24
Butterfish,GOM,F,1996,111.47193969195338,6,24
Butterfish,GOM,F,1997,92.24756406645072,5,24
Butterfish,GOM,F,1998,97.37779458799147,14,24
Butterfish,GOM,F,1999,101.50182422513689,10,24
Butterfish,GOM,F,2000,106.96467005276858,5,24
Butterfish,GOM,F,2001,93.97179263773933,9,24
Butterfish,GOM,F,2002,91.62323991926371,9,24
Butterfish,GOM,F,2003,90.26799476461561,5,24
Butterfish,GOM,F,2006,100.30497627919512,15,24
Butterfish,GOM,F,2007,98.951171611067707,10,24
Butterfish,GOM,F,2008,88.53411152611324,7,24
Butterfish,GOM,F,2009,101.15700540335891,45,24
Butterfish,GOM,F,2010,107.14535574538664,36,24
Butterfish,GOM,F,2011,104.92144502618648,62,24
Butterfish,GOM,F,2012,113.28304402433345,69,24
Butterfish,GOM,F,2013,109.77071256307046,30,24
Butterfish,GOM,F,2014,110.91912209450976,47,24
Butterfish,GOM,F,2015,108.73113320581177,40,24
Butterfish,GOM,F,2016,114.26623726393433,56,24
Butterfish,GOM,F,2018,109.91992994869945,25,24
Butterfish,GOM,M,1992,103.69806765285085,11,23
Butterfish,GOM,M,1993,102.05922584158945,3,23
Butterfish,GOM,M,1994,105.29634237474562,20,23
Butterfish,GOM,M,1995,105.70156267986563,24,23
Butterfish,GOM,M,1997,95.68805566898938,5,23
Butterfish,GOM,M,1998,107.32416016228944,28,23
Butterfish,GOM,M,1999,103.31917725846031,14,23
Butterfish,GOM,M,2000,110.28471909973271,12,23
Butterfish,GOM,M,2001,94.10902375757027,12,23
Butterfish,GOM,M,2002,102.6460190895054,11,23
Butterfish,GOM,M,2003,99.08193382149751,3,23
Butterfish,GOM,M,2006,92.96999215958772,11,23
Butterfish,GOM,M,2007,86.86507799955889,7,23
Butterfish,GOM,M,2008,80.30179120323268,5,23
Butterfish,GOM,M,2009,100.18525679743689,48,23
Butterfish,GOM,M,2010,106.3703249930451,29,23
Butterfish,GOM,M,2011,103.47957651237742,57,23
Butterfish,GOM,M,2012,108.72987582798595,54,23
Butterfish,GOM,M,2013,108.51890942173308,48,23
Butterfish,GOM,M,2014,103.23651359224687,52,23
Butterfish,GOM,M,2015,108.6037159805646,27,23
Butterfish,GOM,M,2016,115.09735787108305,53,23
Butterfish,GOM,M,2018,112.07132293243377,17,23
Goosefish,GOM,F,1992,93.43884917774909,14,27
Goosefish,GOM,F,1993,95.06162908574032,22,27
Goosefish,GOM,F,1994,98.0778722076611,8,27
Goosefish,GOM,F,1995,99.15407525041184,30,27
Goosefish,GOM,F,1996,96.3846940611003,14,27
Goosefish,GOM,F,1997,96.91958653246836,8,27
Goosefish,GOM,F,1998,102.6897155710035,17,27
Goosefish,GOM,F,1999,104.40796641616345,20,27
Goosefish,GOM,F,2000,98.85771495454942,41,27
Goosefish,GOM,F,2001,96.83278927859304,44,27
Goosefish,GOM,F,2002,98.98665385881453,32,27
Goosefish,GOM,F,2003,100.77061483636578,16,27
Goosefish,GOM,F,2004,103.11351584086212,12,27
Goosefish,GOM,F,2005,95.8488342154258,14,27
Goosefish,GOM,F,2006,94.8567649650747,14,27
Goosefish,GOM,F,2007,99.84155545012588,17,27
Goosefish,GOM,F,2008,100.61087584761708,16,27
Goosefish,GOM,F,2009,96.28605643352735,77,27
Goosefish,GOM,F,2010,95.60099280300838,68,27
Goosefish,GOM,F,2011,96.36556702016412,92,27
Goosefish,GOM,F,2012,96.22541682434264,125,27
Goosefish,GOM,F,2013,96.71758726731589,100,27
Goosefish,GOM,F,2014,97.09544620769617,116,27
Goosefish,GOM,F,2015,96.73966974684933,176,27
Goosefish,GOM,F,2016,95.30067427938516,210,27
Goosefish,GOM,F,2017,96.53128297015125,125,27
Goosefish,GOM,F,2018,96.30227980067723,155,27
Goosefish,GOM,M,1992,100.16834001472613,24,27
Goosefish,GOM,M,1993,98.17365303931432,21,27
Goosefish,GOM,M,1994,102.27818066472236,16,27
Goosefish,GOM,M,1995,98.49089488645478,22,27
Goosefish,GOM,M,1996,99.3863041286549,19,27
Goosefish,GOM,M,1997,102.57183047219142,9,27
Goosefish,GOM,M,1998,101.38571956534874,12,27
Goosefish,GOM,M,1999,99.71891933317843,28,27
Goosefish,GOM,M,2000,99.27980843059326,25,27
Goosefish,GOM,M,2001,98.04289692018972,26,27
Goosefish,GOM,M,2002,101.12724360122155,24,27
Goosefish,GOM,M,2003,102.22061104716208,18,27
Goosefish,GOM,M,2004,99.99581182916697,5,27
Goosefish,GOM,M,2005,96.67056901161799,13,27
Goosefish,GOM,M,2006,92.39055560333391,8,27
Goosefish,GOM,M,2007,101.56212224386866,14,27
Goosefish,GOM,M,2008,99.61185655737762,16,27
Goosefish,GOM,M,2009,96.96937797774397,63,27
Goosefish,GOM,M,2010,97.94891425249793,80,27
Goosefish,GOM,M,2011,97.79564724742781,54,27
Goosefish,GOM,M,2012,96.06864424380088,78,27
Goosefish,GOM,M,2013,99.14195119486034,69,27
Goosefish,GOM,M,2014,98.55316931705164,97,27
Goosefish,GOM,M,2015,97.31662931314834,102,27
Goosefish,GOM,M,2016,94.799869317242,144,27
Goosefish,GOM,M,2017,95.9148860994682,52,27
Goosefish,GOM,M,2018,96.21238059044092,114,27
Haddock,GOM,F,1993,104.08136162671408,8,27
Haddock,GOM,F,1994,100.47713087540414,3,27
Haddock,GOM,F,1995,99.2695054765249,24,27
Haddock,GOM,F,1996,100.90609871917312,45,27
Haddock,GOM,F,1997,101.1166035847898,67,27
Haddock,GOM,F,1998,98.32787005401282,33,27
Haddock,GOM,F,1999,101.79797932850727,76,27
Haddock,GOM,F,2000,104.06319187873783,65,27
Haddock,GOM,F,2001,99.42883874725125,124,27
Haddock,GOM,F,2002,99.40428246893629,53,27
Haddock,GOM,F,2003,100.43793883765136,48,27
Haddock,GOM,F,2004,97.96867655305964,123,27
Haddock,GOM,F,2005,98.9712300425507,123,27
Haddock,GOM,F,2006,98.83474814704942,149,27
Haddock,GOM,F,2007,100.06150087400243,98,27
Haddock,GOM,F,2008,101.08032182598305,111,27
Haddock,GOM,F,2009,102.52277533953774,42,27
Haddock,GOM,F,2010,100.54614162262124,85,27
Haddock,GOM,F,2011,101.79889984813778,118,27
Haddock,GOM,F,2012,101.09113448414152,102,27
Haddock,GOM,F,2013,101.40613279511061,150,27
Haddock,GOM,F,2014,102.50932655368098,257,27
Haddock,GOM,F,2015,101.74844016723942,482,27
Haddock,GOM,F,2016,101.75436190838485,330,27
Haddock,GOM,F,2017,102.07011003938884,211,27
Haddock,GOM,F,2018,102.69350812439112,301,27
Haddock,GOM,F,2019,105.50221889485313,9,27
Haddock,GOM,M,1993,103.5862606628378,9,27
Haddock,GOM,M,1994,97.048972535666607,10,27
Haddock,GOM,M,1995,100.95789513128153,14,27
Haddock,GOM,M,1996,104.41797012350203,45,27
Haddock,GOM,M,1997,105.278089390065,48,27
Haddock,GOM,M,1998,101.05445126469125,36,27
Haddock,GOM,M,1999,103.16033148496504,81,27
Haddock,GOM,M,2000,103.16292483115356,41,27
Haddock,GOM,M,2001,99.52387013356967,70,27
Haddock,GOM,M,2002,98.35887164400388,42,27
Haddock,GOM,M,2003,101.23923886107141,46,27
Haddock,GOM,M,2004,98.6511884077277,83,27
Haddock,GOM,M,2005,99.53420451032335,82,27
Haddock,GOM,M,2006,101.22351706813429,91,27
Haddock,GOM,M,2007,100.40101753845339,76,27
Haddock,GOM,M,2008,100.90424071098876,50,27
Haddock,GOM,M,2009,101.04821500019965,43,27
Haddock,GOM,M,2010,101.6921726387102,59,27
Haddock,GOM,M,2011,101.19548486681265,88,27
Haddock,GOM,M,2012,100.59796435378433,69,27
Haddock,GOM,M,2013,102.37887828693795,124,27
Haddock,GOM,M,2014,102.00048610582928,176,27
Haddock,GOM,M,2015,102.32327070349133,284,27
Haddock,GOM,M,2016,101.77535814723453,241,27
Haddock,GOM,M,2017,101.40630428409935,118,27
Haddock,GOM,M,2018,102.5522791726753,122,27
Haddock,GOM,M,2019,101.34639077965669,6,27
Little Skate,GOM,M,1992,101.20248320768478,5,21
Little Skate,GOM,M,1993,108.14963786651592,3,21
Little Skate,GOM,M,1994,98.34454548139357,7,21
Little Skate,GOM,M,1995,94.84821943964506,14,21
Little Skate,GOM,M,1996,104.19152413479968,3,21
Little Skate,GOM,M,1997,103.898993785143,11,21
Little Skate,GOM,M,2001,95.05892004895804,12,21
Little Skate,GOM,M,2002,102.06830009889899,5,21
Little Skate,GOM,M,2003,106.19511405630456,3,21
Little Skate,GOM,M,2004,92.42073479144955,3,21
Little Skate,GOM,M,2005,98.1546200088384,3,21
Little Skate,GOM,M,2008,102.78725854751758,4,21
Little Skate,GOM,M,2009,96.10253057244971,3,21
Little Skate,GOM,M,2010,107.2925566363975,6,21
Little Skate,GOM,M,2011,100.62520967439724,13,21
Little Skate,GOM,M,2012,98.43441587012596,19,21
Little Skate,GOM,M,2013,101.12444240205947,11,21
Little Skate,GOM,M,2014,93.56248851927472,8,21
Little Skate,GOM,M,2015,102.47908159203098,7,21
Little Skate,GOM,M,2016,99.30629940535218,8,21
Little Skate,GOM,M,2018,98.23533195581228,5,21
