"PORT_STATE","perc_AVG","perc_MIN","perc_MAX","WEA_MAX","Demographics","Gent","region","lease_status"
"ENGELHARD, NC",0.0084,0.0028,0.0229,149462.098591549,1,NA,"MidAtlantic","All leases"
"BELFORD, NJ",0.0165,0.0099,0.0386,138287.918571429,NA,1,"MidAtlantic","All leases"
"PORTSMOUTH, NH",0.0018,0,0.0142,137592.248192771,NA,1,"NewEngland","All leases"
"WANCHESE, NC",0.0036,0.0015,0.0077,134948.119480519,NA,NA,"MidAtlantic","All leases"
"TIVERTON, RI",0.0455,8e-04,0.1255,134457.113513513,NA,NA,"NewEngland","All leases"
"CHINCOTEAGUE, VA",0.0163,0.0059,0.0493,132576.582894737,NA,1,"MidAtlantic","All leases"
"OTHER NASSAU, NY",0.029,0.0017,0.1132,127895.46,NA,NA,"MidAtlantic","All leases"
"SEA ISLE CITY, NJ",0.0265,0.0109,0.0532,118011.527142857,NA,1,"MidAtlantic","All leases"
"INDIAN RIVER, DE",0.1358,0.0565,0.2059,117710.451282051,NA,1,"MidAtlantic","All leases"
"HARWICHPORT, MA",0.0056,1e-04,0.0281,80050.9714285714,NA,1,"NewEngland","All leases"
"ROCKLAND, ME",0.0017,2e-04,0.0066,76326.3242857143,NA,NA,"NewEngland","All leases"
"CHILMARK, MA",0.03,0.0104,0.0495,70150.4219512195,NA,1,"NewEngland","All leases"
"SANDWICH, MA",0.0024,0,0.0123,62391.8042857143,NA,1,"NewEngland","All leases"
"BRIELLE, NJ",0.0266,0.0101,0.0475,58174.3243243243,NA,1,"MidAtlantic","All leases"
"WOODS HOLE, MA",0.01,5e-04,0.0401,55736.1225352113,NA,1,"NewEngland","All leases"
"SOUTH KINGSTOWN, RI",0.0558,0.0143,0.1183,44016.7835616438,NA,NA,"NewEngland","All leases"
"ORIENTAL, NC",0.0042,6e-04,0.0144,40520.7855421687,NA,1,"MidAtlantic","All leases"
"PORT CLYDE, ME",0.0012,2e-04,0.0026,34686.354054054,NA,1,"NewEngland","All leases"
"SCITUATE, MA",0.002,0,0.0043,25753.6267605634,NA,1,"NewEngland","All leases"
"EAST HAVEN, CT",0.009,0.0013,0.018,25220.8488636364,NA,NA,"NewEngland","All leases"
