year,GEO_ID2,SUMLEVEL,REGION,Council,STATEABBR,GEO_NAME,MAPNAME,geography,TOTPOP,personal_disruption,pop_composition,poverty,labor_force_str,housing_characteristics,housing_disrupt,retiree_migration,urban_sprawl_index,ComEng,ComRel,RecEng,RecRel,RecEng_ct,RecRel_ct,ComEng_ct,ComRel_ct,personal_disruption_rank,pop_composition_rank,poverty_rank,labor_force_str_rank,housing_characteristics_rank,housing_disrupt_rank,retiree_migration_rank,urban_sprawl_index_rank
2022,943580,160,Northeast,New England,CT,"Long Hill (Fairfield County), CT",Long Hill (Fairfield County),"Long Hill CDP (Fairfield County), Connecticut","8,279",-0.311,0.274,-0.563,-0.412,-1.374, NA,-0.164, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,low,NA,low,NA
2022,943790,160,Northeast,New England,CT,"Long Hill, CT",Long Hill,"Long Hill CDP, Connecticut","4,520",-0.507,-0.206,-0.122,-0.835,0.74,-2.214,-1.079,-0.603,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med high,low,low,low
2022,944000,160,Northeast,New England,CT,"Lordship, CT",Lordship,"Lordship CDP, Connecticut","3,850",-0.711,-0.572,0.007,-0.517,-0.361, NA,-0.007, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,med,low,low,NA,low,NA
2022,944660,160,Northeast,New England,CT,"Mamanasco Lake, CT",Mamanasco Lake,"Mamanasco Lake CDP, Connecticut",470,-0.799,-0.691,-1.067,0.867, NA, NA,0.303, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med high,NA,NA,med,NA
2022,946450,160,Northeast,New England,CT,"Meriden, CT",Meriden,"Meriden city, Connecticut","60,556",0.518,0.642,0.598,-0.309,0.521,-1.277,-0.415,0.178,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med high,med high,med high,low,med high,low,low,med
2022,947290,160,Northeast,New England,CT,"Middletown, CT",Middletown,"Middletown city, Connecticut","48,152",-0.267,-0.163,0.026,-0.577,0.416,-1.13,-0.671,0.012,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,med,low,med,low,low,med
2022,949880,160,Northeast,New England,CT,"Naugatuck, CT",Naugatuck,"Naugatuck borough, Connecticut","31,653",-0.363,0.369,-0.481,-0.877,0.225,-1.048,-0.729,0.089,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,med,low,low,med
2022,950576,160,Northeast,New England,CT,"New Canaan, CT",New Canaan,"New Canaan CDP, Connecticut","6,863",-0.675,-0.415,-0.756,0.299,-2.269, NA,-0.028, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,low,NA,low,NA
2022,952000,160,Northeast,New England,CT,"New Haven, CT",New Haven,"New Haven city, Connecticut","135,736",0.948,0.863,1.262,-0.631,0.363,-0.334,-1.025,0.629,-0.157,-0.12,1.497,-0.146,high,low,low,low,med high,med high,high,low,med,low,low,med high
2022,952910,160,Northeast,New England,CT,"Newtown, CT",Newtown,"Newtown borough, Connecticut","1,959",-0.881,-0.3,-0.835,-0.554,-0.941,-0.955,-0.328,0.271,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,med
2022,953260,160,Northeast,New England,CT,"Noank, CT",Noank,"Noank CDP, Connecticut","1,708",-1.201,-0.687,-0.948,-0.174,-0.221,-0.957,0.332,-0.49,0.042,0.16,-0.085,0.045,low,med,med,med,low,low,low,low,low,low,med,low
2022,953540,160,Northeast,New England,CT,"Noroton, CT",Noroton,"Noroton CDP, Connecticut","5,605",-0.232,-0.045,-0.496,-0.574,-2.484, NA,-1.057, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,953610,160,Northeast,New England,CT,"Noroton Heights, CT",Noroton Heights,"Noroton Heights CDP, Connecticut","3,006",-0.263,-0.463,-0.195,-1.577,-2.108, NA,-1.341, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,954940,160,Northeast,New England,CT,"North Haven, CT",North Haven,"North Haven CDP, Connecticut","24,179",-0.624,-0.268,-0.51,-0.452,-0.232,-0.849,-0.122,0.192,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,med
2022,955990,160,Northeast,New England,CT,"Norwalk, CT",Norwalk,"Norwalk city, Connecticut","91,050",-0.059,1.867,0.019,-0.772,-0.436,-0.746,-0.789,0.693,0.049,-0.118,0.233,-0.152,med,low,med,low,low,high,med,low,low,low,low,med high
2022,956200,160,Northeast,New England,CT,"Norwich, CT",Norwich,"Norwich city, Connecticut","40,054",0.282,0.379,0.335,-0.252,0.569,-0.992,-0.225,-0.581,-0.168,-0.12,0.317,-0.145,med,low,low,low,med,med,med,low,med high,low,low,low
2022,956935,160,Northeast,New England,CT,"Old Hill, CT",Old Hill,"Old Hill CDP, Connecticut","2,856",-0.991,-0.618,-0.759,-0.856,-2.39, NA,-0.387, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,957180,160,Northeast,New England,CT,"Old Mystic, CT",Old Mystic,"Old Mystic CDP, Connecticut","3,385",-0.548,-0.538,-0.369,-0.314,-0.235,-0.497,-0.139,-0.626,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,low
2022,957670,160,Northeast,New England,CT,"Orange, CT",Orange,"Orange CDP, Connecticut","14,231",-0.917,-0.264,-0.761,-0.364,-0.958,-1.07,-0.018,0.289,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,med
2022,957880,160,Northeast,New England,CT,"Oronoque, CT",Oronoque,"Oronoque CDP, Connecticut","4,065",-0.407,-0.443,-0.519,1.81,-0.31, NA,2.057, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,high,low,NA,high,NA
2022,961555,160,Northeast,New England,CT,"Poplar Plains, CT",Poplar Plains,"Poplar Plains CDP, Connecticut","1,431",-1.088,-0.457,-0.964,-0.153, NA, NA,0.108, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,med,NA
2022,961730,160,Northeast,New England,CT,"Poquonock Bridge, CT",Poquonock Bridge,"Poquonock Bridge CDP, Connecticut","1,390",1.395,1.71,-0.763,-1.335,0.474,1.439,-1.382,-0.76,-0.168,-0.12,-0.232,-0.163,low,low,low,low,high,high,low,low,med,high,low,low
2022,961870,160,Northeast,New England,CT,"Portland, CT",Portland,"Portland CDP, Connecticut","6,417",-0.103,-0.402,-0.634,-0.926,0.19,-1.061,-0.651,-0.03,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med,low,low,low
2022,963830,160,Northeast,New England,CT,"Ridgebury, CT",Ridgebury,"Ridgebury CDP, Connecticut","2,187",-0.889,-0.851,-0.474,-0.24, NA, NA,0.004, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,med,NA
2022,963900,160,Northeast,New England,CT,"Ridgefield, CT",Ridgefield,"Ridgefield CDP, Connecticut","7,655",-0.819,-0.295,-0.82,-0.041,-1.403,-0.747,-0.133,0.613,0.045,-0.101,-0.232,-0.163,low,low,med,low,low,low,low,low,low,low,low,med high
2022,965685,160,Northeast,New England,CT,"Route 7 Gateway, CT",Route 7 Gateway,"Route 7 Gateway CDP, Connecticut","1,009",-0.674,0.605,-0.836,1.93,-0.28, NA,1.936, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med high,low,high,low,NA,high,NA
2022,966113,160,Northeast,New England,CT,"Sail Harbor, CT",Sail Harbor,"Sail Harbor CDP, Connecticut",143,-0.663,2.885,-1.067,1.982, NA, NA,0.12, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,high,low,high,NA,NA,med,NA
2022,966700,160,Northeast,New England,CT,"Sandy Hook, CT",Sandy Hook,"Sandy Hook CDP, Connecticut","9,604",-0.673,-0.288,-0.428,-0.86,-0.868, NA,-0.548, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,966770,160,Northeast,New England,CT,"Saugatuck, CT",Saugatuck,"Saugatuck CDP, Connecticut","2,999",-0.472,0.136,-0.873,-0.194,-1.352, NA,-0.367, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,low,NA,low,NA
2022,968100,160,Northeast,New England,CT,"Shelton, CT",Shelton,"Shelton city, Connecticut","41,206",-0.416,0.14,-0.506,-0.375,-0.233,-1.065,-0.153,0.254,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,low,low,low,low,med
2022,968240,160,Northeast,New England,CT,"Sherman, CT",Sherman,"Sherman CDP, Connecticut",33,-1.336,-0.724, NA,-0.153, NA, NA,0.509, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,NA,low,NA,NA,med high,NA
2022,971215,160,Northeast,New England,CT,"South Wilton, CT",South Wilton,"South Wilton CDP, Connecticut","1,428",-0.86,-0.381,-1.067,-0.981, NA, NA,-0.682, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,973000,160,Northeast,New England,CT,"Stamford, CT",Stamford,"Stamford city, Connecticut","135,413",-0.083,2.031,-0.007,-0.88,-0.612,-1.19,-0.88,0.778,-0.164,-0.12,0.171,-0.157,med,low,low,low,low,high,low,low,low,low,low,med high
2022,973175,160,Northeast,New England,CT,"Staples, CT",Staples,"Staples CDP, Connecticut","7,200",-0.527,-0.192,-0.387,0.251,-2.394, NA,-0.178, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med,low,NA,low,NA
2022,974303,160,Northeast,New England,CT,"Stratford Downtown, CT",Stratford Downtown,"Stratford Downtown CDP, Connecticut","1,949",0.071,-0.474,-0.536,0.553,0.315, NA,0.353, NA,-0.168,-0.12,0.01,0.084,med,med,low,low,med,low,low,med high,med,NA,med,NA
2022,975065,160,Northeast,New England,CT,"Taylor Corners, CT",Taylor Corners,"Taylor Corners CDP, Connecticut",566,2.457,0.144,2.565,0.84, NA, NA,1.014, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,high,med,high,med high,NA,NA,high,NA
2022,975116,160,Northeast,New England,CT,"Tashua, CT",Tashua,"Tashua CDP, Connecticut","3,404",-0.521,-0.516,-0.675,-0.009,-1.972, NA,0.164, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,med,NA
2022,976150,160,Northeast,New England,CT,"Tokeneke, CT",Tokeneke,"Tokeneke CDP, Connecticut","2,575",-0.725,-0.342,-0.594,-0.042,-2.409, NA,-0.761, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,977278,160,Northeast,New England,CT,"Trumbull Center, CT",Trumbull Center,"Trumbull Center CDP, Connecticut","10,335",-0.251,0.281,-0.598,0.016,-0.763, NA,-0.142, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,med,low,NA,low,NA
2022,980000,160,Northeast,New England,CT,"Waterbury, CT",Waterbury,"Waterbury city, Connecticut","114,480",1.176,1.202,1.069,-0.18,0.621,-1.121,-0.521,0.253,-0.168,-0.12,-0.232,-0.163,low,low,low,low,high,high,high,low,med high,low,low,med
2022,982800,160,Northeast,New England,CT,"West Haven, CT",West Haven,"West Haven city, Connecticut","55,336",0.181,0.783,-0.032,-0.402,0.354,-0.714,-0.513,0.444,-0.168,-0.12,-0.226,-0.162,low,low,low,low,med,med high,low,low,med,low,low,med
2022,983045,160,Northeast,New England,CT,"West Mountain, CT",West Mountain,"West Mountain CDP, Connecticut",423,-0.951,-0.513,-0.449,-1.371, NA, NA,-1.507, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,983360,160,Northeast,New England,CT,"Weston, CT",Weston,"Weston CDP, Connecticut",797,-1.332,-0.439,-1.067,-1.282, NA, NA,-1.132, NA,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,NA,NA,low,NA
2022,983586,160,Northeast,New England,CT,"Westport Village, CT",Westport Village,"Westport Village CDP, Connecticut","2,668",-0.799,-0.439,-0.754,-0.324,-2.329, NA,-0.69, NA,-0.168,-0.12,-0.052,-0.062,low,low,low,low,low,low,low,low,low,NA,low,NA
2022,986380,160,Northeast,New England,CT,"Wilton Center, CT",Wilton Center,"Wilton Center CDP, Connecticut","1,642",-0.966,0.459,-1.067,0.152,-0.205, NA,0.069,0.818,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,med,low,med,low,NA,med,med high
2022,1001400,160,Northeast,Mid-Atlantic,DE,"Arden, DE",Arden,"Arden village, Delaware",652,-0.749,-0.286,-0.484,1.123,0.13,0.478,0.947,0.051,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,high,med,med,med high,med
2022,1001530,160,Northeast,Mid-Atlantic,DE,"Ardencroft, DE",Ardencroft,"Ardencroft village, Delaware",190,-0.757,-0.835,-0.906,-0.478,-0.191,-0.795,-0.05,-0.056,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,low,low,low,low
2022,1001660,160,Northeast,Mid-Atlantic,DE,"Ardentown, DE",Ardentown,"Ardentown village, Delaware",223,-0.792,-0.648,-0.593,0.708,0.356,-1.637,0.777,-0.198,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,med high,med,low,med high,low
2022,1004130,160,Northeast,Mid-Atlantic,DE,"Bear, DE",Bear,"Bear CDP, Delaware","23,070",0.139,0.195,0.079,-0.98,0.569,-1.116,-0.807,-0.128,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,med,med,low,med high,low,low,low
2022,1004650,160,Northeast,Mid-Atlantic,DE,"Bellefonte, DE",Bellefonte,"Bellefonte town, Delaware","1,526",-0.58,-0.341,-0.646,-1.014,0.063,-0.434,-0.787,0.256,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,low,med,low,low,med
2022,1005690,160,Northeast,Mid-Atlantic,DE,"Bethany Beach, DE",Bethany Beach,"Bethany Beach town, Delaware","1,064",-1.043,-0.695,-0.604,1.998,-0.2,0.598,2.701,-0.974,-0.147,-0.076,-0.232,-0.163,low,low,low,low,low,low,low,high,low,med high,high,low
2022,1005820,160,Northeast,Mid-Atlantic,DE,"Bethel, DE",Bethel,"Bethel town, Delaware",376,-1.048,-0.502,-0.956,1.253, NA,-0.79,1.546,-1.377,-0.168,-0.12,-0.232,-0.163,low,low,low,low,low,low,low,high,NA,low,high,low
2022,1006730,160,Northeast,Mid-Atlantic,DE,"Blades, DE",Blades,"Blades town, Delaware",960,0.22,0.046,0.259,0.168,0.867,0.043,0.174,-1.414,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med,med,med,med,med high,med,med,low
2022,1007250,160,Northeast,Mid-Atlantic,DE,"Bowers, DE",Bowers,"Bowers town, Delaware",336,-0.25,-0.835,-0.783,1.915,0.819,0.129,1.661,-0.947,-0.023,1.255,0.012,1.415,med,high,low,high,low,low,low,high,med high,med,high,low
2022,1008680,160,Northeast,Mid-Atlantic,DE,"Bridgeville, DE",Bridgeville,"Bridgeville town, Delaware","2,590",0.555,0.35,0.489,1.48,0.496,2.246,1.625,-1.287,-0.168,-0.12,-0.232,-0.163,low,low,low,low,med high,med,med,high,med,high,high,low
