Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2014,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,393,34.9,28,100,365,36.8,.,.
FINAL,2015,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2015,MASSACHUSETTS,PORBEAGLE SHARK,125,55.9,28,100,97,66,.,.
FINAL,2015,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,584,28.7,48,70.9,536,30.6,.,.
FINAL,2016,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2016,MASSACHUSETTS,PORBEAGLE SHARK,155,35.3,35,54.7,120,42.7,.,.
FINAL,2016,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,400,42,7,100,393,42.8,.,.
FINAL,2017,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2017,MASSACHUSETTS,PORBEAGLE SHARK,1040,20.6,64,56.5,976,21.6,.,.
FINAL,2017,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,1129,29.3,12,100,1117,29.6,.,.
FINAL,2018,NEW YORK,PORBEAGLE SHARK,5,100,.,.,5,100,.,.
FINAL,2018,MASSACHUSETTS,PORBEAGLE SHARK,355,29,28,63.7,327,31,.,.
FINAL,2018,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,616,32.9,.,.,616,32.9,.,.
FINAL,2019,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2019,MASSACHUSETTS,PORBEAGLE SHARK,1094,21.3,118,39.8,976,23.3,.,.
FINAL,2019,NEW HAMPSHIRE/MAINE,PORBEAGLE SHARK,246,38.7,.,.,246,38.7,.,.
FINAL,2020,NEW YORK,PORBEAGLE SHARK,.,.,.,.,.,.,.,.
FINAL,2020,MASSACHUSETTS,PORBEAGLE SHARK,1070,22.1,16,100,1055,22.3,.,.
