Estimate Status,Year,State/Area,Species,Total Catch (Kept+Alive+Dead),PSE,Harvest (Kept),PSE,Released Alive,PSE,Discarded Dead,PSE
FINAL,2003,CONNECTICUT/RHODE ISLAND,BLUE SHARK,4081,24,51,58.7,4004,24.4,27,72.7
FINAL,2003,MASSACHUSETTS,BLUE SHARK,2292,27.8,135,100,2157,28.9,.,.
FINAL,2003,NEW HAMPSHIRE/MAINE,BLUE SHARK,2085,23.1,.,.,2085,23.1,.,.
FINAL,2004,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2004,MARYLAND/DELAWARE,BLUE SHARK,759,30.3,.,.,750,30.6,9,100
FINAL,2004,SOUTH NEW JERSEY,BLUE SHARK,7033,30.9,397,37.2,6636,32.7,.,.
FINAL,2004,NORTH NEW JERSEY,BLUE SHARK,603,33.5,6,100,596,33.9,.,.
FINAL,2004,NEW YORK,BLUE SHARK,34788,13.2,1811,19.1,32977,13.9,.,.
FINAL,2004,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1350,27.6,73,52.6,1276,29,.,.
FINAL,2004,MASSACHUSETTS,BLUE SHARK,13529,24.6,314,35.5,13188,25.3,27,72.6
FINAL,2004,NEW HAMPSHIRE/MAINE,BLUE SHARK,619,29.1,11,100,608,29.6,.,.
FINAL,2005,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2005,MARYLAND/DELAWARE,BLUE SHARK,230,57.9,1,100,228,58.3,.,.
FINAL,2005,SOUTH NEW JERSEY,BLUE SHARK,93,55.2,.,.,93,55.2,.,.
FINAL,2005,NORTH NEW JERSEY,BLUE SHARK,253,48.7,.,.,253,48.7,.,.
FINAL,2005,NEW YORK,BLUE SHARK,12315,16.2,946,27.4,11369,17.4,.,.
FINAL,2005,CONNECTICUT/RHODE ISLAND,BLUE SHARK,2215,40,16,70.8,2198,40.3,.,.
FINAL,2005,MASSACHUSETTS,BLUE SHARK,4710,30.5,381,36.5,4329,33.1,.,.
FINAL,2005,NEW HAMPSHIRE/MAINE,BLUE SHARK,2656,24.2,118,51.4,2538,25.2,.,.
FINAL,2006,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2006,MARYLAND/DELAWARE,BLUE SHARK,932,35.9,.,.,932,35.9,.,.
FINAL,2006,SOUTH NEW JERSEY,BLUE SHARK,1083,38,71,77.4,1012,40.3,.,.
FINAL,2006,NORTH NEW JERSEY,BLUE SHARK,1012,77.7,.,.,1009,77.8,2,100
FINAL,2006,NEW YORK,BLUE SHARK,8962,20.8,643,34.6,8319,22.3,.,.
FINAL,2006,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1199,48.3,63,100,1136,50.7,.,.
FINAL,2006,MASSACHUSETTS,BLUE SHARK,9669,35.4,466,47.6,9203,37.1,.,.
FINAL,2006,NEW HAMPSHIRE/MAINE,BLUE SHARK,1461,29.3,102,47.6,1359,31.3,.,.
FINAL,2007,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2007,MARYLAND/DELAWARE,BLUE SHARK,100,34.9,45,53.5,55,46,.,.
FINAL,2007,SOUTH NEW JERSEY,BLUE SHARK,353,35.5,37,54.3,310,39.8,5,100
FINAL,2007,NORTH NEW JERSEY,BLUE SHARK,687,26.6,.,.,687,26.6,.,.
FINAL,2007,NEW YORK,BLUE SHARK,12344,17.6,639,25.9,11705,18.5,.,.
FINAL,2007,CONNECTICUT/RHODE ISLAND,BLUE SHARK,4528,21.4,171,72.7,4357,22,.,.
FINAL,2007,MASSACHUSETTS,BLUE SHARK,1914,45.6,.,.,1914,45.6,.,.
FINAL,2007,NEW HAMPSHIRE/MAINE,BLUE SHARK,17815,13.3,678,22.5,17137,13.8,.,.
FINAL,2008,VIRGINIA,BLUE SHARK,4,100,.,.,4,100,.,.
FINAL,2008,MARYLAND/DELAWARE,BLUE SHARK,164,38.3,8,100,155,40,.,.
FINAL,2008,SOUTH NEW JERSEY,BLUE SHARK,319,34.2,.,.,319,34.2,.,.
FINAL,2008,NORTH NEW JERSEY,BLUE SHARK,208,48.9,.,.,208,48.9,.,.
FINAL,2008,NEW YORK,BLUE SHARK,17397,16.3,199,27.4,17198,16.5,.,.
FINAL,2008,CONNECTICUT/RHODE ISLAND,BLUE SHARK,4107,26.7,17,100,4089,26.8,.,.
FINAL,2008,MASSACHUSETTS,BLUE SHARK,8515,30.8,74,100,8441,31.1,.,.
FINAL,2008,NEW HAMPSHIRE/MAINE,BLUE SHARK,14990,17.6,359,25.8,14631,18,.,.
FINAL,2009,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2009,MARYLAND/DELAWARE,BLUE SHARK,1772,31.6,.,.,1772,31.6,.,.
FINAL,2009,SOUTH NEW JERSEY,BLUE SHARK,1753,27,85,48.6,1669,28.2,.,.
FINAL,2009,NORTH NEW JERSEY,BLUE SHARK,1840,26.3,33,100,1807,26.7,.,.
FINAL,2009,NEW YORK,BLUE SHARK,33140,14.8,318,25.7,32822,14.9,.,.
FINAL,2009,CONNECTICUT/RHODE ISLAND,BLUE SHARK,4890,24.9,73,48.6,4817,25.3,.,.
FINAL,2009,MASSACHUSETTS,BLUE SHARK,1659,35.3,37,100,1621,36.1,.,.
FINAL,2009,NEW HAMPSHIRE/MAINE,BLUE SHARK,17913,19.3,384,28.4,17528,19.7,.,.
FINAL,2010,VIRGINIA,BLUE SHARK,5,70.9,.,.,5,70.9,.,.
FINAL,2010,MARYLAND/DELAWARE,BLUE SHARK,466,26.8,14,100,451,27.5,.,.
FINAL,2010,SOUTH NEW JERSEY,BLUE SHARK,456,32.1,.,.,456,32.1,.,.
FINAL,2010,NORTH NEW JERSEY,BLUE SHARK,1643,27.6,27,100,1616,28,.,.
FINAL,2010,NEW YORK,BLUE SHARK,21639,16.1,150,29.4,21489,16.2,.,.
FINAL,2010,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1731,29.5,.,.,1731,29.5,.,.
FINAL,2010,MASSACHUSETTS,BLUE SHARK,3569,38.9,140,88.1,3411,40.6,18,100
FINAL,2010,NEW HAMPSHIRE/MAINE,BLUE SHARK,16442,24.1,139,49.4,16303,24.3,.,.
FINAL,2011,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2011,MARYLAND/DELAWARE,BLUE SHARK,146,52.3,.,.,146,52.3,.,.
FINAL,2011,SOUTH NEW JERSEY,BLUE SHARK,158,48.6,26,100,133,54.6,.,.
FINAL,2011,NORTH NEW JERSEY,BLUE SHARK,4916,23.3,.,.,4916,23.3,.,.
FINAL,2011,NEW YORK,BLUE SHARK,27684,16,183,29.8,27501,16.1,.,.
FINAL,2011,CONNECTICUT/RHODE ISLAND,BLUE SHARK,6128,24,117,40.2,6011,24.5,.,.
FINAL,2011,MASSACHUSETTS,BLUE SHARK,9212,27.9,12,100,9199,27.9,.,.
FINAL,2011,NEW HAMPSHIRE/MAINE,BLUE SHARK,18619,18.7,138,59.3,18457,18.9,24,100
FINAL,2012,VIRGINIA,BLUE SHARK,96,87.9,.,.,96,87.9,.,.
FINAL,2012,MARYLAND/DELAWARE,BLUE SHARK,263,47.8,.,.,263,47.8,.,.
FINAL,2012,SOUTH NEW JERSEY,BLUE SHARK,1267,35.6,25,100,1242,36.2,.,.
FINAL,2012,NORTH NEW JERSEY,BLUE SHARK,2345,25.4,.,.,2345,25.4,.,.
FINAL,2012,NEW YORK,BLUE SHARK,23554,19.8,201,32.8,23353,20,.,.
FINAL,2012,CONNECTICUT/RHODE ISLAND,BLUE SHARK,3706,29.4,49,67.2,3657,29.8,.,.
FINAL,2012,MASSACHUSETTS,BLUE SHARK,4155,21.6,10,100,4145,21.7,.,.
FINAL,2012,NEW HAMPSHIRE/MAINE,BLUE SHARK,9602,19.5,211,38.1,9391,20,.,.
FINAL,2013,VIRGINIA,BLUE SHARK,15,61.3,.,.,15,61.3,.,.
FINAL,2013,MARYLAND/DELAWARE,BLUE SHARK,209,44.7,.,.,209,44.7,.,.
FINAL,2013,SOUTH NEW JERSEY,BLUE SHARK,942,63.4,41,57.3,901,66.3,.,.
FINAL,2013,NORTH NEW JERSEY,BLUE SHARK,4195,21.4,.,.,4195,21.4,.,.
FINAL,2013,NEW YORK,BLUE SHARK,14119,15.7,163,44.4,13956,15.9,.,.
FINAL,2013,CONNECTICUT/RHODE ISLAND,BLUE SHARK,3168,34.2,.,.,3168,34.2,.,.
FINAL,2013,MASSACHUSETTS,BLUE SHARK,11089,27.1,21,74,11067,27.2,.,.
FINAL,2013,NEW HAMPSHIRE/MAINE,BLUE SHARK,14018,36.5,.,.,14018,36.5,.,.
FINAL,2014,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2014,MARYLAND/DELAWARE,BLUE SHARK,284,34.9,.,.,284,34.9,.,.
FINAL,2014,SOUTH NEW JERSEY,BLUE SHARK,493,32.3,.,.,493,32.3,.,.
FINAL,2014,NORTH NEW JERSEY,BLUE SHARK,2201,25.5,.,.,2201,25.5,.,.
FINAL,2014,NEW YORK,BLUE SHARK,19050,13.8,155,35.8,18894,13.9,.,.
FINAL,2014,CONNECTICUT/RHODE ISLAND,BLUE SHARK,2032,35.6,.,.,2032,35.6,.,.
FINAL,2014,MASSACHUSETTS,BLUE SHARK,2059,26.5,.,.,2059,26.5,.,.
FINAL,2014,NEW HAMPSHIRE/MAINE,BLUE SHARK,7562,29,.,.,7478,29.3,84,91.1
FINAL,2015,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2015,MARYLAND/DELAWARE,BLUE SHARK,466,33.9,.,.,466,33.9,.,.
FINAL,2015,SOUTH NEW JERSEY,BLUE SHARK,1260,33,102,57.3,1158,35.5,.,.
FINAL,2015,NORTH NEW JERSEY,BLUE SHARK,1651,26.2,.,.,1651,26.2,.,.
FINAL,2015,NEW YORK,BLUE SHARK,11708,12.4,152,30.2,11556,12.6,.,.
FINAL,2015,CONNECTICUT/RHODE ISLAND,BLUE SHARK,4456,19.8,129,46.9,4327,20.4,.,.
FINAL,2015,MASSACHUSETTS,BLUE SHARK,4234,22.7,.,.,4234,22.7,.,.
FINAL,2015,NEW HAMPSHIRE/MAINE,BLUE SHARK,5443,30.3,.,.,5426,30.4,17,100
FINAL,2016,VIRGINIA,BLUE SHARK,3,100,.,.,3,100,.,.
FINAL,2016,MARYLAND/DELAWARE,BLUE SHARK,34,48,11,100,23,52.5,.,.
FINAL,2016,SOUTH NEW JERSEY,BLUE SHARK,402,65.7,.,.,402,65.7,.,.
FINAL,2016,NORTH NEW JERSEY,BLUE SHARK,2481,24.2,.,.,2481,24.2,.,.
FINAL,2016,NEW YORK,BLUE SHARK,6666,14,175,28.4,6491,14.4,.,.
FINAL,2016,CONNECTICUT/RHODE ISLAND,BLUE SHARK,3648,27.2,56,70,3593,27.6,.,.
FINAL,2016,MASSACHUSETTS,BLUE SHARK,4150,16,6,100,4144,16.1,.,.
FINAL,2016,NEW HAMPSHIRE/MAINE,BLUE SHARK,3790,20.5,138,100,3653,20.9,.,.
FINAL,2017,VIRGINIA,BLUE SHARK,2,100,.,.,2,100,.,.
FINAL,2017,MARYLAND/DELAWARE,BLUE SHARK,504,26.6,.,.,504,26.6,.,.
FINAL,2017,SOUTH NEW JERSEY,BLUE SHARK,1877,35.5,11,100,1866,35.7,.,.
FINAL,2017,NORTH NEW JERSEY,BLUE SHARK,1408,34.3,.,.,1408,34.3,.,.
FINAL,2017,NEW YORK,BLUE SHARK,9130,14.3,56,46.4,9061,14.4,14,100
FINAL,2017,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1784,31.7,50,70.3,1734,32.6,.,.
FINAL,2017,MASSACHUSETTS,BLUE SHARK,3429,19.4,90,74.9,3339,19.9,.,.
FINAL,2017,NEW HAMPSHIRE/MAINE,BLUE SHARK,2105,25.9,53,100,2052,26.4,.,.
FINAL,2018,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2018,MARYLAND/DELAWARE,BLUE SHARK,110,38.3,.,.,110,38.3,.,.
FINAL,2018,SOUTH NEW JERSEY,BLUE SHARK,656,29.8,.,.,656,29.8,.,.
FINAL,2018,NORTH NEW JERSEY,BLUE SHARK,500,44.7,.,.,500,44.7,.,.
FINAL,2018,NEW YORK,BLUE SHARK,10132,11.3,139,31.7,9993,11.4,.,.
FINAL,2018,CONNECTICUT/RHODE ISLAND,BLUE SHARK,7674,61,17,83,7657,61.2,.,.
FINAL,2018,MASSACHUSETTS,BLUE SHARK,1451,20.6,21,71.2,1430,20.8,.,.
FINAL,2018,NEW HAMPSHIRE/MAINE,BLUE SHARK,2117,33.1,13,100,2104,33.3,.,.
FINAL,2019,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2019,MARYLAND/DELAWARE,BLUE SHARK,12,100,.,.,12,100,.,.
FINAL,2019,SOUTH NEW JERSEY,BLUE SHARK,732,42.3,16,100,716,43.1,.,.
FINAL,2019,NORTH NEW JERSEY,BLUE SHARK,80,82.4,.,.,80,82.4,.,.
FINAL,2019,NEW YORK,BLUE SHARK,15320,13.5,142,35.4,15178,13.6,.,.
FINAL,2019,CONNECTICUT/RHODE ISLAND,BLUE SHARK,1856,23.5,25,71,1831,23.8,.,.
FINAL,2019,MASSACHUSETTS,BLUE SHARK,1207,24.8,26,71.7,1181,25.3,.,.
FINAL,2019,NEW HAMPSHIRE/MAINE,BLUE SHARK,1446,59.9,.,.,1446,59.9,.,.
FINAL,2020,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2020,MARYLAND/DELAWARE,BLUE SHARK,.,.,.,.,.,.,.,.
FINAL,2020,SOUTH NEW JERSEY,BLUE SHARK,237,89.9,.,.,237,89.9,.,.
FINAL,2020,NORTH NEW JERSEY,BLUE SHARK,12,100,.,.,12,100,.,.
FINAL,2020,NEW YORK,BLUE SHARK,8353,28.5,78,100,8275,28.8,.,.
FINAL,2020,CONNECTICUT/RHODE ISLAND,BLUE SHARK,2301,34,19,100,2283,34.2,.,.
FINAL,2020,MASSACHUSETTS,BLUE SHARK,3109,27.2,.,.,3109,27.2,.,.
FINAL,2020,NEW HAMPSHIRE/MAINE,BLUE SHARK,1891,35.9,.,.,1891,35.9,.,.
PRELIMINARY,2021,VIRGINIA,BLUE SHARK,.,.,.,.,.,.,.,.
PRELIMINARY,2021,MARYLAND/DELAWARE,BLUE SHARK,25,77.9,.,.,25,77.9,.,.
PRELIMINARY,2021,SOUTH NEW JERSEY,BLUE SHARK,142,73.3,.,.,142,73.3,.,.
PRELIMINARY,2021,NORTH NEW JERSEY,BLUE SHARK,171,65.5,.,.,171,65.5,.,.
PRELIMINARY,2021,NEW YORK,BLUE SHARK,6212,27.1,.,.,6212,27.1,.,.
PRELIMINARY,2021,CONNECTICUT/RHODE ISLAND,BLUE SHARK,877,42.3,.,.,877,42.3,.,.
PRELIMINARY,2021,MASSACHUSETTS,BLUE SHARK,1916,33.2,.,.,1916,33.2,.,.
PRELIMINARY,2021,NEW HAMPSHIRE/MAINE,BLUE SHARK,655,43.4,.,.,655,43.4,.,.
FINAL,2002,VIRGINIA,SHORTFIN MAKO,271,78.3,63,63,209,100,.,.
FINAL,2002,MARYLAND/DELAWARE,SHORTFIN MAKO,292,22.2,127,32,165,30.7,.,.
FINAL,2002,SOUTH NEW JERSEY,SHORTFIN MAKO,74,75.5,.,.,74,75.5,.,.
FINAL,2002,NORTH NEW JERSEY,SHORTFIN MAKO,521,45.4,109,68.6,413,54.5,.,.
FINAL,2002,NEW YORK,SHORTFIN MAKO,2269,17.2,902,24.5,1351,23.8,16,100
FINAL,2002,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,290,37.3,228,44.5,62,60.1,.,.
FINAL,2002,MASSACHUSETTS,SHORTFIN MAKO,83,100,.,.,83,100,.,.
FINAL,2002,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,96,53.4,.,.,96,53.4,.,.
FINAL,2003,VIRGINIA,SHORTFIN MAKO,148,48.6,115,55.6,34,100,.,.
FINAL,2003,MARYLAND/DELAWARE,SHORTFIN MAKO,804,18.5,297,27.9,507,24.4,.,.
FINAL,2003,SOUTH NEW JERSEY,SHORTFIN MAKO,576,24.7,194,39.6,382,31.3,.,.
FINAL,2003,NORTH NEW JERSEY,SHORTFIN MAKO,743,34.8,296,43.8,446,50.1,.,.
FINAL,2003,NEW YORK,SHORTFIN MAKO,3656,14,1502,18.1,2154,20.2,.,.
FINAL,2003,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,359,24.4,101,38,258,30.5,.,.
FINAL,2003,MASSACHUSETTS,SHORTFIN MAKO,159,52.7,20,100,139,58.6,.,.
FINAL,2003,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,21,100,21,100,.,.,.,.
FINAL,2004,VIRGINIA,SHORTFIN MAKO,99,42.1,64,47.2,35,82.2,.,.
FINAL,2004,MARYLAND/DELAWARE,SHORTFIN MAKO,2472,19.9,783,27.3,1689,26.2,.,.
FINAL,2004,SOUTH NEW JERSEY,SHORTFIN MAKO,2380,22,984,28,1396,31.8,.,.
FINAL,2004,NORTH NEW JERSEY,SHORTFIN MAKO,811,23.2,465,27.5,345,39.9,.,.
FINAL,2004,NEW YORK,SHORTFIN MAKO,3517,14.2,1703,18.6,1797,21.5,17,100
FINAL,2004,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,372,26.5,195,28.8,178,45.6,.,.
FINAL,2004,MASSACHUSETTS,SHORTFIN MAKO,1726,33.2,435,29.5,1291,43.2,.,.
FINAL,2004,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,11,100,11,100,.,.,.,.
FINAL,2005,VIRGINIA,SHORTFIN MAKO,4,87.9,0,100,3,100,.,.
FINAL,2005,MARYLAND/DELAWARE,SHORTFIN MAKO,552,30.2,221,34.6,324,45.7,7,100
FINAL,2005,SOUTH NEW JERSEY,SHORTFIN MAKO,468,29,207,41.6,261,40.2,.,.
FINAL,2005,NORTH NEW JERSEY,SHORTFIN MAKO,297,28.2,198,33.9,99,50.5,.,.
FINAL,2005,NEW YORK,SHORTFIN MAKO,2798,15.6,1063,17.8,1735,22.8,.,.
FINAL,2005,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,958,56.5,583,89.2,375,40.3,.,.
FINAL,2005,MASSACHUSETTS,SHORTFIN MAKO,658,30.7,380,37,278,52.2,.,.
FINAL,2005,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,90,52.7,80,58.1,10,100,.,.
FINAL,2006,VIRGINIA,SHORTFIN MAKO,2,100,.,.,2,100,.,.
FINAL,2006,MARYLAND/DELAWARE,SHORTFIN MAKO,521,25.9,171,38.3,350,33.7,.,.
FINAL,2006,SOUTH NEW JERSEY,SHORTFIN MAKO,1613,24.7,636,31.3,977,35.4,.,.
FINAL,2006,NORTH NEW JERSEY,SHORTFIN MAKO,474,26.3,206,34.6,268,38.2,.,.
FINAL,2006,NEW YORK,SHORTFIN MAKO,3524,13.9,1377,18.1,2147,19.6,.,.
FINAL,2006,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,640,34.5,286,46.7,353,49.8,.,.
FINAL,2006,MASSACHUSETTS,SHORTFIN MAKO,2193,26.5,924,33.4,1269,38.9,.,.
FINAL,2006,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,157,64.1,39,71.8,118,81.9,.,.
FINAL,2007,VIRGINIA,SHORTFIN MAKO,68,58.7,.,.,68,58.7,.,.
FINAL,2007,MARYLAND/DELAWARE,SHORTFIN MAKO,232,24.1,125,33.4,107,34.6,.,.
FINAL,2007,SOUTH NEW JERSEY,SHORTFIN MAKO,790,19.6,211,26.7,579,25,.,.
FINAL,2007,NORTH NEW JERSEY,SHORTFIN MAKO,983,17.8,534,20.6,449,30.3,.,.
FINAL,2007,NEW YORK,SHORTFIN MAKO,1989,15.3,764,19.8,1226,21.6,.,.
FINAL,2007,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,618,25.6,157,45.2,461,30.6,.,.
FINAL,2007,MASSACHUSETTS,SHORTFIN MAKO,303,57.5,303,57.5,.,.,.,.
FINAL,2007,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,662,27.6,190,40.1,472,35.1,.,.
FINAL,2008,VIRGINIA,SHORTFIN MAKO,98,50.6,35,57.9,63,71.6,.,.
FINAL,2008,MARYLAND/DELAWARE,SHORTFIN MAKO,226,24.1,93,33.9,133,33.4,.,.
FINAL,2008,SOUTH NEW JERSEY,SHORTFIN MAKO,983,20.9,196,31.5,787,24.8,.,.
FINAL,2008,NORTH NEW JERSEY,SHORTFIN MAKO,797,18.1,423,21.7,373,29.9,.,.
FINAL,2008,NEW YORK,SHORTFIN MAKO,2614,12.5,979,16.7,1635,17.3,.,.
FINAL,2008,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,570,33.5,258,38,312,52.5,.,.
FINAL,2008,MASSACHUSETTS,SHORTFIN MAKO,316,44,196,56,120,71,.,.
FINAL,2008,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,268,28.4,169,35.9,99,46.4,.,.
FINAL,2009,VIRGINIA,SHORTFIN MAKO,74,51.7,53,60.9,21,98,.,.
FINAL,2009,MARYLAND/DELAWARE,SHORTFIN MAKO,952,18.2,342,25.4,610,24.5,.,.
FINAL,2009,SOUTH NEW JERSEY,SHORTFIN MAKO,947,20.8,333,27.5,614,28.3,.,.
FINAL,2009,NORTH NEW JERSEY,SHORTFIN MAKO,798,18.4,317,26.6,481,24.9,.,.
FINAL,2009,NEW YORK,SHORTFIN MAKO,2429,13.1,893,15.4,1536,18.7,.,.
FINAL,2009,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,447,21.4,147,33.9,300,27.3,.,.
FINAL,2009,MASSACHUSETTS,SHORTFIN MAKO,701,87.2,76,100,626,97,.,.
FINAL,2009,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,237,31.1,169,36.7,68,58.8,.,.
FINAL,2010,VIRGINIA,SHORTFIN MAKO,85,32.7,69,37.4,16,63.5,.,.
FINAL,2010,MARYLAND/DELAWARE,SHORTFIN MAKO,839,20.9,208,26.5,632,26.4,.,.
FINAL,2010,SOUTH NEW JERSEY,SHORTFIN MAKO,687,22.4,329,27.9,358,34.6,.,.
FINAL,2010,NORTH NEW JERSEY,SHORTFIN MAKO,1387,20,621,20.7,766,32.1,.,.
FINAL,2010,NEW YORK,SHORTFIN MAKO,1653,13.1,724,16.2,929,19.7,.,.
FINAL,2010,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,592,23.2,133,37,459,27.9,.,.
FINAL,2010,MASSACHUSETTS,SHORTFIN MAKO,1653,40.8,261,56.7,1392,47.2,.,.
FINAL,2010,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,459,27,113,53,346,31.3,.,.
FINAL,2011,VIRGINIA,SHORTFIN MAKO,53,38.1,25,52.6,28,54.7,.,.
FINAL,2011,MARYLAND/DELAWARE,SHORTFIN MAKO,565,21.6,194,28.3,372,29.4,.,.
FINAL,2011,SOUTH NEW JERSEY,SHORTFIN MAKO,482,27.2,156,39.5,326,35.4,.,.
FINAL,2011,NORTH NEW JERSEY,SHORTFIN MAKO,1277,16.3,598,21,679,24.4,.,.
FINAL,2011,NEW YORK,SHORTFIN MAKO,2281,13.3,961,14.5,1320,20.4,.,.
FINAL,2011,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,567,20.6,327,25.9,241,33.6,.,.
FINAL,2011,MASSACHUSETTS,SHORTFIN MAKO,389,72.9,112,55.6,277,100,.,.
FINAL,2011,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,421,30.7,140,55.1,281,36.8,.,.
FINAL,2012,VIRGINIA,SHORTFIN MAKO,147,33.9,65,47.1,82,47.9,.,.
FINAL,2012,MARYLAND/DELAWARE,SHORTFIN MAKO,470,23.7,70,38,400,27.1,.,.
FINAL,2012,SOUTH NEW JERSEY,SHORTFIN MAKO,1061,25.5,256,33.4,804,31.9,.,.
FINAL,2012,NORTH NEW JERSEY,SHORTFIN MAKO,1830,17.5,882,22.5,948,26.5,.,.
FINAL,2012,NEW YORK,SHORTFIN MAKO,1987,14.6,910,18.3,1077,22.1,.,.
FINAL,2012,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,507,29.7,187,46.5,320,38.5,.,.
FINAL,2012,MASSACHUSETTS,SHORTFIN MAKO,590,31.3,285,41.4,306,46.7,.,.
FINAL,2012,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,137,46.5,80,56.5,56,79.1,.,.
FINAL,2013,VIRGINIA,SHORTFIN MAKO,47,55.2,34,71.1,13,74.3,.,.
FINAL,2013,MARYLAND/DELAWARE,SHORTFIN MAKO,463,19.8,139,26.3,324,26,.,.
FINAL,2013,SOUTH NEW JERSEY,SHORTFIN MAKO,784,41.8,154,31.8,629,51.5,.,.
FINAL,2013,NORTH NEW JERSEY,SHORTFIN MAKO,906,16.2,479,18.7,427,27.2,.,.
FINAL,2013,NEW YORK,SHORTFIN MAKO,3375,14.2,1498,14.9,1877,22.7,.,.
FINAL,2013,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,627,23.4,329,30.7,299,35.6,.,.
FINAL,2013,MASSACHUSETTS,SHORTFIN MAKO,256,54.7,79,76.5,178,71.4,.,.
FINAL,2013,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,146,57.8,50,100,96,70.8,.,.
FINAL,2014,VIRGINIA,SHORTFIN MAKO,154,30.7,117,37.3,37,49.5,.,.
FINAL,2014,MARYLAND/DELAWARE,SHORTFIN MAKO,320,20.3,126,29.1,194,27.7,.,.
FINAL,2014,SOUTH NEW JERSEY,SHORTFIN MAKO,369,24.4,92,46.4,278,28.7,.,.
FINAL,2014,NORTH NEW JERSEY,SHORTFIN MAKO,1222,13.2,657,15.8,565,21.9,.,.
FINAL,2014,NEW YORK,SHORTFIN MAKO,3040,11.7,1147,13.8,1892,16.9,.,.
FINAL,2014,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,859,19.4,413,25.5,447,29,.,.
FINAL,2014,MASSACHUSETTS,SHORTFIN MAKO,336,40.1,92,71.4,244,48.3,.,.
FINAL,2014,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,16,70.7,8,100,8,100,.,.
FINAL,2015,VIRGINIA,SHORTFIN MAKO,45,37.3,20,55.3,25,50.4,.,.
FINAL,2015,MARYLAND/DELAWARE,SHORTFIN MAKO,403,24.1,70,32.3,333,28.4,.,.
FINAL,2015,SOUTH NEW JERSEY,SHORTFIN MAKO,1403,28.2,169,41.4,1234,31.6,.,.
FINAL,2015,NORTH NEW JERSEY,SHORTFIN MAKO,1481,25.5,332,30,1149,31.7,.,.
FINAL,2015,NEW YORK,SHORTFIN MAKO,3089,11.7,937,14.1,2152,15.6,.,.
FINAL,2015,CONNECTICUT/RHODE ISLAND,SHORTFIN MAKO,1866,21,452,29,1415,26.1,.,.
FINAL,2015,MASSACHUSETTS,SHORTFIN MAKO,278,37,98,47.2,180,51.1,.,.
FINAL,2015,NEW HAMPSHIRE/MAINE,SHORTFIN MAKO,209,35.9,45,71.2,164,41.4,.,.
FINAL,2016,VIRGINIA,SHORTFIN MAKO,63,39.8,33,56.6,30,55.9,.,.
FINAL,2016,MARYLAND/DELAWARE,SHORTFIN MAKO,208,22,122,30,86,32.1,.,.
FINAL,2016,SOUTH NEW JERSEY,SHORTFIN MAKO,252,39.5,91,51.9,161,54.4,.,.
FINAL,2016,NORTH NEW JERSEY,SHORTFIN MAKO,986,16.2,676,19.5,310,29.3,.,.
